file,files,regione,firmatario,tipo_30,tipo_10
03_2406_rta_03_240923111659_4166---ProtocolloantiviolenzaComunediLodi_scansioneconfirme_maggio2014.txt,03_2406_rta_03_240923111659_4166---ProtocolloantiviolenzaComunediLodi_scansioneconfirme_maggio2014.txt,Lombardia,ASSC Azienda Speciale di Servizi di Casalpusterlengo,Altro,altro
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Emilia-Romagna,ASSOCASA,Altro,altro
12_2406_rta_12_240927093424_4166---ProtVMunMerlin.txt,12_2406_rta_12_240927093424_4166---ProtVMunMerlin.txt,Lazio,ASSOLE,Altro,altro
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Emilia-Romagna,ASSPI,Altro,altro
03_2406_rta_03_240923163715_4166---PROTOCOLLOD'INTESA2017_2020.txt,03_2406_rta_03_240923163715_4166---PROTOCOLLOD'INTESA2017_2020.txt,Lombardia,ASST Sette Laghi,Altro,altro
03_2406_rta_03_240923163715_4166---PROTOCOLLOD'INTESA2017_2020.txt,03_2406_rta_03_240923163715_4166---PROTOCOLLOD'INTESA2017_2020.txt,Lombardia,ATS Insubria,Altro,altro
13_2406_rta_13_241122105540_4166---protocollodirete_vastodonnattiva.txt,13_2406_rta_13_241122105540_4166---protocollodirete_vastodonnattiva.txt,Abruzzo,Akon Service,Altro,altro
08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,Emilia-Romagna,Alleanza delle Cooperative Italiane - Bologna,Altro,altro
08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,Emilia-Romagna,Ambito territoriale per la provincia di Forli-Cesena,Altro,altro
08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,Emilia-Romagna,Arcidiocesi di Bologna,Altro,altro
08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Emilia-Romagna,Assistenza Servizi alla Persona (ASSP) Unione Terre e Fiumi,Altro,altro
18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,Calabria,Associazione AIAF Calabria,Altro,altro
11_2406_rta_11_240911113757_4166---All.4ProtocolloReteAntiviolenzasottoscritto18.12.2023.txt,11_2406_rta_11_240911113757_4166---All.4ProtocolloReteAntiviolenzasottoscritto18.12.2023.txt,Marche,Associazione Avvocati per la Famiglia Sezione Territoriale di Fermo,Altro,altro
12_2406_rta_12_241004094402_4166---7ProtCAVPAOLALATTESAPSedIlComitatodiQuartiere“ComprensorioPratolungo(1).txt,12_2406_rta_12_241004094402_4166---7ProtCAVPAOLALATTESAPSedIlComitatodiQuartiere“ComprensorioPratolungo(1).txt,Lazio,"Associazione COMITATO DI QUARTIERE ""COMPRENSORIO PRATOLUNGO",Altro,altro
18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,Calabria,Associazione Calabriafutura,Altro,altro
18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,Calabria,Associazione Fidapa di Catanzaro,Altro,altro
18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,Calabria,Associazione Fidapa di Lamezia Terme,Altro,altro
20_2406_rta_20_250620094616_4166---Delibera52-22del23.12.2024-Allegato1.txt,20_2406_rta_20_250620094616_4166---Delibera52-22del23.12.2024-Allegato1.txt,Sardegna,Associazione Giulia Giornaliste Sardegna,Altro,altro
18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,Calabria,Associazione Italiana Donne Medico,Altro,altro
18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,Calabria,Associazione Lidu Onlus Comitato di Catanzaro,Altro,altro
20_2406_rta_20_250620094616_4166---Delibera52-22del23.12.2024-Allegato1.txt,20_2406_rta_20_250620094616_4166---Delibera52-22del23.12.2024-Allegato1.txt,Sardegna,Associazione Nazionale Comuni Italiani (ANCI) Sardegna,Altro,altro
18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,Calabria,Associazione Soroptimist di Catanzaro,Altro,altro
18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,Calabria,Associazione Soroptimist di Lamezia Terme,Altro,altro
12_2406_rta_12_241004091505_4166---4ProtCAVPAOLALATTESEnjoi(2).txt,12_2406_rta_12_241004091505_4166---4ProtCAVPAOLALATTESEnjoi(2).txt,Lazio,Associazione Sportiva Dilettantistica Enjoy More,Altro,altro
11_2406_rta_11_240911113235_4166---MacerataProtocollo2019_2022Firmato.txt,11_2406_rta_11_240911113235_4166---MacerataProtocollo2019_2022Firmato.txt,Marche,Associazioni Datoriali di Categoria,Altro,altro
18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,Calabria,Associazioni del Terzo Settore del territorio della Provincia di Catanzaro,Altro,altro
03_2406_rta_03_240923163715_4166---PROTOCOLLOD'INTESA2017_2020.txt,03_2406_rta_03_240923163715_4166---PROTOCOLLOD'INTESA2017_2020.txt,Lombardia,Azienda Speciale Consortile Medio Olona,Altro,altro
03_2406_rta_03_240923111659_4166---ProtocolloantiviolenzaComunediLodi_scansioneconfirme_maggio2014.txt,03_2406_rta_03_240923111659_4166---ProtocolloantiviolenzaComunediLodi_scansioneconfirme_maggio2014.txt,Lombardia,Azienda Speciale Consortile del Lodigiano per i Servizi alla Persona,Altro,altro
03_2406_rta_03_240920124656_4166---ProtocolloantiviolenzaDEFINITIVO(1).txt,03_2406_rta_03_240920124656_4166---ProtocolloantiviolenzaDEFINITIVO(1).txt,Lombardia,Azienda Speciale Sociale Valle Brembana,Altro,altro
03_2406_rta_03_240926123135_4166---ProtocollodiRete.txt,03_2406_rta_03_240926123135_4166---ProtocollodiRete.txt,Lombardia,Azienda Territoriale per i Servizi alla Persona di Breno,Altro,altro
12_2406_rta_12_240927093424_4166---ProtVMunMerlin.txt,12_2406_rta_12_240927093424_4166---ProtVMunMerlin.txt,Lazio,BE-FEREE,Altro,altro
08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,Emilia-Romagna,Banca d'Italia Filiale di Piacenza,Altro,altro
01_2406_rta_01_240924140705_4166---LesConvenzionecoprogettazione.txt,01_2406_rta_01_240924140705_4166---LesConvenzionecoprogettazione.txt,Piemonte,Banco BPM - Banca Popolare di Novara,Altro,altro
12_2406_rta_12_241008150442_4166---1.Protocollo.txt,12_2406_rta_12_241008150442_4166---1.Protocollo.txt,Lazio,Be Free Società Cooperativa Sociale,Altro,altro
09_PISTOIA PROV .txt,09_PISTOIA PROV .txt,Toscana,CAM,Altro,altro
13_2406_rta_13_241122101453_4166---ProtocollodiRete_AlphaChieti.txt,13_2406_rta_13_241122101453_4166---ProtocollodiRete_AlphaChieti.txt,Abruzzo,CNA Chieti/ Patronato / Epasa-ITACO,Altro,altro
03_2406_rta_03_240923171949_4166---PROTOCOLLOD'INTESARETETERRITORIALEANTIVIOLENZAVALLETROMPIA2024.txt,03_2406_rta_03_240923171949_4166---PROTOCOLLOD'INTESARETETERRITORIALEANTIVIOLENZAVALLETROMPIA2024.txt,Lombardia,COMUNITA' MONTANA DI VALLE TROMPIA,Altro,altro
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Emilia-Romagna,CONFABITARE,Altro,altro
03_2406_rta_03_240923171949_4166---PROTOCOLLOD'INTESARETETERRITORIALEANTIVIOLENZAVALLETROMPIA2024.txt,03_2406_rta_03_240923171949_4166---PROTOCOLLOD'INTESARETETERRITORIALEANTIVIOLENZAVALLETROMPIA2024.txt,Lombardia,CONSORZIO DI COOPERATIVE SOCIALI VALLI,Altro,altro
12_2406_rta_12_241003113710_4166---Accordodicollaborazione_CREDICI.txt,12_2406_rta_12_241003113710_4166---Accordodicollaborazione_CREDICI.txt,Lazio,CREDICI s.r.l,Altro,altro
16_2406_rta_16_250410122122_4166---Protocollo_Viola.txt,16_2406_rta_16_250410122122_4166---Protocollo_Viola.txt,Puglia,Camera Minorile,Altro,altro
16_2406_rta_16_250410122122_4166---Protocollo_Viola.txt,16_2406_rta_16_250410122122_4166---Protocollo_Viola.txt,Puglia,Camera Minorile di Capitanata,Altro,altro
18_2406_rta_18_240926102706_4166---protocollomondorosa2013.txt,18_2406_rta_18_240926102706_4166---protocollomondorosa2013.txt,Calabria,Camera di Commercio di Catanzaro,Altro,altro
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt | 13_2406_rta_13_241122104158_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt | 13_2406_rta_13_241122104428_4166---Protocollorete_ortonaCAVconsultoriodiocesano.txt,13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt | 13_2406_rta_13_241122104158_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt | 13_2406_rta_13_241122104428_4166---Protocollorete_ortonaCAVconsultoriodiocesano.txt,Abruzzo,Caritas Diocesana Arcidiocesi Lanciano-Vasto-Ortona,Altro,altro
06_2406_rta_06_240916164258_4166---Protocolloviolenzadomesticaedigenere_30.09.2019.txt,06_2406_rta_06_240916164258_4166---Protocolloviolenzadomesticaedigenere_30.09.2019.txt,Friuli-Venezia Giulia,Caritas Diocesana Gorizia,Altro,altro
03_2406_rta_03_240925144919_4166---RETEDICOMO-PROTOCOLLOINTERIST.17novembre2023(1).txt,03_2406_rta_03_240925144919_4166---RETEDICOMO-PROTOCOLLOINTERIST.17novembre2023(1).txt,Lombardia,Caritas Diocesana di Como,Altro,altro
03_2406_rta_03_240918153252_4166---Protocollo+Appendice+LineeGuida_Datatodafirmare.txt,03_2406_rta_03_240918153252_4166---Protocollo+Appendice+LineeGuida_Datatodafirmare.txt,Lombardia,Caritas Diocesana di Crema,Altro,altro
03_2406_rta_03_240918153252_4166---Protocollo+Appendice+LineeGuida_Datatodafirmare.txt,03_2406_rta_03_240918153252_4166---Protocollo+Appendice+LineeGuida_Datatodafirmare.txt,Lombardia,Caritas Diocesana di Cremona,Altro,altro
16_2406_rta_16_250410122122_4166---Protocollo_Viola.txt,16_2406_rta_16_250410122122_4166---Protocollo_Viola.txt,Puglia,Caritas Diocesana di Foggia,Altro,altro
18_2406_rta_18_240926102706_4166---protocollomondorosa2013.txt,18_2406_rta_18_240926102706_4166---protocollomondorosa2013.txt,Calabria,Caritas Diocesi di Catanzaro/Squillace,Altro,altro
13_2406_rta_13_241122101453_4166---ProtocollodiRete_AlphaChieti.txt | 13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt | 13_2406_rta_13_241122104158_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt | 13_2406_rta_13_241122104842_4166---Protocollodirete_DAFNE.txt,13_2406_rta_13_241122101453_4166---ProtocollodiRete_AlphaChieti.txt | 13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt | 13_2406_rta_13_241122104158_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt | 13_2406_rta_13_241122104842_4166---Protocollodirete_DAFNE.txt,Abruzzo,Caritas diocesana,Altro,altro
13_2406_rta_13_241122101453_4166---ProtocollodiRete_AlphaChieti.txt,13_2406_rta_13_241122101453_4166---ProtocollodiRete_AlphaChieti.txt,Abruzzo,Casa Circondariale Chieti,Altro,altro
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt | 13_2406_rta_13_241122104158_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt | 13_2406_rta_13_241122104842_4166---Protocollodirete_DAFNE.txt,13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt | 13_2406_rta_13_241122104158_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt | 13_2406_rta_13_241122104842_4166---Protocollodirete_DAFNE.txt,Abruzzo,Casa Circondariale di Lanciano,Altro,altro
08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,Emilia-Romagna,Casa Circondariale di Rimini,Altro,altro
03_2406_rta_03_240925144919_4166---RETEDICOMO-PROTOCOLLOINTERIST.17novembre2023(1).txt,03_2406_rta_03_240925144919_4166---RETEDICOMO-PROTOCOLLOINTERIST.17novembre2023(1).txt,Lombardia,Casa della Giovane di Como,Altro,altro
12_2406_rta_12_241003112247_4166---Accordodicollaborazione_CREDICI.txt | 12_2406_rta_12_241003113710_4166---Accordodicollaborazione_CREDICI.txt,12_2406_rta_12_241003112247_4166---Accordodicollaborazione_CREDICI.txt | 12_2406_rta_12_241003113710_4166---Accordodicollaborazione_CREDICI.txt,Lazio,Case di Semiautonomia gestite dall'Associazione Differenza Donna,Altro,altro
12_2406_rta_12_241003112247_4166---Accordodicollaborazione_CREDICI.txt | 12_2406_rta_12_241003113710_4166---Accordodicollaborazione_CREDICI.txt,12_2406_rta_12_241003112247_4166---Accordodicollaborazione_CREDICI.txt | 12_2406_rta_12_241003113710_4166---Accordodicollaborazione_CREDICI.txt,Lazio,Centri antitratta gestiti dall'Associazione Differenza Donna,Altro,altro
03_2406_rta_03_240923101524_4166---PROTOCOLLO_DI_INTESA_versione_DEFINITIVA2021.stamped.txt,03_2406_rta_03_240923101524_4166---PROTOCOLLO_DI_INTESA_versione_DEFINITIVA2021.stamped.txt,Lombardia,Centro Culturale Islamico Via Corsica - Brescia,Altro,altro
20_2406_rta_20_250620094616_4166---Delibera52-22del23.12.2024-Allegato1.txt,20_2406_rta_20_250620094616_4166---Delibera52-22del23.12.2024-Allegato1.txt,Sardegna,Centro Giustizia Minorile della Sardegna,Altro,altro
06_2406_rta_06_240916164153_4166---protocolloprefettura.txt,06_2406_rta_06_240916164153_4166---protocolloprefettura.txt,Friuli-Venezia Giulia,Centro Regionale di Orientamento di Udine,Altro,altro
03_2406_rta_03_240923101524_4166---PROTOCOLLO_DI_INTESA_versione_DEFINITIVA2021.stamped.txt,03_2406_rta_03_240923101524_4166---PROTOCOLLO_DI_INTESA_versione_DEFINITIVA2021.stamped.txt,Lombardia,Centro Sirio,Altro,altro
05_2406_rta_05_240919114041_4166---protocollounicorevisionato2024.txt,05_2406_rta_05_240919114041_4166---protocollounicorevisionato2024.txt,Veneto,Circolo Giuridico Bassanese,Altro,altro
06_2406_rta_06_240916164258_4166---Protocolloviolenzadomesticaedigenere_30.09.2019.txt,06_2406_rta_06_240916164258_4166---Protocolloviolenzadomesticaedigenere_30.09.2019.txt,Friuli-Venezia Giulia,Club per UNESCO Gorizia,Altro,altro
05_2406_rta_05_240919114041_4166---protocollounicorevisionato2024.txt,05_2406_rta_05_240919114041_4166---protocollounicorevisionato2024.txt,Trento,Comitati dei Sindaci dei Distretti 1 e 2,Altro,altro
03_2406_rta_03_240926122707_4166---ProtocolloReteAntiviolenzaconfirme.txt,03_2406_rta_03_240926122707_4166---ProtocolloReteAntiviolenzaconfirme.txt,Lombardia,Comitato Area Sud Milano della Croce Rossa Italiana,Altro,altro
18_2406_rta_18_240926102706_4166---protocollomondorosa2013.txt,18_2406_rta_18_240926102706_4166---protocollomondorosa2013.txt,Calabria,Comitato Imprenditoria Femminile (CIF,Altro,altro
16_2406_rta_16_250410122122_4166---Protocollo_Viola.txt,16_2406_rta_16_250410122122_4166---Protocollo_Viola.txt,Puglia,Comitato Scientifico (Commissione VIOLA OMCeO Foggia,Altro,altro
12_2406_rta_12_241004093800_4166---6protCavPaolaLattesComitatodiQuartiere“CittadinidiColliAniene.txt,12_2406_rta_12_241004093800_4166---6protCavPaolaLattesComitatodiQuartiere“CittadinidiColliAniene.txt,Lazio,"Comitato di Quartiere ""Cittadini di Colli Aniene Bene Comune",Altro,altro
12_2406_rta_12_241004095020_4166---8protCAVPAOLALATTES(ComitatodiQuartiereRebibbia(1).txt,12_2406_rta_12_241004095020_4166---8protCAVPAOLALATTES(ComitatodiQuartiereRebibbia(1).txt,Lazio,Comitato di Quartiere Rebibbia,Altro,altro
12_2406_rta_12_241001133138_4166---1protCAVSAPIENZA-COMITATODIQUARTIERESANLORENZO(1).txt,12_2406_rta_12_241001133138_4166---1protCAVSAPIENZA-COMITATODIQUARTIERESANLORENZO(1).txt,Lazio,Comitato di Quartiere San Lorenzo,Altro,altro
12_2406_rta_12_241004103912_4166---9protCAVPAOLALATTESComitatodiQuartiereTorraccia(1).txt,12_2406_rta_12_241004103912_4166---9protCAVPAOLALATTESComitatodiQuartiereTorraccia(1).txt,Lazio,Comitato di Quartiere Torraccia,Altro,altro
03_2406_rta_03_240923105244_4166---ProtocolloViolenzaMilanoFirme2023.txt,03_2406_rta_03_240923105244_4166---ProtocolloViolenzaMilanoFirme2023.txt,Lombardia,Commissione Territoriale per il riconoscimento della protezione internazionale,Altro,altro
18_2406_rta_18_240926102259_4166---Protocollod’intesaperlaprotezioneel’assistenzadellevittimediviolenzadigenererichiedentiasilo.txt,18_2406_rta_18_240926102259_4166---Protocollod’intesaperlaprotezioneel’assistenzadellevittimediviolenzadigenererichiedentiasilo.txt,Calabria,Commissione Territoriale per il riconoscimento della protezione internazionale di Crotone,Altro,altro
13_2406_rta_13_241122101453_4166---ProtocollodiRete_AlphaChieti.txt,13_2406_rta_13_241122101453_4166---ProtocollodiRete_AlphaChieti.txt,Abruzzo,Comunita Papa Giovanni XXIII,Altro,altro
03_2406_rta_03_240918153252_4166---Protocollo+Appendice+LineeGuida_Datatodafirmare.txt,03_2406_rta_03_240918153252_4166---Protocollo+Appendice+LineeGuida_Datatodafirmare.txt,Lombardia,"Comunita d'accoglienza ""G. Colbert",Altro,altro
16_lecce_Protocollo Operativo - Procedure integrate per la prevenzione e il contrasto alla violenza contro donne e minori - Copia_Marcato.txt,16_lecce_Protocollo Operativo - Procedure integrate per la prevenzione e il contrasto alla violenza contro donne e minori - Copia_Marcato.txt,Puglia,Conferenza dei Sindaci,Altro,altro
05_2406_rta_05_240916173648_4166---ULSS5Polesana_Protocollodirete.txt,05_2406_rta_05_240916173648_4166---ULSS5Polesana_Protocollodirete.txt,Trento,Conferenza dei Sindaci,Altro,altro
05_2406_rta_05_240919114041_4166---protocollounicorevisionato2024.txt,05_2406_rta_05_240919114041_4166---protocollounicorevisionato2024.txt,Trento,Congregazione Suore Orsoline del Sacro Cuore di Maria,Altro,altro
08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,Emilia-Romagna,Consiglieri di Fiducia del Comune di Bologna,Altro,altro
01_2406_rta_01_240904122512_4166---accordoSFD.txt,01_2406_rta_01_240904122512_4166---accordoSFD.txt,Piemonte,Consorzio C.I.S.S.A.B.0,Altro,altro
03_2406_rta_03_240923113114_4166---ProtocolloReteAddaMartesanasottoscritto.txt,03_2406_rta_03_240923113114_4166---ProtocolloReteAddaMartesanasottoscritto.txt,Lombardia,Consorzio CS&L,Altro,altro
03_2406_rta_03_240923114012_4166---23-9-2024ProtocolloReteRita_signed_signed_signedDEF_signed_signed-signed_signed(1).txt,03_2406_rta_03_240923114012_4166---23-9-2024ProtocolloReteRita_signed_signed_signedDEF_signed_signed-signed_signed(1).txt,Lombardia,Consorzio Famiglie e Accoglienza Fa,Altro,altro
01_2406_rta_01_240904122512_4166---accordoSFD.txt,01_2406_rta_01_240904122512_4166---accordoSFD.txt,Piemonte,Consorzio I.R.I.S,Altro,altro
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt | 13_2406_rta_13_241122104158_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt | 13_2406_rta_13_241122104428_4166---Protocollorete_ortonaCAVconsultoriodiocesano.txt,13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt | 13_2406_rta_13_241122104158_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt | 13_2406_rta_13_241122104428_4166---Protocollorete_ortonaCAVconsultoriodiocesano.txt,Abruzzo,Consulta Giovanile Ortona,Altro,altro
