chiave,record_id,file,regione_codice,regione_finale,provincia_finale,comune_finale,nome_originale,nome_canonico,nome_norm_stat,tipo_originale,tipo_standard,macro_categoria,fonte_territorializzazione,stato_osservazione,ruoli_documentali,ruolo_attore,ruolo_firmatario,ruolo_proponente,ente_capofila,note,cf,codice_soggetti_questionari,denominazione_soggetti_questionari,codice_aggregazione_2,descrizione_aggregazione_2
REGIONE PIEMONTE||Regioni/Province Autonome||||Piemonte,020_0004,01_2406_rta_01_241018134519_4166---Protocollooperativointeristituzionaleviolenzadigenere2023-2026def.txt,01,Piemonte,,,Regione Piemonte,Regione Piemonte,REGIONE PIEMONTE,Regioni/Province Autonome,Regioni/Province Autonome,Istituzioni territoriali,nome,valido_localizzato,,0,0,0,,,,10,Regioni/province Autonome,5,Regioni/province Autonome
REGIONE PIEMONTE||Regioni/Province Autonome||||Piemonte,022_0005,01_2406_rta_01_241018142804_4166---ConvenzioneASL-Prontosoccorsoceva.txt,01,Piemonte,,,Regione Piemonte,Regione Piemonte,REGIONE PIEMONTE,Regioni/Province Autonome,Regioni/Province Autonome,Istituzioni territoriali,nome,valido_localizzato,,0,0,0,,Piano per la prevenzione della violenza citato,,10,Regioni/province Autonome,5,Regioni/province Autonome
AMMINISTRAZIONE PROVINCIALE DI BIELLA||Province/Città metropolitane||Biella||Piemonte,002_0001,01_2406_rta_01_240904120005_4166---protocollo.txt,01,Piemonte,Biella,Biella,Amministrazione Provinciale di Biella,Amministrazione Provinciale di Biella,AMMINISTRAZIONE PROVINCIALE DI BIELLA,Province/Città metropolitane,Province/Città metropolitane,Altro,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,Firmatario del protocollo; promuove azioni sul territorio,,8,Province/Città metropolitane,10,Province/Città metropolitane
AMMINISTRAZIONE PROVINCIALE DI BIELLA||Province/Città metropolitane||Biella||Piemonte,004_0003,01_2406_rta_01_240904122512_4166---accordoSFD.txt,01,Piemonte,Biella,Biella,Amministrazione Provinciale di Biella,Amministrazione Provinciale di Biella,AMMINISTRAZIONE PROVINCIALE DI BIELLA,Province/Città metropolitane,Province/Città metropolitane,Altro,json,valido_localizzato,attore,1,0,0,,Firmataria del protocollo d'intesa del 07.04.2017,,8,Province/Città metropolitane,10,Province/Città metropolitane
AZIENDA SANITARIA LOCALE DI BIELLA||ASL (consultori familiari e altri servizi territoriali)||Biella||Piemonte,002_0002,01_2406_rta_01_240904120005_4166---protocollo.txt,01,Piemonte,Biella,Biella,Azienda Sanitaria Locale di Biella,Azienda Sanitaria Locale di Biella,AZIENDA SANITARIA LOCALE DI BIELLA,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Settore sanitario,json,valido_localizzato,firmatario|attore,1,1,0,,"Firmatario del protocollo; tramite Presidio Ospedaliero, Consultorio Familiare di Biella e S.C. Neuropsichiatria Infantile",,12,ASL (consultori familiari e altri servizi territoriali),4,settore sanitario
AZIENDA SANITARIA LOCALE DI BIELLA||ASL (consultori familiari e altri servizi territoriali)||Biella||Piemonte,004_0004,01_2406_rta_01_240904122512_4166---accordoSFD.txt,01,Piemonte,Biella,Biella,Azienda Sanitaria Locale di Biella,Azienda Sanitaria Locale di Biella,AZIENDA SANITARIA LOCALE DI BIELLA,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Settore sanitario,json,valido_localizzato,attore,1,0,0,,Firmataria del protocollo d'intesa del 07.04.2017,,12,ASL (consultori familiari e altri servizi territoriali),4,settore sanitario
CENTRI ANTIVIOLENZA||CAV||||Piemonte,002_0008,01_2406_rta_01_240904120005_4166---protocollo.txt,01,Piemonte,,,Centro Antiviolenza,Centri Antiviolenza,CENTRI ANTIVIOLENZA,CAV/Centri Antiviolenza,CAV,CAV e protezione,nome,generico,attore,1,0,0,,Gestito da C.LS.S.A.B.O.; punto di ascolto; équipe di coordinamento,,1,CAV,1,CAV
CENTRI ANTIVIOLENZA||CAV||||Piemonte,004_0021,01_2406_rta_01_240904122512_4166---accordoSFD.txt,01,Piemonte,,,Centro Antiviolenza,Centri Antiviolenza,CENTRI ANTIVIOLENZA,CAV/Centri Antiviolenza,CAV,CAV e protezione,nome,generico,,0,0,0,Consorzio C.I.S.S.A.B.0,Gestito dal Consorzio CISSABO,,1,CAV,1,CAV
CENTRI ANTIVIOLENZA||CAV||||Piemonte,007_0006,01_2406_rta_01_240909103717_4166---PROTOCOLLORETEANTIVIOLENZASVOLTADONNA.txt,01,Piemonte,,,Centro Antiviolenza,Centri Antiviolenza,CENTRI ANTIVIOLENZA,CAV/Centri Antiviolenza,CAV,CAV e protezione,nome,generico,firmatario|attore,1,1,0,,,,1,CAV,1,CAV
CENTRI ANTIVIOLENZA||CAV||||Piemonte,014_0005,01_2406_rta_01_240924140705_4166---LesConvenzionecoprogettazione.txt,01,Piemonte,,,Centro AntiViolenza,Centri Antiviolenza,CENTRI ANTIVIOLENZA,CAV/Centri Antiviolenza,CAV,CAV e protezione,nome,generico,attore,1,0,0,,Gestione prevista tra le azioni progettuali,,1,CAV,1,CAV
CENTRI ANTIVIOLENZA||CAV||||Piemonte,016_0012,01_2406_rta_01_241003113501_4166---CCVD1deliberaprotocolloccvd-2024eall1prot.txt,01,Piemonte,,,Centro Antiviolenza,Centri Antiviolenza,CENTRI ANTIVIOLENZA,CAV/Centri Antiviolenza,CAV,CAV e protezione,nome,generico,attore,1,0,0,,"servizio di riferimento, accoglienza donne",,1,CAV,1,CAV
CASA RIFUGIO||Case Rifugio||||Piemonte,002_0009,01_2406_rta_01_240904120005_4166---protocollo.txt,01,Piemonte,,,Casa Rifugio,Casa Rifugio,CASA RIFUGIO,Case Rifugio,Case Rifugio,CAV e protezione,nome,valido_localizzato,attore,1,0,0,,Collegata al Centro Antiviolenza,,2,Case Rifugio,1,CAV
CASA RIFUGIO||Case Rifugio||||Piemonte,016_0013,01_2406_rta_01_241003113501_4166---CCVD1deliberaprotocolloccvd-2024eall1prot.txt,01,Piemonte,,,Casa Rifugio,Casa Rifugio,CASA RIFUGIO,Case Rifugio,Case Rifugio,CAV e protezione,nome,valido_localizzato,attore,1,0,0,,,,2,Case Rifugio,1,CAV
CONSIGLIERA PROVINCIALE DI PARITA DI BIELLA||Organismi di parità||Biella||Piemonte,002_0010,01_2406_rta_01_240904120005_4166---protocollo.txt,01,Piemonte,Biella,Biella,Consigliera Provinciale di Parità di Biella,Consigliera Provinciale di Parità di Biella,CONSIGLIERA PROVINCIALE DI PARITA DI BIELLA,Organismi di parità,Organismi di parità,Altro,json,valido_localizzato,firmatario|attore,1,1,0,,Firmataria del protocollo,,23,Organismi di parità,6,Territorio
CONSIGLIERA PROVINCIALE DI PARITA DI BIELLA||Organismi di parità||Biella||Piemonte,004_0007,01_2406_rta_01_240904122512_4166---accordoSFD.txt,01,Piemonte,Biella,Biella,Consigliera Provinciale di Parità di Biella,Consigliera Provinciale di Parità di Biella,CONSIGLIERA PROVINCIALE DI PARITA DI BIELLA,Organismi di parità,Organismi di parità,Altro,json,valido_localizzato,attore,1,0,0,,Firmataria del protocollo d'intesa del 07.04.2017,,23,Organismi di parità,6,Territorio
PROCURA DELLA REPUBBLICA PRESSO IL TRIBUNALE ORDINARIO DI BIELLA||Procura Ordinaria/Tribunale/Corte d'appello||Biella||Piemonte,002_0011,01_2406_rta_01_240904120005_4166---protocollo.txt,01,Piemonte,Biella,Biella,Procura della Repubblica presso il Tribunale Ordinario di Biella,Procura della Repubblica presso il Tribunale Ordinario di Biella,PROCURA DELLA REPUBBLICA PRESSO IL TRIBUNALE ORDINARIO DI BIELLA,Procura Ordinaria/Tribunale/Corte d'appello,Procura Ordinaria/Tribunale/Corte d'appello,Settore giudiziario,json,valido_localizzato,firmatario|attore,1,1,0,,Firmataria del protocollo,,18,Procura Ordinaria/Tribunale/Corte d'appello,2,Settore giudiziario
PROCURA DELLA REPUBBLICA PRESSO IL TRIBUNALE ORDINARIO DI BIELLA||Procura Ordinaria/Tribunale/Corte d'appello||Biella||Piemonte,004_0008,01_2406_rta_01_240904122512_4166---accordoSFD.txt,01,Piemonte,Biella,Biella,Procura della Repubblica presso il Tribunale Ordinario di Biella,Procura della Repubblica presso il Tribunale Ordinario di Biella,PROCURA DELLA REPUBBLICA PRESSO IL TRIBUNALE ORDINARIO DI BIELLA,Procura Ordinaria/Tribunale/Corte d'appello,Procura Ordinaria/Tribunale/Corte d'appello,Settore giudiziario,json,valido_localizzato,attore,1,0,0,,Firmataria del protocollo d'intesa del 07.04.2017,,18,Procura Ordinaria/Tribunale/Corte d'appello,2,Settore giudiziario
DIPARTIMENTO CULTURE POLITICA E SOCIETA DELL'UNIVERSITA DEGLI STUDI DI TORINO (POLO DI BIELLA||Università||Biella||Piemonte,002_0014,01_2406_rta_01_240904120005_4166---protocollo.txt,01,Piemonte,Biella,Biella,Dipartimento Culture Politica e Società dell’Università degli Studi di Torino (Polo di Biella),Dipartimento Culture Politica e Società dell'Università degli Studi di Torino (Polo di Biella,DIPARTIMENTO CULTURE POLITICA E SOCIETA DELL'UNIVERSITA DEGLI STUDI DI TORINO (POLO DI BIELLA,Università,Università,Altro,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,,28,Università,7,Settore Educativo
DIPARTIMENTO CULTURE POLITICA E SOCIETA DELL'UNIVERSITA DEGLI STUDI DI TORINO (POLO DI BIELLA||Università||Biella||Piemonte,003_0026,01_2406_rta_01_240904121349_4166---convenzione.txt,01,Piemonte,Biella,Biella,Dipartimento Culture Politica e Società dell’Università degli Studi di Torino (Polo di Biella),Dipartimento Culture Politica e Società dell'Università degli Studi di Torino (Polo di Biella,DIPARTIMENTO CULTURE POLITICA E SOCIETA DELL'UNIVERSITA DEGLI STUDI DI TORINO (POLO DI BIELLA,Università,Università,Altro,json,valido_localizzato,,0,0,0,,Sottoscrittore protocollo 2017,,28,Università,7,Settore Educativo
DIPARTIMENTO CULTURE POLITICA E SOCIETA DELL'UNIVERSITA DEGLI STUDI DI TORINO (POLO DI BIELLA||Università||Biella||Piemonte,004_0011,01_2406_rta_01_240904122512_4166---accordoSFD.txt,01,Piemonte,Biella,Biella,Dipartimento Culture Politica e Società dell'Università degli Studi di Torino (Polo di Biella),Dipartimento Culture Politica e Società dell'Università degli Studi di Torino (Polo di Biella,DIPARTIMENTO CULTURE POLITICA E SOCIETA DELL'UNIVERSITA DEGLI STUDI DI TORINO (POLO DI BIELLA,Università,Università,Altro,json,valido_localizzato,attore,1,0,0,,Firmatario del protocollo d'intesa del 07.04.2017,,28,Università,7,Settore Educativo
ASSOCIAZIONE NON SEI SOLA USCIRE DAL SILENZIO CONTRO LA VIOLENZA||Ente terzo settore - ETS (iscritto al RUNTS)||||Piemonte,002_0015,01_2406_rta_01_240904120005_4166---protocollo.txt,01,Piemonte,,,Associazione Non Sei Sola Uscire dal Silenzio Contro la Violenza,Associazione Non Sei Sola Uscire dal Silenzio Contro la Violenza,ASSOCIAZIONE NON SEI SOLA USCIRE DAL SILENZIO CONTRO LA VIOLENZA,Ente terzo settore - ETS (iscritto al RUNTS),Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo e ordini,nome,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo; gestisce Punto di Ascolto Antiviolenza,,24,Ente terzo settore - ETS (iscritto al RUNTS)[1],8,associazionismo
ASSOCIAZIONE NON SEI SOLA USCIRE DAL SILENZIO CONTRO LA VIOLENZA||Ente terzo settore - ETS (iscritto al RUNTS)||||Piemonte,004_0012,01_2406_rta_01_240904122512_4166---accordoSFD.txt,01,Piemonte,,,Associazione Non Sei Sola Uscire dal Silenzio Contro la Violenza,Associazione Non Sei Sola Uscire dal Silenzio Contro la Violenza,ASSOCIAZIONE NON SEI SOLA USCIRE DAL SILENZIO CONTRO LA VIOLENZA,Ente terzo settore - ETS (iscritto al RUNTS),Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo e ordini,nome,valido_localizzato,attore,1,0,0,,"Firmataria dei vari protocolli, partner Casa Rifugio, gestione Centro Antiviolenza",,24,Ente terzo settore - ETS (iscritto al RUNTS)[1],8,associazionismo
ASSOCIAZIONE PAVIOL PERCORSI ANTIVIOLENZA||CAV||Biella||Piemonte,002_0017,01_2406_rta_01_240904120005_4166---protocollo.txt,01,Piemonte,Biella,Biella,Associazione PaViol Percorsi Antiviolenza,Associazione PaViol Percorsi Antiviolenza,ASSOCIAZIONE PAVIOL PERCORSI ANTIVIOLENZA,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CAV,CAV e protezione,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo; collabora con Rete Antiviolenza; attiva servizio S.P.A.M.,90063070024,1,CAV,1,CAV
ASSOCIAZIONE PAVIOL PERCORSI ANTIVIOLENZA||CAV||Biella||Piemonte,004_0013,01_2406_rta_01_240904122512_4166---accordoSFD.txt,01,Piemonte,Biella,Biella,Associazione PaViol Percorsi Antiviolenza,Associazione PaViol Percorsi Antiviolenza,ASSOCIAZIONE PAVIOL PERCORSI ANTIVIOLENZA,ASSOCIAZIONI DI PROMOZIONE SOCIALE,CAV,CAV e protezione,json,valido_localizzato,attore,1,0,0,,"Firmataria del protocollo d'intesa del 07.04.2017, partner Casa Rifugio",90063070024,1,CAV,1,CAV
ASSOCIAZIONE UNDERGROUND||Ente terzo settore - ETS (iscritto al RUNTS)||Biella||Piemonte,002_0019,01_2406_rta_01_240904120005_4166---protocollo.txt,01,Piemonte,Biella,Biella,Associazione Underground,Associazione Underground,ASSOCIAZIONE UNDERGROUND,ORGANIZZAZIONI DI VOLONTARIATO,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo e ordini,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo; volontariato e raccolta fondi per Casa Rifugio,90063980024,24,Ente terzo settore - ETS (iscritto al RUNTS)[1],8,associazionismo
ASSOCIAZIONE UNDERGROUND||Ente terzo settore - ETS (iscritto al RUNTS)||Biella||Piemonte,004_0014,01_2406_rta_01_240904122512_4166---accordoSFD.txt,01,Piemonte,Biella,Biella,Associazione Underground,Associazione Underground,ASSOCIAZIONE UNDERGROUND,ORGANIZZAZIONI DI VOLONTARIATO,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo e ordini,json,valido_localizzato,attore,1,0,0,,"Firmataria dei vari protocolli, partner Casa Rifugio",90063980024,24,Ente terzo settore - ETS (iscritto al RUNTS)[1],8,associazionismo
ASSOCIAZIONE VOCIDIDONNE||Ente terzo settore - ETS (iscritto al RUNTS)||||Piemonte,002_0020,01_2406_rta_01_240904120005_4166---protocollo.txt,01,Piemonte,,,Associazione VocidiDONNE,Associazione VocidiDONNE,ASSOCIAZIONE VOCIDIDONNE,Ente terzo settore - ETS (iscritto al RUNTS),Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo e ordini,nome,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,,24,Ente terzo settore - ETS (iscritto al RUNTS)[1],8,associazionismo
ASSOCIAZIONE VOCIDIDONNE||Ente terzo settore - ETS (iscritto al RUNTS)||||Piemonte,003_0022,01_2406_rta_01_240904121349_4166---convenzione.txt,01,Piemonte,,,Associazione VocidiDONNE,Associazione VocidiDONNE,ASSOCIAZIONE VOCIDIDONNE,Ente terzo settore - ETS (iscritto al RUNTS),Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo e ordini,nome,valido_localizzato,,0,0,0,,Sottoscrittore protocollo pregresso,,24,Ente terzo settore - ETS (iscritto al RUNTS)[1],8,associazionismo
ASSOCIAZIONE VOCIDIDONNE||Ente terzo settore - ETS (iscritto al RUNTS)||||Piemonte,004_0015,01_2406_rta_01_240904122512_4166---accordoSFD.txt,01,Piemonte,,,Associazione VocidiDONNE,Associazione VocidiDONNE,ASSOCIAZIONE VOCIDIDONNE,Ente terzo settore - ETS (iscritto al RUNTS),Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo e ordini,nome,valido_localizzato,,0,0,0,,Firmataria del protocollo d'intesa del 07.04.2017,,24,Ente terzo settore - ETS (iscritto al RUNTS)[1],8,associazionismo
ASSOCIAZIONE DONNE NUOVE||Ente terzo settore - ETS (iscritto al RUNTS)||Biella||Piemonte,002_0021,01_2406_rta_01_240904120005_4166---protocollo.txt,01,Piemonte,Biella,Biella,Associazione Donne Nuove,Associazione Donne Nuove,ASSOCIAZIONE DONNE NUOVE,ORGANIZZAZIONI DI VOLONTARIATO,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo e ordini,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,90050090027,24,Ente terzo settore - ETS (iscritto al RUNTS)[1],8,associazionismo
ASSOCIAZIONE DONNE NUOVE||Ente terzo settore - ETS (iscritto al RUNTS)||Biella||Piemonte,003_0023,01_2406_rta_01_240904121349_4166---convenzione.txt,01,Piemonte,Biella,Biella,Associazione Donne Nuove,Associazione Donne Nuove,ASSOCIAZIONE DONNE NUOVE,ORGANIZZAZIONI DI VOLONTARIATO,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo e ordini,json,valido_localizzato,,0,0,0,,Sottoscrittore protocollo pregresso,90050090027,24,Ente terzo settore - ETS (iscritto al RUNTS)[1],8,associazionismo
ASSOCIAZIONE DONNE NUOVE||Ente terzo settore - ETS (iscritto al RUNTS)||Biella||Piemonte,004_0016,01_2406_rta_01_240904122512_4166---accordoSFD.txt,01,Piemonte,Biella,Biella,Associazione Donne Nuove,Associazione Donne Nuove,ASSOCIAZIONE DONNE NUOVE,ORGANIZZAZIONI DI VOLONTARIATO,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo e ordini,json,valido_localizzato,,0,0,0,,Firmataria del protocollo d'intesa del 07.04.2017,90050090027,24,Ente terzo settore - ETS (iscritto al RUNTS)[1],8,associazionismo
ASSOCIAZIONE SE NON ORA QUANDO? BIELLA||Ente terzo settore - ETS (iscritto al RUNTS)||Biella||Piemonte,002_0022,01_2406_rta_01_240904120005_4166---protocollo.txt,01,Piemonte,Biella,Biella,Associazione Se Non Ora Quando? Biella,Associazione Se Non Ora Quando? Biella,ASSOCIAZIONE SE NON ORA QUANDO? BIELLA,Ente terzo settore - ETS (iscritto al RUNTS),Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo e ordini,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,,24,Ente terzo settore - ETS (iscritto al RUNTS)[1],8,associazionismo
ASSOCIAZIONE SE NON ORA QUANDO? BIELLA||Ente terzo settore - ETS (iscritto al RUNTS)||Biella||Piemonte,004_0017,01_2406_rta_01_240904122512_4166---accordoSFD.txt,01,Piemonte,Biella,Biella,Associazione Se Non Ora Quando? Biella,Associazione Se Non Ora Quando? Biella,ASSOCIAZIONE SE NON ORA QUANDO? BIELLA,Ente terzo settore - ETS (iscritto al RUNTS),Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo e ordini,json,valido_localizzato,attore,1,0,0,,Firmataria del protocollo d'intesa del 07.04.2017,,24,Ente terzo settore - ETS (iscritto al RUNTS)[1],8,associazionismo
ASSOCIAZIONE SAVE THE CHILDREN ITALIA ONLUS||Ente terzo settore - ETS (iscritto al RUNTS)||||Piemonte,002_0023,01_2406_rta_01_240904120005_4166---protocollo.txt,01,Piemonte,,,Associazione Save The Children Italia ONLUS,Associazione Save The Children Italia ONLUS,ASSOCIAZIONE SAVE THE CHILDREN ITALIA ONLUS,Ente terzo settore - ETS (iscritto al RUNTS),Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo e ordini,nome,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo; gestisce Centro 'I Germogli' a Ponderano,,24,Ente terzo settore - ETS (iscritto al RUNTS)[1],8,associazionismo
ASSOCIAZIONE SAVE THE CHILDREN ITALIA ONLUS||Ente terzo settore - ETS (iscritto al RUNTS)||||Piemonte,004_0018,01_2406_rta_01_240904122512_4166---accordoSFD.txt,01,Piemonte,,,Associazione Save The Children Italia ONLUS,Associazione Save The Children Italia ONLUS,ASSOCIAZIONE SAVE THE CHILDREN ITALIA ONLUS,Ente terzo settore - ETS (iscritto al RUNTS),Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo e ordini,nome,valido_localizzato,,0,0,0,,Firmataria del protocollo d'intesa del 07.04.2017,,24,Ente terzo settore - ETS (iscritto al RUNTS)[1],8,associazionismo
RETE ANTIVIOLENZA||CAV||||Piemonte,002_0031,01_2406_rta_01_240904120005_4166---protocollo.txt,01,Piemonte,,,Rete Antiviolenza,Rete Antiviolenza,RETE ANTIVIOLENZA,Altro,CAV,CAV e protezione,nome,valido_localizzato,,0,0,0,,Rete provinciale; promuove strategie condivise,,1,CAV,1,CAV
RETE ANTIVIOLENZA||CAV||||Piemonte,009_0004,01_2406_rta_01_240909112136_4166---convenzionecarmagnola.txt,01,Piemonte,,,Rete Antiviolenza,Rete Antiviolenza,RETE ANTIVIOLENZA,Altro,CAV,CAV e protezione,nome,valido_localizzato,attore,1,0,0,,Collabora con E.M.M.A. ONLUS e lo Sportello Antiviolenza; include soggetti del territorio.,,1,CAV,1,CAV
CASA RIFUGIO BIELLESE||Case Rifugio||||Piemonte,003_0009,01_2406_rta_01_240904121349_4166---convenzione.txt,01,Piemonte,,,Casa Rifugio Biellese,Casa Rifugio Biellese,CASA RIFUGIO BIELLESE,Case Rifugio,Case Rifugio,CAV e protezione,nome,valido_localizzato,attore,1,0,0,,Iscritta all’Albo della Regione Piemonte sezione B n. 8 del 17.08.2017; gestita da Anteo Impresa Cooperativa Sociale,,2,Case Rifugio,1,CAV
CASA RIFUGIO BIELLESE||Case Rifugio||||Piemonte,004_0020,01_2406_rta_01_240904122512_4166---accordoSFD.txt,01,Piemonte,,,Casa Rifugio Biellese,Casa Rifugio Biellese,CASA RIFUGIO BIELLESE,Case Rifugio,Case Rifugio,CAV e protezione,nome,valido_localizzato,,0,0,0,,"Ad indirizzo segreto, attiva dal maggio 2013, gestita da Anteo Cooperativa Sociale Onlus",,2,Case Rifugio,1,CAV
UNIVERSITA DEGLI STUDI DI TORINO||Università||Torino||Piemonte,003_0013,01_2406_rta_01_240904121349_4166---convenzione.txt,01,Piemonte,Torino,Torino,Università degli Studi di Torino,Università degli Studi di Torino,UNIVERSITA DEGLI STUDI DI TORINO,Università,Università,Altro,json,valido_localizzato,,0,0,0,,Firmatario dei precedenti protocolli; Dipartimento Culture Politica e Società (Polo di Biella),,28,Università,7,Settore Educativo
UNIVERSITA DEGLI STUDI DI TORINO||Università||Torino||Piemonte,011_0001,01_2406_rta_01_240909114524_4166---CONVENZIONEUNITO-SPORTANTIVIOLENZA.txt,01,Piemonte,Torino,Torino,Universita degli Studi di Torino,Università degli Studi di Torino,UNIVERSITA DEGLI STUDI DI TORINO,Università,Università,Altro,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,Parte del protocollo; indicato anche come UniTo e Ateneo,,28,Università,7,Settore Educativo
