
ID_RISPONDENTE_RILEV;COD_ANAGRAFICA_RISP;NOME_ANAGRAFICA_RISP;COD_REGIONE;COD_PROVINCIA;COD_COMUNE;ID_DUG;INDIRIZZO;NUM_CIVICO;LOCALITA;UBICAZIONE;CAP;TELEFONO;FAX;EMAIL;SITO_WEB;COD_REGIONE_SEDE_AMM;COD_PROVINCIA_SEDE_AMM;COD_COMUNE_SEDE_AMM;ID_DUG_SEDE_AMM;INDIRIZZO_SEDE_AMM;NUM_CIVICO_SEDE_AMM;LOCALITA_SEDE_AMM;UBICAZIONE_SEDE_AMM;CAP_SEDE_AMM;TELEFONO_SEDE_AMM;FAX_SEDE_AMM;EMAIL_SEDE_AMM;NOTE;COGNOME_PERSONA_FISICA;NOME_PERSONA_FISICA;CAMPO_JOLLY1;CAMPO_JOLLY2;CAMPO_JOLLY3;ID_TIPO_ACQUISIZIONE;ID_STATO_RISPONDENTE;ID_TIPO_ESITO;ID_UTENTE;LIV_MONITORAGGIO_1;LIV_MONITORAGGIO_2;LIV_MONITORAGGIO_3;LIV_MONITORAGGIO_4
100;CAV0600006;Servizio Zero Tolerance � contro la violenza sulle donne;06;030;129;;via San Valentino;20;UDINE;;;800531135;;zerotolerance@comune.udine.it;;;;;;;;;;;;;;;UTE0600006;;;;;1;1;;CAV0600006;06;06;1;2
102;CAV1200002;Centro Maree per donne in difficolt� e vittime di violenza;12;058;091;;Via Monte delle Capre;23;Roma;;00148;066535499 0665793182;;centromaree.roma@gmail.com;;;;;;;;;;;;;;;UTE1200002;;;;;1;1;;CAV1200002;12;12;1;2
103;CAV1200003;Centro Antiviolenza per donne che non vogliono pi� subire violenza;12;058;091;;Viale di Villa Pamphili;71/c;Roma;;00152;065810926;;ceproant@tiscalinet.it;;;;;;;;;;;;;;;UTE1200003;;;;;1;1;;CAV1200003;12;12;1;2
104;CAV1200004;Centro prov. accoglienza e ass. soc. donne in difficolt� La Ginestra;12;058;110;;Via Colle Tocciarello;1;Valmontone (RM);;00038;069591187;;cadd.valmontone@libero.it;;;;;;;;;;;;;;;UTE1200004;;;;;1;1;;CAV1200004;12;12;1;2
106;CAV1200006;Centro Donna Lilith Onlus;12;059;011;;Via Fratelli Bandiera;34;Latina;;04100;0773664165;;info@centrodonnalilith.it;;;;;;;;;;;;;;;UTE1200006;;;;;1;1;;CAV1200006;12;12;1;2
107;CAV1200007;Ass. Volontarie Telefono Rosa Frosinone Centro Orientamento per le donne;12;060;024;;Giovanni Falcone;snc;Ceccano (FR);;03023;07751886011;;telefonorosaceccano@libero.it;;;;;;;;;;;;;;;UTE1200007;;;;;1;1;;CAV1200007;12;12;1;2
108;CAV1200008;Centro Antiviolenza Mai pi� Ferite;12;060;038;;corso della Repubblica;130;Frosinone;;03100;3453920312;;infomaipiuferite@libero.it;;;;;;;;;;;;;;;UTE1200008;;;;;1;1;;CAV1200008;12;12;1;2
109;CAV1200009;Nuove opportunit� a sostegno delle donne vittime di violenza;12;060;038;;Piazza VI Dicembre;snc;Frosinone;;03100;800582999;;mendilloauserfr@gmail.com;;;;;;;;;;;;;;;UTE1200009;;;;;1;1;;CAV1200009;12;12;1;2
110;CAV0700001;Centro ISV - Insieme Senza Violenza;07;008;055;;Viale Matteotti;28;Imperia;;18100;3938872711;;info@centroisv.it;;;;;;;;;;;;;;;UTE0700001;;;;;1;1;;CAV0700001;07;07;1;2
111;CAV0700002;Telefono Donna;07;009;056;;Via Sormano;12;Savona;;17100;0198313399;;telefonodonnasv@gmail.com;;;;;;;;;;;;;;;UTE0700002;;;;;1;1;;CAV0700002;07;07;1;2
112;CAV0700003;Centro Antiviolenza Mascherona;07;010;025;;Piazza Colombo;3/7;Genova;;16121;3491163601;;antiviolenzamascherona@ilcerchiodellerelazioni.it;;;;;;;;;;;;;;;UTE0700003;;;;;1;1;;CAV0700003;07;07;1;2
113;CAV0700004;Centro per non subire violenza;07;010;025;;Via Cairoli;14/7;Genova;;16124;0102461716;;pernonsubireviolenza@gmail.com;;;;;;;;;;;;;;;UTE0700004;;;;;1;1;;CAV0700004;07;07;1;2
114;CAV0700005;Centro Antiviolenza Pandora Mignanego;07;010;035;;Via V. Veneto;143/2;Mignanego;;16018;0107720780;;centropandora@cooperativasocialemignanego.it;;;;;;;;;;;;;;;UTE0700005;;;;;1;1;;CAV0700005;07;07;1;2
115;CAV0700006;Telefono Donna Centro AntiViolenza CIF;07;010;015;;Piazza Fenice;5/1B;Chiavari;;16043;0185309912;;info@telefonodonnatigullio.it;;;;;;;;;;;;;;;UTE0700006;;;;;1;1;;CAV0700006;07;07;1;2
116;CAV0700007;Centro Antiviolenza Irene;07;011;015;;Via Migliari;21;La Spezia;;19121;0187023944;;stopviolenza@comune.sp.it;;;;;;;;;;;;;;;UTE0700007;;;;;1;1;;CAV0700007;07;07;1;2
117;CAV0300001;Ass. Donne Insieme Contro la Violenza;03;015;173;;;;;;;0290422123;;info@donneinsieme.org;;;;;;;;;;;;;;;UTE0300001;;;;;1;1;;CAV0300001;03;03;1;2
118;CAV0300002;Ass. L'Altra Met� del Cielo-Telefono Donna di Merate;03;097;048;;;;;;;0399900678;;segreteria@altrametadelcielo.org;;;;;;;;;;;;;;;UTE0300002;;;;;1;1;;CAV0300002;03;03;1;2
119;CAV0300003;Donna Si-cura;03;012;128;;;;;;;03321785132;;donnasi-cura@libero.it;;;;;;;;;;;;;;;UTE0300003;;;;;1;1;;CAV0300003;03;03;1;2
120;CAV0300004;A.I.D.A. Onlus -  Associazione Incontro Donne Antiviolenza;03;019;036;;;;;;;0372801427;;info@aidacremona.it;;;;;;;;;;;;;;;UTE0300004;;;;;1;1;;CAV0300004;03;03;1;2
121;CAV0300005;Ass. C.H.I.A.R.A.;03;018;182;;;;;;;3831915589;;presidentechiara@gmail.com;;;;;;;;;;;;;;;UTE0300005;;;;;1;1;;CAV0300005;03;03;1;2
122;CAV0300006;Ass. Casa di Accoglienza delle Donne Maltrattate di Milano-CADMI;03;015;146;;;;;;;0255019609;;info@cadmi.org;;;;;;;;;;;;;;;UTE0300006;;;;;1;1;;CAV0300006;03;03;1;2
123;CAV0300007;Ass. Donne contro la violenza;03;019;035;;;;;;;037380999;;assocdonne@alice.it;;;;;;;;;;;;;;;UTE0300007;;;;;1;1;;CAV0300007;03;03;1;2
124;CAV0300008;Ass. E.VA onlus Emergenza contro la Violenza;03;012;026;;;;;;;3345369630;;info@evaonlus.it;;;;;;;;;;;;;;;UTE0300008;;;;;1;1;;CAV0300008;03;03;1;2
125;CAV0300009;Ass. Rete Rosa;03;012;119;;;;;;;3345369630;;info@reterosa.eu;;;;;;;;;;;;;;;UTE0300009;;;;;1;1;;CAV0300009;03;03;1;2
126;CAV0300010;AUSER FILO ROSA Sede operativa di Legnano;03;015;118;;;;;;;3483212482;;auserfilorosa@libero.it;;;;;;;;;;;;;;;UTE0300010;;;;;1;1;;CAV0300010;03;03;1;2
127;CAV0300011;C.A.DO.M. Centro Aiuto alle Donne Maltrattate-APS;03;108;033;;;;;;;0392840006;;info@cadom.it;;;;;;;;;;;;;;;UTE0300011;;;;;1;1;;CAV0300011;03;03;1;2
128;CAV0300012;Casa delle Donne-CaD Brescia;03;017;029;;;;;;;0302400636;;casa@casadelledonne-bs.it;;;;;;;;;;;;;;;UTE0300012;;;;;1;1;;CAV0300012;03;03;1;2
129;CAV0300013;Centro Antiviolenza Segnavia;03;015;146;;;;;;;3295870862;;accoglienzadonne@fondazionesomaschi.it;;;;;;;;;;;;;;;UTE0300013;;;;;1;1;;CAV0300013;03;03;1;2
130;CAV0300014;Centro Antiviolenza Sportello Donna;03;016;219;;;;;;;0345 21619;;centroantiviolenzapenelope@centrosirio.it;;;;;;;;;;;;;;;UTE0300014;;;;;1;1;;CAV0300014;03;03;1;2
131;CAV0300015;Cerchi D'Acqua s.c.a.r.l. Onlus;03;015;146;;;;;;;0258430117;;info@cerchidacqua.org;;;;;;;;;;;;;;;UTE0300015;;;;;1;1;;CAV0300015;03;03;1;2
132;CAV0300016;Cooperativa LiberaMente Onlus-Percorsi di donne contro la violenza;03;018;110;;;;;;;038232136;;centroantiviolenzapv@gmail.com;;;;;;;;;;;;;;;UTE0300016;;;;;1;1;;CAV0300016;03;03;1;2
133;CAV0300017;EOS;03;012;133;;;;;;;0332231271;;eosvarese4@gmail.com;;;;;;;;;;;;;;;UTE0300017;;;;;1;1;;CAV0300017;03;03;1;2
134;CAV0300018;ICORE;03;012;078;;;;;;;0331618959;;ass.icore@gmail.com;;;;;;;;;;;;;;;UTE0300018;;;;;1;1;;CAV0300018;03;03;1;2
135;CAV0300019;Il Coraggio di Frida;03;014;061;;;;;;;335346178;;coraggiodifrida@gmail.com;;;;;;;;;;;;;;;UTE0300019;;;;;1;1;;CAV0300019;03;03;1;2
136;CAV0300020;La Met� di niente-Ass. L'Orsa Minore Onlus;03;098;031;;;;;;;0371840477;;presidente.centroantiviolenza@gmail.com;;;;;;;;;;;;;;;UTE0300020;;;;;1;1;;CAV0300020;03;03;1;2
137;CAV0300021;M.I.A. Onlus � AssociazioneMovimento Incontro Ascolto;03;019;021;;;;;;;0375061754;;gruppomia@gmail.com;;;;;;;;;;;;;;;UTE0300021;;;;;1;1;;CAV0300021;03;03;1;2
138;CAV0300022;Se.D-Caritas Ambrosiana;03;015;146;;;;;;;0276037352;;maltrattamentodonne@caritasambrosiana.it;;;;;;;;;;;;;;;UTE0300022;;;;;1;1;;CAV0300022;03;03;1;2
139;CAV0300023;SED-Farsi Prossimo;03;015;146;;;;;;;0276037353;;maltrattamentodonne@caritasambrosiana.it;;;;;;;;;;;;;;;UTE0300023;;;;;1;1;;CAV0300023;03;03;1;2
140;CAV0300024;SVSeD-Soccorso Violenza Sessuale e Domestica-FONDAZIONE IRCCS CA' GRANDA OSPEDALE MAGGIORE POLICLINICO;03;015;146;;;;;;;0255038585;;svsed@policlinico.mi.it;;;;;;;;;;;;;;;UTE0300024;;;;;1;1;;CAV0300024;03;03;1;2
141;CAV0300025;SVSDONNAIUTADONNA ONLUS;03;015;146;;;;;;;0255038520;;svsdadonlus@gmail.com;;;;;;;;;;;;;;;UTE0300025;;;;;1;1;;CAV0300025;03;03;1;2
142;CAV0300026;Telefono Donna Como onlus;03;013;075;;;;;;;031304585;;segreteria@telefonodonnacomo.it;;;;;;;;;;;;;;;UTE0300026;;;;;1;1;;CAV0300026;03;03;1;2
143;CAV0300027;Telefono Donna Lecco;03;097;042;;;;;;;0341363484;;teldonnalecco@gmail.com;;;;;;;;;;;;;;aggiornata email 4/04/2024;UTE0300027;;;;;1;1;;CAV0300027;03;03;1;2
144;CAV0300028;Telefono Donna Onlus Sede Operativa di Magenta;03;015;130;;;;;;;029735411;;centroantiviolenzatd@comune.magenta.mi.it;;;;;;;;;;;;;;A seguito di riscontro telefonico di data 18.08.2023 l'indirizzo e-mail corretto del centro �: centroantiviolenzatd@comune.magenta.mi.it che va a sostituire centroantiviolenzatd@comunedimagenta.it FG;UTE0300028;;;;;1;1;;CAV0300028;03;03;1;2
145;CAV0300029;VErso NUove Strade-Centro Antiviolenza Sovrambito Nord Milano;03;015;077;;;;;;;0222199730;;centrovenus.info@gmail.com;;;;;;;;;;;;;;;UTE0300029;;;;;1;1;;CAV0300029;03;03;1;2
146;CAV0300030;Associazione volontarie Telefono Rosa;03;020;030;;;;;;;0376225656;;telefonorosamantova@gmail.com;;;;;;;;;;;;;;;UTE0300030;;;;;1;1;;CAV0300030;03;03;1;2
147;CAV0300031;CAV di Mantova;03;020;030;;;;;;;0376 325737;;sosviolenza@centroaiutovitamantova.it;;;;;;;;;;;;;;;UTE0300031;;;;;1;1;;CAV0300031;03;03;1;2
148;CAV0300032;Associazione Aiuto Donna Onlus;03;016;024;;;;;;;035212933;;info@aiutodonna.it�;;;;;;;;;;;;;;;UTE0300032;;;;;1;1;;CAV0300032;03;03;1;2
149;CAV0300033;Kore coop. Donna tutto per te;03;018;177;;;;;;;3491422751;;korecooperativa@virgilio.it;;;;;;;;;;;;;;;UTE0300033;;;;;1;1;;CAV0300033;03;03;1;2
150;CAV1100001;Centro Antiviolenza Parla con noi;11;041;044;;Via Diaz;10;;;61121;0721639014;;parlaconnoi@provincia.ps.it;;;;;;;;;;;;;;;UTE1100001;;;;;1;1;;CAV1100001;11;11;1;2
151;CAV1100002;Centro Antiviolenza Donne e Giustizia;11;042;002;;Via Cialdini;24a;;;60122;071205376;;donne.giustizia@gmail.com;;;;;;;;;;;;;;;UTE1100002;;;;;1;1;;CAV1100002;11;11;1;2
152;CAV1100003;Centro Antiviolenza SOS Donna;11;043;023;;P.zza Mazzini;14;;;62100;0733256487;;cavsosdonna@comune.macerata.it;;;;;;;;;;;;;;;UTE1100003;;;;;1;1;;CAV1100003;11;11;1;2
153;CAV1100004;Centro Antiviolenza Percorsi Donna articolato su n. cinque sedi;11;109;006;;P.le Azzolino;18;;;63900;0734603167;;percorsidonna@ontheroad.coop;;;;;;;;;;;;;;;UTE1100004;;;;;1;1;;CAV1100004;11;11;1;2
154;CAV1100005;Centro Antiviolenza Donna con te articolato su tre sedi:;11;044;007;;V.le Marcello Federici;;;;63100;800021314;;donnaconte@ontheroad.coop;;;;;;;;;;;;;;;UTE1100005;;;;;1;1;;CAV1100005;11;11;1;2
155;CAV1400001;Centro Antiviolenza Befree con Ambito Territoriale Sociale di Campobasso;14;070;006;;Viale del Castello;68/72;Campobasso;;86100;3334820030;;befreeatscampobasso@gmail.com;;;;;;;;;;;;;comune.campobasso.ambitosociale@pec.it;;UTE1400001;;;;;1;1;;CAV1400001;14;14;1;2
