file,nome,tipo,comune,provincia,sigla_provincia,regione,codice_comune,codice_provincia,codice_regione,livello_territoriale,lat,lon,ruolo,governance_detail,is_firmatario,is_proponente,is_attore,is_gestione,is_monitoraggio,is_coordinamento,is_governance,is_governance_generica,is_ente_capofila,nome_key,tipo_key,comune_key,provincia_key,regione_key,ruolo_key,livello_key,info_score
03_2406_rta_03_240923113114_4166---ProtocolloReteAddaMartesanasottoscritto.txt,Associazione Blimunde - Sguardi di donne su salute e medicina,Ente terzo settore - ETS (iscritto al RUNTS) costituito da donne per le donne,Ghedi,Brescia,BS,Lombardia,017078,017,03,comune,45.401563,10.277085,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,associazione blimunde - sguardi di donne su salute e medicina,ente terzo settore - ets (iscritto al runts) costituito da donne per le donne,ghedi,brescia,lombardia,"firmatario, attore, gestione",comune,7
03_2406_rta_03_240918151606_4166---A_RetePavia_Protocollo2021_e_Integrazioni2023_firmato_compressed.txt,Associazione C.H.I.A.R.A. Onlus,CAV/Centri Antiviolenza,Voghera,Pavia,PV,Lombardia,018182,018,03,comune,44.993109,9.008565,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,associazione c.h.i.a.r.a. onlus,cav/centri antiviolenza,voghera,pavia,lombardia,"firmatario, attore, gestione",comune,7
09_PISA PREF E PROV.txt,Associazione Casa della donna,CAV/Centri Antiviolenza,Pisa,Pisa,PI,Toscana,050026,050,09,comune,43.715461,10.401088,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,associazione casa della donna,cav/centri antiviolenza,pisa,pisa,toscana,"firmatario, attore, gestione",comune,7
12_2406_rta_12_240926133706_4166---STAR.txt,Associazione Centro Donna Lilith,CAV/Centri Antiviolenza,Latina,Latina,LT,Lazio,059011,059,12,comune,41.467896,12.90319,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,associazione centro donna lilith,cav/centri antiviolenza,latina,latina,lazio,"firmatario, attore, gestione",comune,7
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Associazione Dafne Onlus,ALTRI ENTI DEL TERZO SETTORE,San Salvo,Chieti,CH,Abruzzo,069083,069,13,comune,42.045395,14.731597,"firmatario, proponente, attore, coordinamento",coordinamento,True,True,True,False,False,True,True,False,False,associazione dafne onlus,altri enti del terzo settore,san salvo,chieti,abruzzo,"firmatario, proponente, attore, coordinamento",comune,7
13_2406_rta_13_241122104158_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Associazione Dafne Onlus,ALTRI ENTI DEL TERZO SETTORE,San Salvo,Chieti,CH,Abruzzo,069083,069,13,comune,42.045395,14.731597,"firmatario, attore, coordinamento",coordinamento,True,False,True,False,False,True,True,False,False,associazione dafne onlus,altri enti del terzo settore,san salvo,chieti,abruzzo,"firmatario, attore, coordinamento",comune,7
13_2406_rta_13_241122104842_4166---Protocollodirete_DAFNE.txt,Associazione Dafne Onlus,ALTRI ENTI DEL TERZO SETTORE,San Salvo,Chieti,CH,Abruzzo,069083,069,13,comune,42.045395,14.731597,"firmatario, proponente, attore, gestione, coordinamento","gestione, coordinamento",True,True,True,True,False,True,True,False,False,associazione dafne onlus,altri enti del terzo settore,san salvo,chieti,abruzzo,"firmatario, proponente, attore, gestione, coordinamento",comune,7
13_2406_rta_13_241122105540_4166---protocollodirete_vastodonnattiva.txt,Associazione Dafne Onlus,ALTRI ENTI DEL TERZO SETTORE,San Salvo,Chieti,CH,Abruzzo,069083,069,13,comune,42.045395,14.731597,"firmatario, attore, gestione, coordinamento","gestione, coordinamento",True,False,True,True,False,True,True,False,False,associazione dafne onlus,altri enti del terzo settore,san salvo,chieti,abruzzo,"firmatario, attore, gestione, coordinamento",comune,7
12_2406_rta_12_241003120714_4166---ASLROMA5_.txt,Associazione Differenza Donna - Associazione di Donne contro la violenza alle donne Onlus,ASSOCIAZIONI DI PROMOZIONE SOCIALE,Roma,Roma,RM,Lazio,058091,258,12,comune,41.892984,12.483536,"attore, gestione",gestione,False,False,True,True,False,False,True,False,False,associazione differenza donna - associazione di donne contro la violenza alle donne onlus,associazioni di promozione sociale,roma,roma,lazio,"attore, gestione",comune,7
12_2406_rta_12_241003105319_4166---PROTOCOLLODIINTES1_2601def-signed-signed.txt,Associazione Differenza Donna APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,Roma,Roma,RM,Lazio,058091,258,12,comune,41.892984,12.483536,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,associazione differenza donna aps,associazioni di promozione sociale,roma,roma,lazio,"firmatario, attore, gestione",comune,7
12_2406_rta_12_241003112656_4166---AccordodicollaborazioneconsultorieDifferenzaDonna.txt,Associazione Differenza Donna APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,Roma,Roma,RM,Lazio,058091,258,12,comune,41.892984,12.483536,"firmatario, proponente, attore, gestione",gestione,True,True,True,True,False,False,True,False,False,associazione differenza donna aps,associazioni di promozione sociale,roma,roma,lazio,"firmatario, proponente, attore, gestione",comune,7
12_2406_rta_12_241003110309_4166---ProtocollodiIntesaMunicipio1eDD.txt,Associazione Differenza Donna — ONLUS,Ente terzo settore - ETS (iscritto al RUNTS),Roma,Roma,RM,Lazio,058091,258,12,comune,41.892984,12.483536,"firmatario, proponente, attore, gestione",gestione,True,True,True,True,False,False,True,False,False,associazione differenza donna — onlus,ente terzo settore - ets (iscritto al runts),roma,roma,lazio,"firmatario, proponente, attore, gestione",comune,7
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Donne Insieme Valdelsa,CAV/Centri Antiviolenza,Colle Di Val D'Elsa,Siena,SI,Toscana,052012,052,09,comune,43.421354,11.117309,"attore, gestione",gestione,False,False,True,True,False,False,True,False,False,associazione donne insieme valdelsa,cav/centri antiviolenza,colle di val d'elsa,siena,toscana,"attore, gestione",comune,7
11_2406_rta_11_240911113105_4166---PROTOCOLLO_OPERATIVO2024_CONINDIRIZZARIO_FIRMATO.txt,Associazione Donne e Giustizia di Ancona,CAV/Centri Antiviolenza,Ancona,Ancona,AN,Marche,042002,042,11,comune,43.616739,13.518874,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,associazione donne e giustizia di ancona,cav/centri antiviolenza,ancona,ancona,marche,"firmatario, attore, gestione",comune,7
09_PISA PREF E PROV.txt,Associazione Frida,CAV/Centri Antiviolenza,San Miniato,Pisa,PI,Toscana,050032,050,09,comune,43.679558,10.852629,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,associazione frida,cav/centri antiviolenza,san miniato,pisa,toscana,"firmatario, attore, gestione",comune,7
08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,Associazione Grazia e Pace,ORGANIZZAZIONI DI VOLONTARIATO,Cesena,Forlì-Cesena,FC,Emilia-Romagna,040007,040,08,comune,44.136257,12.241918,"attore, gestione",gestione,False,False,True,True,False,False,True,False,False,associazione grazia e pace,organizzazioni di volontariato,cesena,forlì-cesena,emilia-romagna,"attore, gestione",comune,7
03_2406_rta_03_240918153240_4166---Protocollod'intesaperl'IstituzionediunSistemaTerritorialeAntiviolenzainReteconAddendumSindacati.txt,Associazione L'Altra Meta del Cielo - Telefono Donna di Merate,CAV/Centri Antiviolenza,Merate,Lecco,LC,Lombardia,097048,097,03,comune,45.699889,9.416989,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,associazione l'altra meta del cielo - telefono donna di merate,cav/centri antiviolenza,merate,lecco,lombardia,"firmatario, attore, gestione",comune,7
03_2406_rta_03_240923113114_4166---ProtocolloReteAddaMartesanasottoscritto.txt,Associazione Mariposa,Ente terzo settore - ETS (iscritto al RUNTS) costituito da donne per le donne,Trezzo Sull’ Adda,Milano,MI,Lombardia,015221,215,03,regione,45.590166,9.545285,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,associazione mariposa,ente terzo settore - ets (iscritto al runts) costituito da donne per le donne,trezzo sull’ adda,milano,lombardia,"firmatario, attore, gestione",regione,7
08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,Associazione Mater Caritatis,ASSOCIAZIONI DI PROMOZIONE SOCIALE,Cesena,Forlì-Cesena,FC,Emilia-Romagna,040007,040,08,comune,44.136257,12.241918,"attore, gestione",gestione,False,False,True,True,False,False,True,False,False,associazione mater caritatis,associazioni di promozione sociale,cesena,forlì-cesena,emilia-romagna,"attore, gestione",comune,7
12_2406_rta_12_241003094302_4166---4VerbaleIncontroGiorgieLaGinestra-PROTOCOLLO.txt,Associazione Nazionale Volontarie del Telefono Rosa - Onlus,ASSOCIAZIONI DI PROMOZIONE SOCIALE,Roma,Roma,RM,Lazio,058091,258,12,comune,41.892984,12.483536,"attore, gestione",gestione,False,False,True,True,False,False,True,False,False,associazione nazionale volontarie del telefono rosa - onlus,associazioni di promozione sociale,roma,roma,lazio,"attore, gestione",comune,7
03_2406_rta_03_240920120751_4166---protocollodiintesa.txt,Associazione Paroikia Onlus di Abbiategrasso,ORGANIZZAZIONI DI VOLONTARIATO,Abbiategrasso,Milano,MI,Lombardia,015002,215,03,comune,45.398572,8.916447,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,associazione paroikia onlus di abbiategrasso,organizzazioni di volontariato,abbiategrasso,milano,lombardia,"firmatario, attore, gestione",comune,7
12_2406_rta_12_240926113112_4166---4AccordoSpaziosupportodonnaAPSPonteDonna.txt,Associazione Ponte Donna APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,Grottaferrata,Roma,RM,Lazio,058046,258,12,comune,41.788708,12.667168,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,associazione ponte donna aps,associazioni di promozione sociale,grottaferrata,roma,lazio,"firmatario, attore, gestione",comune,7
01_2406_rta_01_240904162242_4166---CONVENZIONETRAASLTO3ESVOLTADONNA.txt,Associazione SvoltaDonna OdV —Centro Antiviolenza,CAV/Centri Antiviolenza,Pinerolo,Torino,TO,Piemonte,001191,201,01,comune,44.887333,7.33205,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,associazione svoltadonna odv —centro antiviolenza,cav/centri antiviolenza,pinerolo,torino,piemonte,"firmatario, attore, gestione",comune,7
12_2406_rta_12_241004133706_4166---ProtocollodiretePREFETTURAFrosinone(1).txt,Associazione Volontarie Telefono Rosa Frosinone-Regione Lazio ODV,CAV/Centri Antiviolenza,Ceccano,Frosinone,FR,Lazio,060024,060,12,regione,41.965038,12.903962,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,associazione volontarie telefono rosa frosinone-regione lazio odv,cav/centri antiviolenza,ceccano,frosinone,lazio,"firmatario, attore, gestione",regione,7
08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt,Associazione di volontariato DEMETRA DONNE IN AIUTO ODV,CAV/Centri Antiviolenza,Lugo,Ravenna,RA,Emilia-Romagna,039012,039,08,comune,44.42103,11.911668,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,associazione di volontariato demetra donne in aiuto odv,cav/centri antiviolenza,lugo,ravenna,emilia-romagna,"firmatario, attore, gestione",comune,7
08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt,Associazione di volontariato LINEA ROSA ODV,CAV/Centri Antiviolenza,Ravenna,Ravenna,RA,Emilia-Romagna,039014,039,08,comune,44.417322,12.199113,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,associazione di volontariato linea rosa odv,cav/centri antiviolenza,ravenna,ravenna,emilia-romagna,"firmatario, attore, gestione",comune,7
08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt,Associazione di volontariato SOS DONNA ODV,CAV/Centri Antiviolenza,Faenza,Ravenna,RA,Emilia-Romagna,039010,039,08,comune,44.285523,11.8825,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,associazione di volontariato sos donna odv,cav/centri antiviolenza,faenza,ravenna,emilia-romagna,"firmatario, attore, gestione",comune,7
16_2406_rta_16_250409161633_4166---29_prot_n_0090671_2024_PROT_OP-ODVPOLIZIADISTATO-RISCOPRIRSI.txt,Associazione “RiscoprirSi... - APS”,ASSOCIAZIONI DI PROMOZIONE SOCIALE,Andria,Barletta-Andria-Trani,BT,Puglia,110001,110,16,comune,41.227106,16.295272,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,associazione “riscoprirsi... - aps”,associazioni di promozione sociale,andria,barletta-andria-trani,puglia,"firmatario, attore, gestione",comune,7
03_2406_rta_03_240920120751_4166---protocollodiintesa.txt,Auser Ticino Olona di Legnano,Ente terzo settore - ETS (iscritto al RUNTS),Legnano,Milano,MI,Lombardia,015118,215,03,comune,45.595373,8.918884,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,auser ticino olona di legnano,ente terzo settore - ets (iscritto al runts),legnano,milano,lombardia,"firmatario, attore, gestione",comune,7
12_2406_rta_12_241004114912_4166---ProtocolloRetePrantiviolenzaFrosinone.txt,Auser del Frusinate,CAV/Centri Antiviolenza,Frosinone,Frosinone,FR,Lazio,060038,060,12,comune,41.639237,13.35057,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,auser del frusinate,cav/centri antiviolenza,frosinone,frosinone,lazio,"firmatario, attore, gestione",comune,7
08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Azienda Ospedaliera Universitaria di Ferrara,"Ospedale (Pronto soccorso, ecc.)",Ferrara,Ferrara,FE,Emilia-Romagna,038008,038,08,comune,44.836014,11.618745,"firmatario, proponente, attore, coordinamento",coordinamento,True,True,True,False,False,True,True,False,False,azienda ospedaliera universitaria di ferrara,"ospedale (pronto soccorso, ecc.)",ferrara,ferrara,emilia-romagna,"firmatario, proponente, attore, coordinamento",comune,7
12_2406_rta_12_241004114912_4166---ProtocolloRetePrantiviolenzaFrosinone.txt,Azienda Sanitaria Locale di Frosinone,ASL (consultori familiari e altri servizi territoriali),Frosinone,Frosinone,FR,Lazio,060038,060,12,comune,41.639237,13.35057,"firmatario, proponente, attore, gestione",gestione,True,True,True,True,False,False,True,False,False,azienda sanitaria locale di frosinone,asl (consultori familiari e altri servizi territoriali),frosinone,frosinone,lazio,"firmatario, proponente, attore, gestione",comune,7
03_2406_rta_03_240923111659_4166---ProtocolloantiviolenzaComunediLodi_scansioneconfirme_maggio2014.txt,Azienda Sanitaria Locale di Lodi,ASL (consultori familiari e altri servizi territoriali),Lodi,Lodi,LO,Lombardia,098031,098,03,comune,45.314479,9.502812,"firmatario, proponente, attore, coordinamento",coordinamento,True,True,True,False,False,True,True,False,False,azienda sanitaria locale di lodi,asl (consultori familiari e altri servizi territoriali),lodi,lodi,lombardia,"firmatario, proponente, attore, coordinamento",comune,7
03_2406_rta_03_240918153240_4166---Protocollod'intesaperl'IstituzionediunSistemaTerritorialeAntiviolenzainReteconAddendumSindacati.txt,Azienda Socio Sanitaria Territoriale (ASST) di Lecco,ASL (consultori familiari e altri servizi territoriali),Lecco,Lecco,LC,Lombardia,097042,097,03,comune,45.855317,9.393736,"firmatario, proponente, attore, coordinamento",coordinamento,True,True,True,False,False,True,True,False,False,azienda socio sanitaria territoriale (asst) di lecco,asl (consultori familiari e altri servizi territoriali),lecco,lecco,lombardia,"firmatario, proponente, attore, coordinamento",comune,7
03_2406_rta_03_240926144324_4166---Protocollodiintesa.txt,Azienda Speciale Consortile Sercop,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Rho,Milano,MI,Lombardia,015182,215,03,comune,45.52897,9.040138,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,azienda speciale consortile sercop,"ambiti della programmazione sociale e socio-sanitaria (ambiti sociali, piani di zona, distretti socio-sanitari, società della salute)",rho,milano,lombardia,"firmatario, attore, gestione",comune,7
08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Azienda USL di Ferrara,ASL (consultori familiari e altri servizi territoriali),Ferrara,Ferrara,FE,Emilia-Romagna,038008,038,08,comune,44.836014,11.618745,"firmatario, proponente, attore, gestione",gestione,True,True,True,True,False,False,True,False,False,azienda usl di ferrara,asl (consultori familiari e altri servizi territoriali),ferrara,ferrara,emilia-romagna,"firmatario, proponente, attore, gestione",comune,7
"03_2406_rta_03_240923164603_4166---ProtocolloreteantiviolenzaBusto,Gallarate,Saronno,SommaLombardo-2024.txt",Baobab Cooperativa Sociale,Case Rifugio,Tradate,Varese,VA,Lombardia,012127,012,03,comune,45.713512,8.905978,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,baobab cooperativa sociale,case rifugio,tradate,varese,lombardia,"firmatario, attore, gestione",comune,7
12_2406_rta_12_241008150836_4166---2.prot.txt,Be Free Societa Cooperativa Sociale,IMPRESE SOCIALI,Roma,Roma,RM,Lazio,058091,258,12,comune,41.892984,12.483536,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,be free societa cooperativa sociale,imprese sociali,roma,roma,lazio,"firmatario, attore, gestione",comune,7
01_2406_rta_01_240920123646_4166---vercellieos.txt,C.A.S.A. (Consorzio per l’Attivita Socio Assistenziale di Gattinara),CAV/Centri Antiviolenza,Gattinara,Vercelli,VC,Piemonte,002061,002,01,comune,45.617923,8.370763,"firmatario, proponente, attore, gestione",gestione,True,True,True,True,False,False,True,False,False,c.a.s.a. (consorzio per l’attivita socio assistenziale di gattinara),cav/centri antiviolenza,gattinara,vercelli,piemonte,"firmatario, proponente, attore, gestione",comune,7
01_2406_rta_01_240920123646_4166---vercellieos.txt,C.I.S.A.S. (Consorzio Intercomunale per i Servizi di Assistenza Sociale di Santhia),CAV/Centri Antiviolenza,Santhia,Vercelli,VC,Piemonte,002133,002,01,comune,45.366951,8.17434,"firmatario, proponente, attore, gestione",gestione,True,True,True,True,False,False,True,False,False,c.i.s.a.s. (consorzio intercomunale per i servizi di assistenza sociale di santhia),cav/centri antiviolenza,santhia,vercelli,piemonte,"firmatario, proponente, attore, gestione",comune,7
03_2406_rta_03_240918153240_4166---Protocollod'intesaperl'IstituzionediunSistemaTerritorialeAntiviolenzainReteconAddendumSindacati.txt,C.P.O. Ordine Avvocati della provincia di Lecco,Ordine avvocati,Lecco,Lecco,LC,Lombardia,097042,097,03,provincia,45.845166,9.369822,"firmatario, proponente, attore, monitoraggio",monitoraggio,True,True,True,False,True,False,True,False,False,c.p.o. ordine avvocati della provincia di lecco,ordine avvocati,lecco,lecco,lombardia,"firmatario, proponente, attore, monitoraggio",provincia,7
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,CASA delle donne per non subire violenza,CAV/Centri Antiviolenza,Bologna,Bologna,BO,Emilia-Romagna,037006,237,08,comune,44.49411,11.341719,"attore, gestione",gestione,False,False,True,True,False,False,True,False,False,casa delle donne per non subire violenza,cav/centri antiviolenza,bologna,bologna,emilia-romagna,"attore, gestione",comune,7
01_2406_rta_01_240909110828_4166---PROTOCOLLOHELP.txt,CENTRI ANTIVIOLENZA E.M.M.A. ONLUS,CAV/Centri Antiviolenza,Torino,Torino,TO,Piemonte,001272,201,01,comune,45.073289,7.680696,"firmatario, proponente, attore, coordinamento, ente_capofila",coordinamento,True,True,True,False,False,True,True,False,True,centri antiviolenza e.m.m.a. onlus,cav/centri antiviolenza,torino,torino,piemonte,"firmatario, proponente, attore, coordinamento, ente_capofila",comune,7
01_2406_rta_01_240909112136_4166---convenzionecarmagnola.txt,CENTRI ANTIVIOLENZA E.M.M.A. ONLUS,CAV/Centri Antiviolenza,Torino,Torino,TO,Piemonte,001272,201,01,comune,45.073289,7.680696,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,centri antiviolenza e.m.m.a. onlus,cav/centri antiviolenza,torino,torino,piemonte,"firmatario, attore, gestione",comune,7
03_2406_rta_03_240923171949_4166---PROTOCOLLOD'INTESARETETERRITORIALEANTIVIOLENZAVALLETROMPIA2024.txt,CIVITAS,ORGANIZZAZIONI DI VOLONTARIATO,Cremona,Cremona,CR,Lombardia,019036,019,03,comune,45.133367,10.024209,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,civitas,organizzazioni di volontariato,cremona,cremona,lombardia,"firmatario, attore, gestione",comune,7
01_2406_rta_01_241003120726_4166---Protocollod'intesaCISSAC-Puntoacapo.txt,CONSORZIO INTERCOMUNALE SERVIZI SOCIO ASSISTENZIALI DI CALUSO- C.1.S.S-AC,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Caluso,Torino,TO,Piemonte,001047,201,01,comune,45.307818,7.89149,"firmatario, attore, gestione",gestione,True,False,True,True,False,False,True,False,False,consorzio intercomunale servizi socio assistenziali di caluso- c.1.s.s-ac,"ambiti della programmazione sociale e socio-sanitaria (ambiti sociali, piani di zona, distretti socio-sanitari, società della salute)",caluso,torino,piemonte,"firmatario, attore, gestione",comune,7
16_lecce_Protocollo Operativo - Procedure integrate per la prevenzione e il contrasto alla violenza contro donne e minori - Copia_Marcato.txt,"Centro Antiviolenza ""Malala Yousafzai""",CAV/Centri Antiviolenza,Galatina,Lecce,LE,Puglia,075029,075,16,comune,40.17391,18.16982,"attore, gestione",gestione,False,False,True,True,False,False,True,False,False,"centro antiviolenza ""malala yousafzai""",cav/centri antiviolenza,galatina,lecce,puglia,"attore, gestione",comune,7
08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,Centro Antiviolenza Telefono Rosa Piacenza - Associazione La Città delle Donne - ODV Piacenza,CAV/Centri Antiviolenza,Piacenza,Piacenza,PC,Emilia-Romagna,033032,033,08,comune,45.051961,9.692672,"firmatario, proponente, attore, coordinamento",coordinamento,True,True,True,False,False,True,True,False,False,centro antiviolenza telefono rosa piacenza - associazione la città delle donne - odv piacenza,cav/centri antiviolenza,piacenza,piacenza,emilia-romagna,"firmatario, proponente, attore, coordinamento",comune,7
18_2406_rta_18_240926102706_4166---protocollomondorosa2013.txt,Centro Calabrese di Solidarietà,ALTRI ENTI DEL TERZO SETTORE,Catanzaro,Catanzaro,CZ,Calabria,079023,079,18,comune,38.904975,16.595397,"firmatario, proponente, attore, gestione, ente_capofila",gestione,True,True,True,True,False,False,True,False,True,centro calabrese di solidarietà,altri enti del terzo settore,catanzaro,catanzaro,calabria,"firmatario, proponente, attore, gestione, ente_capofila",comune,7
