file,files,regione,soggetto_proponente,nome_canonico,tipo_30,tipo_10
08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Emilia-Romagna,Ordine degli Avvocati di Ferrara,Ordine degli Avvocati di Ferrara,Ordine avvocati,associazionismo
08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,Emilia-Romagna,Ordine degli Avvocati di Reggio Emilia,Ordine degli Avvocati di Reggio Emilia,Ordine avvocati,associazionismo
08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,Emilia-Romagna,CGIL - Bologna,CGIL - Bologna,Sindacati/Associazioni di categoria,associazionismo
08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,Emilia-Romagna,CNA Bologna,CNA Bologna,Sindacati/Associazioni di categoria,associazionismo
08_2406_rta_08_241015092005_4166---DG216-2024.txt,08_2406_rta_08_241015092005_4166---DG216-2024.txt,Emilia-Romagna,CNA Piacenza,CNA Piacenza,Sindacati/Associazioni di categoria,associazionismo
08_2406_rta_08_241015092005_4166---DG216-2024.txt,08_2406_rta_08_241015092005_4166---DG216-2024.txt,Emilia-Romagna,Confapi Piacenza,Confapi Piacenza,Sindacati/Associazioni di categoria,associazionismo
08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,Emilia-Romagna,Confartigianato Imprese di Bologna e Imola,Confartigianato Imprese di Bologna e Imola,Sindacati/Associazioni di categoria,associazionismo
08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,Emilia-Romagna,Confcommercio ASCOM Bologna,Confcommercio ASCOM Bologna,Sindacati/Associazioni di categoria,associazionismo
08_2406_rta_08_241015092005_4166---DG216-2024.txt,08_2406_rta_08_241015092005_4166---DG216-2024.txt,Emilia-Romagna,Confcommercio Piacenza,Confcommercio Piacenza,Sindacati/Associazioni di categoria,associazionismo
08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,Emilia-Romagna,Confesercenti Bologna,Confesercenti Bologna,Sindacati/Associazioni di categoria,associazionismo
08_2406_rta_08_241015092005_4166---DG216-2024.txt,08_2406_rta_08_241015092005_4166---DG216-2024.txt,Emilia-Romagna,Confesercenti Piacenza,Confesercenti Piacenza,Sindacati/Associazioni di categoria,associazionismo
08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,Emilia-Romagna,"Confindustria Emilia Area Centro: le imprese di Bologna, Ferrara e Modena","Confindustria Emilia Area Centro: le imprese di Bologna, Ferrara e Modena",Sindacati/Associazioni di categoria,associazionismo
08_2406_rta_08_241015092005_4166---DG216-2024.txt,08_2406_rta_08_241015092005_4166---DG216-2024.txt,Emilia-Romagna,Confindustria Piacenza,Confindustria Piacenza,Sindacati/Associazioni di categoria,associazionismo
08_2406_rta_08_241015092005_4166---DG216-2024.txt,08_2406_rta_08_241015092005_4166---DG216-2024.txt,Emilia-Romagna,Coordinamento Donne CGIL Piacenza,Coordinamento Donne CGIL Piacenza,Sindacati/Associazioni di categoria,associazionismo
08_2406_rta_08_241015092005_4166---DG216-2024.txt,08_2406_rta_08_241015092005_4166---DG216-2024.txt,Emilia-Romagna,Coordinamento Donne UIL Emilia Romagna sede di Piacenza,Coordinamento Donne UIL Emilia Romagna sede di Piacenza,Sindacati/Associazioni di categoria,associazionismo
08_2406_rta_08_241015092005_4166---DG216-2024.txt,08_2406_rta_08_241015092005_4166---DG216-2024.txt,Emilia-Romagna,Coordinamento Pari Opportunita CISL Parma Piacenza,Coordinamento Pari Opportunita CISL Parma Piacenza,Sindacati/Associazioni di categoria,associazionismo
08_2406_rta_08_241015092005_4166---DG216-2024.txt,08_2406_rta_08_241015092005_4166---DG216-2024.txt,Emilia-Romagna,Legacoop Emilia Ovest Piacenza,Legacoop Emilia Ovest Piacenza,Sindacati/Associazioni di categoria,associazionismo
08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Emilia-Romagna,Sindacato Confederale CGIL Ferrara,Sindacato Confederale CGIL Ferrara,Sindacati/Associazioni di categoria,associazionismo
08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Emilia-Romagna,Sindacato Confederale CISL Ferrara,Sindacato Confederale CISL Ferrara,Sindacati/Associazioni di categoria,associazionismo
08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Emilia-Romagna,Sindacato Confederale UIL Ferrara,Sindacato Confederale UIL Ferrara,Sindacati/Associazioni di categoria,associazionismo
08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,Emilia-Romagna,UIL - Bologna,UIL - Bologna,Sindacati/Associazioni di categoria,associazionismo
08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,Emilia-Romagna,Centro Antiviolenza Telefono Rosa Piacenza - Associazione La Città delle Donne - ODV Piacenza,Centro Antiviolenza Telefono Rosa Piacenza - Associazione La Città delle Donne - ODV Piacenza,CAV,CAV
08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,Emilia-Romagna,ASP Città di Piacenza,ASP Città di Piacenza,CAV,CAV
08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,Emilia-Romagna,Associazione Nondasola di Reggio Emilia,Associazione Nondasola di Reggio Emilia,CAV,CAV
08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,Emilia-Romagna,Associazione SOS Donna - Faenza,Associazione SOS Donna - Faenza,CAV,CAV
08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Emilia-Romagna,Centro Donna Giustizia APS di Ferrara,Centro Donna Giustizia APS di Ferrara,CAV,CAV
08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,Emilia-Romagna,Regione Emilia - Romagna,Regione Emilia - Romagna,Regioni/province Autonome,Regioni/province Autonome
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt | 08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt | 08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt | 08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt | 08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt | 08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt | 08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,Emilia-Romagna,Regione Emilia-Romagna,Regione Emilia-Romagna,Regioni/province Autonome,Regioni/province Autonome
07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt | 07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt | 07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt,Liguria,Regione Liguria,Regione Liguria,Regioni/province Autonome,Regioni/province Autonome
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,Emilia-Romagna,Comune di Bologna,Comune di Bologna,Comuni,Servizi comunali
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Toscana,Comune di Casole d'Elsa,Comune di Casole d'Elsa,Comuni,Servizi comunali
08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,Emilia-Romagna,Comune di Castel San Giovanni,Comune di Castel San Giovanni,Comuni,Servizi comunali
08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,Emilia-Romagna,Comune di Cesena,Comune di Cesena,Comuni,Servizi comunali
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Toscana,Comune di Colle di Val d'Elsa,Comune di Colle di Val d'Elsa,Comuni,Servizi comunali
08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,Emilia-Romagna,Comune di Faenza,Comune di Faenza,Comuni,Servizi comunali
08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Emilia-Romagna,Comune di Ferrara,Comune di Ferrara,Comuni,Servizi comunali
08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,Emilia-Romagna,Comune di Fiorenzuola d'Arda,Comune di Fiorenzuola d'Arda,Comuni,Servizi comunali
08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,Emilia-Romagna,Comune di Forli,Comune di Forli,Comuni,Servizi comunali
08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,Emilia-Romagna,Comune di Modena,Comune di Modena,Comuni,Servizi comunali
08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt | 08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt | 08_2406_rta_08_241015092005_4166---DG216-2024.txt,08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt | 08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt | 08_2406_rta_08_241015092005_4166---DG216-2024.txt,Emilia-Romagna,Comune di Piacenza,Comune di Piacenza,Comuni,Servizi comunali
09_PISA PREF E PROV.txt,09_PISA PREF E PROV.txt,Toscana,Comune di Pisa,Comune di Pisa,Comuni,Servizi comunali
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Toscana,Comune di Poggibonsi,Comune di Poggibonsi,Comuni,Servizi comunali
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Toscana,Comune di Radicondoli,Comune di Radicondoli,Comuni,Servizi comunali
08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,Emilia-Romagna,Comune di Reggio Emilia,Comune di Reggio Emilia,Comuni,Servizi comunali
08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,Emilia-Romagna,Comune di Rimini,Comune di Rimini,Comuni,Servizi comunali
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Toscana,Comune di San Gimignano,Comune di San Gimignano,Comuni,Servizi comunali
08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,Emilia-Romagna,Comando di Polizia Municipale di Faenza,Comando di Polizia Municipale di Faenza,Polizia Municipale,Servizi comunali
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Toscana,Polizia Municipale di Casole d'Elsa,Polizia Municipale di Casole d'Elsa,Polizia Municipale,Servizi comunali
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Toscana,Polizia Municipale di Poggibonsi,Polizia Municipale di Poggibonsi,Polizia Municipale,Servizi comunali
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Toscana,Polizia Municipale di Radicondoli,Polizia Municipale di Radicondoli,Polizia Municipale,Servizi comunali
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Toscana,Polizia Municipale di San Gimignano,Polizia Municipale di San Gimignano,Polizia Municipale,Servizi comunali
08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,Emilia-Romagna,MIUR - Ufficio Scolastico Regionale per l'Emilia Romagna - Ufficio VIII Ambito Territoriale per la provincia di Modena,MIUR - Ufficio Scolastico Regionale per l'Emilia Romagna - Ufficio VIII Ambito Territoriale per la provincia di Modena,Scuole/Ufficio scolastico provinciale e regionale,Settore Educativo
08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,Emilia-Romagna,Ufficio Scolastico Provinciale di Reggio Emilia,Ufficio Scolastico Provinciale di Reggio Emilia,Scuole/Ufficio scolastico provinciale e regionale,Settore Educativo
09_PISA PREF E PROV.txt,09_PISA PREF E PROV.txt,Toscana,Ufficio Scolastico Regionale della Toscana Ambito Territoriale della provincia di Pisa,Ufficio Scolastico Regionale della Toscana Ambito Territoriale della provincia di Pisa,Scuole/Ufficio scolastico provinciale e regionale,Settore Educativo
08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Emilia-Romagna,"Ufficio Scolastico Regionale per l'Emilia Romagna Ufficio VI, Ambito Territoriale di Ferrara Provinciale","Ufficio Scolastico Regionale per l'Emilia Romagna Ufficio VI, Ambito Territoriale di Ferrara Provinciale",Scuole/Ufficio scolastico provinciale e regionale,Settore Educativo
08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,Emilia-Romagna,Comando Provinciale Carabinieri di Reggio Emilia,Comando Provinciale Carabinieri di Reggio Emilia,Carabinieri/Polizia/altre forze dell'ordine,Settore giudiziario
08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Emilia-Romagna,Comando Provinciale dei Carabinieri di Ferrara,Comando Provinciale dei Carabinieri di Ferrara,Carabinieri/Polizia/altre forze dell'ordine,Settore giudiziario
08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,Emilia-Romagna,Commissariato di P.S. di Faenza,Commissariato di P.S. di Faenza,Carabinieri/Polizia/altre forze dell'ordine,Settore giudiziario
