chiave,record_id,file,regione_codice,regione_finale,provincia_finale,comune_finale,nome_originale,nome_canonico,nome_norm_stat,tipo_originale,tipo_standard,macro_categoria,fonte_territorializzazione,stato_osservazione,ruoli_documentali,ruolo_attore,ruolo_firmatario,ruolo_proponente,ente_capofila,note,cf,codice_soggetti_questionari,denominazione_soggetti_questionari,codice_aggregazione_2,descrizione_aggregazione_2
COMUNE DI BOLOGNA||Comuni||Bologna||Emilia-Romagna,008_0002,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,08,Emilia-Romagna,Bologna,Bologna,Comune di Bologna,Comune di Bologna,COMUNE DI BOLOGNA,Comuni,Comuni,Servizi comunali,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,,,3,Comuni,3,Servizi comunali
COMUNE DI IMOLA||Comuni||Bologna||Emilia-Romagna,004_0003,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,Imola,Comune di Imola,Comune di Imola,COMUNE DI IMOLA,Comuni,Comuni,Servizi comunali,json,valido_localizzato,attore,1,0,0,,,,3,Comuni,3,Servizi comunali
COMUNE DI IMOLA||Comuni||Bologna||Emilia-Romagna,005_0031,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,Imola,Comune di Imola,Comune di Imola,COMUNE DI IMOLA,Comuni,Comuni,Servizi comunali,json,valido_localizzato,firmatario|attore,1,1,0,,,,3,Comuni,3,Servizi comunali
COMUNE DI IMOLA||Comuni||Bologna||Emilia-Romagna,005_0088,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,Imola,Comune di Imola,Comune di Imola,COMUNE DI IMOLA,Comuni,Comuni,Servizi comunali,json,valido_localizzato,firmatario|attore,1,1,0,,,,3,Comuni,3,Servizi comunali
COMUNE DI SAN LAZZARO DI SAVENA||Comuni||Bologna||Emilia-Romagna,004_0004,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,San Lazzaro di Savena,Comune di San Lazzaro di Savena,Comune di San Lazzaro di Savena,COMUNE DI SAN LAZZARO DI SAVENA,Comuni,Comuni,Servizi comunali,json,valido_localizzato,attore,1,0,0,Savena Idice,capofila distretto socio-sanitario Savena Idice,,3,Comuni,3,Servizi comunali
COMUNE DI SAN LAZZARO DI SAVENA||Comuni||Bologna||Emilia-Romagna,005_0051,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,San Lazzaro di Savena,Comune di San Lazzaro di Savena,Comune di San Lazzaro di Savena,COMUNE DI SAN LAZZARO DI SAVENA,Comuni,Comuni,Servizi comunali,json,valido_localizzato,firmatario|attore,1,1,0,,,,3,Comuni,3,Servizi comunali
COMUNE DI SAN LAZZARO DI SAVENA||Comuni||Bologna||Emilia-Romagna,005_0089,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,San Lazzaro di Savena,Comune di San Lazzaro di Savena,Comune di San Lazzaro di Savena,COMUNE DI SAN LAZZARO DI SAVENA,Comuni,Comuni,Servizi comunali,json,valido_localizzato,firmatario|attore,1,1,0,,,,3,Comuni,3,Servizi comunali
UNIONE RENO GALLIERA||Enti territoriali sovracomunali||Bologna||Emilia-Romagna,004_0006,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,,Unione Reno Galliera,Unione Reno Galliera,UNIONE RENO GALLIERA,Unione dei Comuni,Enti territoriali sovracomunali,Altro,json,valido_localizzato,attore,1,0,0,Pianura Est,Ente capofila Distretto socio-sanitario Pianura Est,,8,Province/Città metropolitane,10,Province/Città metropolitane
UNIONE RENO GALLIERA||Enti territoriali sovracomunali||Bologna||Emilia-Romagna,004_0029,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,,Unione Reno Galliera,Unione Reno Galliera,UNIONE RENO GALLIERA,Unione dei Comuni,Enti territoriali sovracomunali,Altro,json,valido_localizzato,attore,1,0,0,Pianura Est,"Ente utilizzato per gestione fondi, firmatario",,8,Province/Città metropolitane,10,Province/Città metropolitane
CASA DELLE DONNE PER NON SUBIRE VIOLENZA||CAV/Centri Antiviolenza||Bologna||Emilia-Romagna,004_0010,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,Bologna,CASA delle donne per non subire violenza,CASA delle donne per non subire violenza,CASA DELLE DONNE PER NON SUBIRE VIOLENZA,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e protezione,json,valido_localizzato,attore,1,0,0,,gestisce case rifugio Casa SAVE e Casa Riuscire,92023590372,1,CAV,1,CAV
CASA DELLE DONNE PER NON SUBIRE VIOLENZA||CAV/Centri Antiviolenza||Bologna||Emilia-Romagna,005_0080,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,Bologna,Casa delle donne per non subire violenza,Casa delle donne per non subire violenza,CASA DELLE DONNE PER NON SUBIRE VIOLENZA,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e protezione,json,valido_localizzato,firmatario|attore,1,1,0,,,92023590372,1,CAV,1,CAV
CASA DELLE DONNE PER NON SUBIRE VIOLENZA||CAV/Centri Antiviolenza||Bologna||Emilia-Romagna,008_0008,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,08,Emilia-Romagna,Bologna,Bologna,Casa delle donne per non subire violenza,Casa delle donne per non subire violenza,CASA DELLE DONNE PER NON SUBIRE VIOLENZA,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e protezione,json,valido_localizzato,firmatario|attore,1,1,0,,,92023590372,1,CAV,1,CAV
TRAMA DI TERRE||CAV/Centri Antiviolenza||Bologna||Emilia-Romagna,004_0011,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,Imola,Trama di Terre,Trama di Terre,TRAMA DI TERRE,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e protezione,json,valido_localizzato,attore,1,0,0,,gestisce Casa Girasola,90025760373,1,CAV,1,CAV
TRAMA DI TERRE||CAV/Centri Antiviolenza||Bologna||Emilia-Romagna,005_0083,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,Imola,Trama di Terre,Trama di Terre,TRAMA DI TERRE,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e protezione,json,valido_localizzato,firmatario|attore,1,1,0,,,90025760373,1,CAV,1,CAV
TRAMA DI TERRE||CAV/Centri Antiviolenza||Bologna||Emilia-Romagna,008_0011,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,08,Emilia-Romagna,Bologna,Imola,Trama di terre,Trama di terre,TRAMA DI TERRE,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e protezione,json,valido_localizzato,firmatario|attore,1,1,0,,,90025760373,1,CAV,1,CAV
UDI||CAV/Centri Antiviolenza||Bologna||Emilia-Romagna,004_0013,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,Bologna,UDI,UDI,UDI,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e protezione,json,valido_localizzato,attore,1,0,0,,,80081750376,1,CAV,1,CAV
UDI||CAV/Centri Antiviolenza||Bologna||Emilia-Romagna,005_0082,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,Bologna,UDI,UDI,UDI,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e protezione,json,valido_localizzato,firmatario|attore,1,1,0,,,80081750376,1,CAV,1,CAV
SOS DONNA||CAV/Centri Antiviolenza||Ravenna||Emilia-Romagna,004_0014,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,08,Emilia-Romagna,Ravenna,Faenza,SOS Donna,SOS Donna,SOS DONNA,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e protezione,json,valido_localizzato,attore,1,0,0,,,90014420393,1,CAV,1,CAV
SOS DONNA||CAV/Centri Antiviolenza||Ravenna||Emilia-Romagna,010_0018,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,08,Emilia-Romagna,Ravenna,Faenza,SOS Donna,SOS Donna,SOS DONNA,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e protezione,json,valido_localizzato,attore,1,0,0,,"gestisce Sportello Antiviolenza ALBA, partner progettuale",90014420393,1,CAV,1,CAV
REGIONE EMILIA-ROMAGNA||Regioni/Province Autonome||||Emilia-Romagna,004_0016,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,08,Emilia-Romagna,,,Regione Emilia-Romagna,Regione Emilia-Romagna,REGIONE EMILIA-ROMAGNA,Regioni/Province Autonome,Regioni/Province Autonome,Istituzioni territoriali,nome,valido_localizzato,,0,0,0,,,,10,Regioni/province Autonome,5,Regioni/province Autonome
REGIONE EMILIA-ROMAGNA||Regioni/Province Autonome||||Emilia-Romagna,005_0002,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08,Emilia-Romagna,,,Regione Emilia-Romagna,Regione Emilia-Romagna,REGIONE EMILIA-ROMAGNA,Regioni/Province Autonome,Regioni/Province Autonome,Istituzioni territoriali,nome,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,,,10,Regioni/province Autonome,5,Regioni/province Autonome
REGIONE EMILIA-ROMAGNA||Regioni/Province Autonome||||Emilia-Romagna,009_0046,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,08,Emilia-Romagna,,,Regione Emilia-Romagna,Regione Emilia-Romagna,REGIONE EMILIA-ROMAGNA,Regioni/Province Autonome,Regioni/Province Autonome,Istituzioni territoriali,nome,valido_localizzato,,0,0,0,,,,10,Regioni/province Autonome,5,Regioni/province Autonome
REGIONE EMILIA-ROMAGNA||Regioni/Province Autonome||||Emilia-Romagna,013_0010,08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt,08,Emilia-Romagna,,,Regione Emilia-Romagna,Regione Emilia-Romagna,REGIONE EMILIA-ROMAGNA,Regioni/Province Autonome,Regioni/Province Autonome,Istituzioni territoriali,nome,valido_localizzato,,0,0,0,,citata in riferimento a normativa/piani regionali contro la violenza,,10,Regioni/province Autonome,5,Regioni/province Autonome
REGIONE EMILIA-ROMAGNA||Regioni/Province Autonome||||Emilia-Romagna,014_0018,08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,08,Emilia-Romagna,,,Regione Emilia-Romagna,Regione Emilia-Romagna,REGIONE EMILIA-ROMAGNA,Regioni/Province Autonome,Regioni/Province Autonome,Istituzioni territoriali,nome,valido_localizzato,,0,0,0,,,,10,Regioni/province Autonome,5,Regioni/province Autonome
REGIONE EMILIA-ROMAGNA||Regioni/Province Autonome||||Emilia-Romagna,018_0021,08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,08,Emilia-Romagna,,,Regione Emilia-Romagna,Regione Emilia-Romagna,REGIONE EMILIA-ROMAGNA,Regioni/Province Autonome,Regioni/Province Autonome,Istituzioni territoriali,nome,valido_localizzato,,0,0,0,,Ente finanziatore progetti antiviolenza,,10,Regioni/province Autonome,5,Regioni/province Autonome
COMUNE DI SASSO MARCONI||Comuni||Bologna||Emilia-Romagna,005_0054,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,Sasso Marconi,Comune di Sasso Marconi,Comune di Sasso Marconi,COMUNE DI SASSO MARCONI,Comuni,Comuni,Servizi comunali,json,valido_localizzato,firmatario|attore,1,1,0,,,,3,Comuni,3,Servizi comunali
COMUNE DI SASSO MARCONI||Comuni||Bologna||Emilia-Romagna,005_0090,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08,Emilia-Romagna,Bologna,Sasso Marconi,Comune di Sasso Marconi,Comune di Sasso Marconi,COMUNE DI SASSO MARCONI,Comuni,Comuni,Servizi comunali,json,valido_localizzato,firmatario|attore,1,1,0,,,,3,Comuni,3,Servizi comunali
ACER BOLOGNA||Altro||||Emilia-Romagna,005_0058,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08,Emilia-Romagna,,,ACER Bologna,ACER Bologna,ACER BOLOGNA,Altro,Altro,Altro,nome,valido_localizzato,firmatario|attore,1,1,0,,,,30,Altro,9,altro
ACER BOLOGNA||Altro||||Emilia-Romagna,005_0092,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,08,Emilia-Romagna,,,ACER Bologna,ACER Bologna,ACER BOLOGNA,Altro,Altro,Altro,nome,valido_localizzato,firmatario|attore,1,1,0,,,,30,Altro,9,altro
PREFETTURA DI FERRARA||Prefettura||Ferrara||Emilia-Romagna,006_0001,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,08,Emilia-Romagna,Ferrara,Ferrara,Prefettura di Ferrara,Prefettura di Ferrara,PREFETTURA DI FERRARA,Prefettura,Prefettura,Settore giudiziario,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,Coordinamento protocollo; Gabinetto Ufficio Territoriale del Governo,,13,Prefettura,2,Settore giudiziario
PREFETTURA DI FERRARA||Prefettura||Ferrara||Emilia-Romagna,007_0043,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08,Emilia-Romagna,Ferrara,Ferrara,Prefettura di Ferrara,Prefettura di Ferrara,PREFETTURA DI FERRARA,Prefettura,Prefettura,Settore giudiziario,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,"Coordinamento protocollo triennale, citata nel rispetto di accordi",,13,Prefettura,2,Settore giudiziario
COMUNE DI FERRARA||Comuni||Ferrara||Emilia-Romagna,006_0002,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,08,Emilia-Romagna,Ferrara,Ferrara,Comune di Ferrara,Comune di Ferrara,COMUNE DI FERRARA,Comuni,Comuni,Servizi comunali,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,,,3,Comuni,3,Servizi comunali
COMUNE DI FERRARA||Comuni||Ferrara||Emilia-Romagna,007_0001,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08,Emilia-Romagna,Ferrara,Ferrara,Comune di Ferrara,Comune di Ferrara,COMUNE DI FERRARA,Comuni,Comuni,Servizi comunali,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,"Capoluogo di provincia, promuove e coordina il progetto provinciale 'USCIRE DALLA VIOLENZA', ruolo centrale nel protocollo, coordina tavoli di lavoro",,3,Comuni,3,Servizi comunali
QUESTURA DI FERRARA||Questura||Ferrara||Emilia-Romagna,006_0007,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,08,Emilia-Romagna,Ferrara,Ferrara,Questura di Ferrara,Questura di Ferrara,QUESTURA DI FERRARA,Questura,Questura,Settore giudiziario,json,valido_localizzato,firmatario|attore,1,1,0,,,,14,Questura,2,Settore giudiziario
QUESTURA DI FERRARA||Questura||Ferrara||Emilia-Romagna,007_0021,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08,Emilia-Romagna,Ferrara,Ferrara,Questura di Ferrara,Questura di Ferrara,QUESTURA DI FERRARA,Questura,Questura,Settore giudiziario,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,"Firmataria, intervento diretto su violenza di genere, collegata a sportelli e centri antiviolenza",,14,Questura,2,Settore giudiziario
COMANDO PROVINCIALE DEI CARABINIERI DI FERRARA||Carabinieri/Polizia/altre forze dell'ordine||Ferrara||Emilia-Romagna,006_0008,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,08,Emilia-Romagna,Ferrara,Ferrara,Comando Provinciale dei Carabinieri di Ferrara,Comando Provinciale dei Carabinieri di Ferrara,COMANDO PROVINCIALE DEI CARABINIERI DI FERRARA,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Settore giudiziario,json,valido_localizzato,firmatario|attore,1,1,0,,,,15,Carabinieri/Polizia/altre forze dell'ordine,2,Settore giudiziario
COMANDO PROVINCIALE DEI CARABINIERI DI FERRARA||Carabinieri/Polizia/altre forze dell'ordine||Ferrara||Emilia-Romagna,007_0020,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08,Emilia-Romagna,Ferrara,Ferrara,Comando Provinciale dei Carabinieri di Ferrara,Comando Provinciale dei Carabinieri di Ferrara,COMANDO PROVINCIALE DEI CARABINIERI DI FERRARA,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Settore giudiziario,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,"Firmatario, presenza diffusa nella provincia, coinvolto in prevenzione e contrasto",,15,Carabinieri/Polizia/altre forze dell'ordine,2,Settore giudiziario
