regione_codice,regione,codice_soggetti_questionari,denominazione_soggetti_questionari,n_attori,attori,n_file,files
07,Liguria,13,Prefettura,5,Prefettura - U.T.G. di Genova | Prefettura - U.T.G. di Imperia | Prefettura - U.T.G. di La Spezia | Prefettura - U.T.G. di Savona | Prefetture,2,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt | 07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt
07,Liguria,14,Questura,5,Questura Ufficio immigrazione | Questura di Genova | Questura di Imperia | Questura di La Spezia | Questura di Savona,2,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt | 07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt
07,Liguria,15,Carabinieri/Polizia/altre forze dell'ordine,2,Comando Regionale della Guardia di Finanza della Liguria | Legione Carabinieri Liguria,1,07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt
07,Liguria,16,Scuole/Ufficio scolastico provinciale e regionale,1,Ufficio Scolastico Regionale per la Liguria,1,07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt
07,Liguria,17,Procura Minorile/ Tribunale minorile,3,Procura del Tribunale dei Minori di Genova | Procura della Repubblica presso il Tribunale per i Minorenni | Procura della Repubblica presso il Tribunale per i Minorenni di Genova,3,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt | 07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt | 09_APUANE_2015 Protocollo Prefettura.txt
07,Liguria,18,Procura Ordinaria/Tribunale/Corte d'appello,6,Procura Generale presso la Corte d'Appello di Genova | Procura della Repubblica presso il Tribunale di Genova | Procura della Repubblica presso il Tribunale di Imperia | Procura della Repubblica presso il Tribunale di La Spezia | Procura della Repubblica presso il Tribunale di Savona | Tribunali,2,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt | 07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt
07,Liguria,24,Ente terzo settore - ETS (iscritto al RUNTS)[1],9,Agora soc. coop. soc | Arci Solidarieta Genova ODV | Dono Società cooperativa sociale | Fondazione Auxilium | Il Biscione Società Cooperativa Sociale | Il Cesto Onlus Cooperativa Sociale | Lanza del Vasto Società Cooperativa Sociale | Tl Melograno Cooperativa Sociale Onlus | operatori del III settore,2,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt | 07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt
07,Liguria,28,Università,1,Università degli Studi di Genova,1,07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt
07,Liguria,30,Altro,14,"ANCI Liguria | Commissione Territoriale | Consolati | Equipe Integrata Sovradistrettuale Maltrattamento e Abuso | Equipe Multiprofessionale Sovradistrettuale Maltrattamento e Abuso | Istituzioni | Medici di Medicina generale | Pediatri di Libera Scelta | Segreteria Tecnica del DSS 15 (Comune di Chiavari | Tavolo di Coordinamento del sistema degli interventi per il contrasto, il trattamento della violenza maschile contro le donne e il loro reinserimento socio-lavorativo | UNHCR | Ufficio Asilo Politico | centri di accoglienza straordinaria predisposto dalle Prefetture | la rete D.iRe",3,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt | 07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt | 07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt
08,Emilia-Romagna,1,CAV,45,"ASP Città di Piacenza | Associazione ""Centro Donna Giustizia"" di Ferrara | Associazione Casa delle donne di Modena contro la violenza | Associazione MondoDonna | Associazione Nondasola di Reggio Emilia | Associazione SOS Donna | Associazione SOS Donna - Faenza | Associazione di volontariato DEMETRA DONNE IN AIUTO ODV | Associazione di volontariato LINEA ROSA ODV | Associazione di volontariato SOS DONNA ODV | CASA delle donne per non subire violenza | Casa delle Donne | Casa delle donne contro la violenza Centro antiviolenza onlus | Centro Antiviolenza Casa delle Donne | Centro Antiviolenza La Città delle Donne o.d.v | Centro Antiviolenza Piacenza ""Ass. La Città delle Donne o.d.v | Centro Antiviolenza Telefono Rosa Piacenza - Associazione La Città delle Donne - ODV Piacenza | Centro Antiviolenza del Comune di Rimini ""Rompi il silenzio | Centro Antiviolenza distrettuale di Riccione ""CHIAMA ChiAMA | Centro Donna Giustizia APS di Ferrara | Centro Donna del Comune di Cesena | Centro Donna del Comune di Cesenatico | Centro Donna del Comune di Forli | Coordinamento dei Centri Antiviolenza dell'Emilia Romagna | Coordinamento regionale delle Case e dei Centri antiviolenza dell'Emilia Romagna | Forum delle Donne di Cesena | MondoDonna | Per Le Donne - Imola | PerLeDonne | PerLeDonne - Imola | Punto Antiviolenza Decentrato | Rete Nazionale Antiviolenza | Rompi il silenzio ONLUS | SOS Donna | Servizio Fenice | Sportello Antiviolenza ALBA | Sportello Antiviolenza Girasole | Sportello Antiviolenza Iris - Codigoro | Sportello Antiviolenza Iris - Comacchio | Sportello Antiviolenza NONtiscordardiME | Sportello Antiviolenza Viola | Telefoni Rosa | Trama di Terre | UDI | Vivere Donna onlus - Centro antiviolenza",14,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt | 08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt | 08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt | 08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt | 08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt | 08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt | 08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt | 08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt | 08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt | 08_2406_rta_08_241015092024_4166---Protocollooperativo.txt | 08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt
08,Emilia-Romagna,2,Case Rifugio,2,"Casa Rifugio distrettuale ""Artemisia | Case rifugio",2,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt
08,Emilia-Romagna,3,Comuni,106,Città di Castelfranco Emilia | Comune di Alto Reno Terme | Comune di Anzola dell'Emilia | Comune di Argelato | Comune di Baricella | Comune di Bentivoglio | Comune di Bologna | Comune di Borgo Tossignano | Comune di Brisighella | Comune di Budrio | Comune di Calderara di Reno | Comune di Camugnano | Comune di Casalecchio di Reno | Comune di Casalfiumanese | Comune di Casola Valsenio | Comune di Castel Bolognese | Comune di Castel Guelfo di Bologna | Comune di Castel Maggiore | Comune di Castel San Giovanni | Comune di Castel San Pietro Terme | Comune di Castel d'Aiano | Comune di Castel del Rio | Comune di Castel di Casio | Comune di Castello d'Argile | Comune di Castenaso | Comune di Castiglione dei Pepoli | Comune di Cattolica | Comune di Cento | Comune di Cervia | Comune di Cesena | Comune di Codigoro | Comune di Comacchio | Comune di Copparo | Comune di Coriano | Comune di Crevalcore | Comune di Dozza | Comune di Faenza | Comune di Ferrara | Comune di Fiorano Modenese | Comune di Fiorenzuola d'Arda | Comune di Fontanelice | Comune di Forli | Comune di Formigine | Comune di Gaggio Montano | Comune di Galliera | Comune di Gemmano | Comune di Granarolo dell'Emilia | Comune di Grizzana Morandi | Comune di Imola | Comune di Jolanda di Savoia | Comune di Lizzano in Belvedere | Comune di Loiano | Comune di Malalbergo | Comune di Maranello | Comune di Marzabotto | Comune di Masi Torello | Comune di Medicina | Comune di Minerbio | Comune di Mirandola | Comune di Misano Adriatico | Comune di Modena | Comune di Molinella | Comune di Mondaino | Comune di Monghidoro | Comune di Monte San Pietro | Comune di Montefiore Conca | Comune di Montegridolfo | Comune di Monterenzio | Comune di Montescudo-Montecolombo | Comune di Montese | Comune di Monzuno | Comune di Morciano di Romagna | Comune di Mordano | Comune di Novafeltria | Comune di Ozzano dell'Emilia | Comune di Piacenza | Comune di Pianoro | Comune di Pieve di Cento | Comune di Ravenna | Comune di Reggio Emilia | Comune di Riccione | Comune di Rimini | Comune di Riolo Terme | Comune di Riva del Po | Comune di Russi | Comune di Sala Bolognese | Comune di Saludecio | Comune di San Benedetto Val di Sambro | Comune di San Cesario sul Panaro | Comune di San Clemente | Comune di San Giorgio di Piano | Comune di San Giovanni in Marignano | Comune di San Giovanni in Persiceto | Comune di San Lazzaro di Savena | Comune di San Pietro in Casale | Comune di Sant'Agata Bolognese | Comune di Santarcangelo di Romagna | Comune di Sasso Marconi | Comune di Sassuolo | Comune di Solarolo | Comune di Tresignana | Comune di Valsamoggia | Comune di Vergato | Comune di Verucchio | Comune di Voghiera | Comune di Zola Predosa,13,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt | 08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt | 08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt | 08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt | 08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt | 08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt | 08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt | 08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt | 08_2406_rta_08_241015092024_4166---Protocollooperativo.txt | 08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt
08,Emilia-Romagna,4,Polizia Municipale,9,Comando di Polizia Municipale di Brisighella | Comando di Polizia Municipale di Casola Valsenio | Comando di Polizia Municipale di Castel Bolognese | Comando di Polizia Municipale di Faenza | Comando di Polizia Municipale di Riolo Terme | Comando di Polizia Municipale di Solarolo | Polizia Municipale | Polizia Municipale Comune di Cavezzo | Polizia Municipale Comune di Finale Emilia,2,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt | 08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt
08,Emilia-Romagna,5,Settore educativo comunale,2,Istituzione nidi e scuole materne | Officina educativa,1,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt
08,Emilia-Romagna,6,Servizi sociali comunali,21,"ASP Circondario Imolese | ASP Città di Bologna | Consorzio Servizi Sociali di Imola | Poli territoriali di Servizio Sociale | Servizi Sociali Comune di Camposanto | Servizi Sociali Comune di Cavezzo | Servizi Sociali Comune di Concordia | Servizi Sociali Comune di Finale Emilia | Servizi Sociali Comune di Medolla | Servizi Sociali Comune di Mirandola | Servizi Sociali Comune di San Felice Panaro | Servizi Sociali Comune di San Possidonio | Servizi Sociali Comune di San Prospero | Servizi Sociali del Comune di residenza | Servizi Sociali di competenza | Servizi di tutela minori | Servizi sociali dei Comuni | Servizio Sociale Associato | Servizio Sociale Associato dei Comuni di Ravenna, Cervia e Russi | Servizio Sociale Ospedaliero | Sportelli Sociali",7,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt | 08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt | 08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt | 08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt | 08_2406_rta_08_241015092024_4166---Protocollooperativo.txt | 08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt
08,Emilia-Romagna,8,Province/Città metropolitane,22,"Città metropolitana di Bologna | Nuovo Circondario Imolese | Provincia di Bologna | Provincia di Forli-Cesena | Provincia di Modena | Provincia di Piacenza | Provincia di Reggio Emilia | Provincia di Rimini | Unione Comuni del Sorbara | Unione Reno Galliera | Unione Rubicone e Mare | Unione Terre d'Acqua | Unione Terre di Castelli | Unione Terre e Fiumi | Unione dei Comuni Modenesi Area Nord | Unione dei Comuni Valli del Reno, Lavino e Samoggia | Unione dei Comuni del Distretto Ceramico | Unione dei Comuni del Frignano | Unione dei Comuni dell'Appennino bolognese | Unione dei Comuni della Bassa Romagna | Unione dei Comuni della Romagna Faentina | Unione delle Terre d'Argine",9,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt | 08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt | 08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt | 08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt | 08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt | 08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt | 08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt | 08_2406_rta_08_241015092024_4166---Protocollooperativo.txt
08,Emilia-Romagna,9,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",4,Ambito Territoriale di Rete (ATR | Conferenza Territoriale Sociale e Sanitaria | Conferenza Territoriale Sociale e Sanitaria Metropolitana di Bologna (CTSSM | Unione Comuni modenesi dell'Area Nord,4,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt | 08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt | 08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt
08,Emilia-Romagna,10,Regioni/province Autonome,10,Dipartimento Pari Opportunita della Presidenza del Consiglio dei Ministri | Ministero dell'Interno | Ministero dell'Istruzione | Ministero della Difesa | Ministero per le Pari Opportunita | Presidenza del Consiglio dei Ministri - Dipartimento per le Pari Opportunita | Regione Emilia - Romagna | Regione Emilia-Romagna | SERVIZIO SANITARIO REGIONALE EMILIA-ROMAGNA | Ufficio di Statistica della Regione Emilia Romagna,5,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt | 08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt | 08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt | 08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt
08,Emilia-Romagna,11,"Ospedale (Pronto soccorso, ecc.)",9,Azienda Ospedaliero - Universitaria Policlinico di Modena | Azienda Ospedaliero Universitaria di Ferrara | Guardia Medica | Ospedali | Pronto Intervento 118 | Pronto Soccorso Generale e Ostetrico-Ginecologico Ferrara | Reparto Ostetricia | Sanitari ospedalieri e del Distretto | Servizio 118 di Ferrara,4,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt | 08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt | 08_2406_rta_08_241015092024_4166---Protocollooperativo.txt
08,Emilia-Romagna,12,ASL (consultori familiari e altri servizi territoriali),34,A.U.S.L. di Piacenza | AUSL Piacenza | AUSL della Romagna | Ausl di Ravenna - Distretto Sanitario di Faenza | Azienda Ospedaliera Santa Maria Nuova di Reggio Emilia | Azienda Ospedaliera Universitaria di Ferrara | Azienda Sanitaria Locale di Reggio Emilia | Azienda USL della Romagna | Azienda USL di Bologna | Azienda USL di Ferrara | Azienda USL di Piacenza | Azienda Unità Sanitaria Locale Romagna | Azienda Unità Sanitaria Locale della Romagna | Azienda Unità Sanitaria Locale di Ferrara | Azienda Unità Sanitaria Locale di Modena | Azienda Unità Sanitaria Locale di Piacenza | Case della Comunita | Centri Salute Donna | Centri Salute Mentale Adulti | Centri di Salute Mentale (CSM) del Distretto di Reggio Emilia | Consultori | Consultori familiari | Consultori familiari Ferrara | Consultorio Familiare Ginecologia e Ostetricia | Consultorio familiare dell'Azienda USL | Dipartimento di Salute Mentale | Distretto Sanitario di Faenza | Distretto Sanitario di Lugo | Distretto Sanitario di Ravenna | Servizio Dipendenze Patologiche | Spazio Giovani | Struttura Operativa Medicina Legale | U.O.NPIA | UONPIA - Casa della Salute Terre e Fiumi,13,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt | 08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt | 08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt | 08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt | 08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt | 08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt | 08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt | 08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt | 08_2406_rta_08_241015092005_4166---DG216-2024.txt | 08_2406_rta_08_241015092024_4166---Protocollooperativo.txt | 08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt
08,Emilia-Romagna,13,Prefettura,9,Prefettura - Ufficio territoriale del Governo di Forli-Cesena | Prefettura - Ufficio territoriale del Governo di Piacenza | Prefettura di Bologna | Prefettura di Ferrara | Prefettura di Modena | Prefettura di Piacenza | Prefettura di Ravenna | Prefettura di Reggio Emilia | Prefettura di Rimini,9,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt | 08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt | 08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt | 08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt | 08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt | 08_2406_rta_08_241015092005_4166---DG216-2024.txt | 08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt
08,Emilia-Romagna,14,Questura,8,Questura della Provincia | Questura di Bologna | Questura di Ferrara | Questura di Modena | Questura di Piacenza | Questura di Ravenna | Questura di Reggio Emilia | Questura di Rimini,8,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt | 08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt | 08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt | 08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt | 08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt | 08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt
08,Emilia-Romagna,15,Carabinieri/Polizia/altre forze dell'ordine,19,"Arma dei Carabinieri | Arma dei Carabinieri, Comando Provinciale di Bologna | Carabinieri del territorio della provincia di Ravenna | Comando Prov.le Carabinieri | Comando Prov.le Guardia di Finanza | Comando Provinciale Carabinieri di Reggio Emilia | Comando Provinciale dei Carabinieri | Comando Provinciale dei Carabinieri di Ferrara | Comando Provinciale dei Carabinieri di Modena | Comando Provinciale dei Carabinieri di Rimini | Comando Provinciale dell'Arma dei Carabinieri | Comando Provinciale della Guardia Finanza | Comando Provinciale della Guardia di Finanza di Ferrara | Comando provinciale dei Carabinieri di Bologna | Commissariato di P.S. di Faenza | Guardia di Finanza di Modena | Sezione della Squadra Mobile - Ufficio Minori | Squadra Mobile | Stazione dei Carabinieri",10,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt | 08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt | 08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt | 08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt | 08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt | 08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt | 08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt
