regione_codice,regione,provincia_finale,comune_finale,nome_canonico,tipo_standard,codice_aggregazione_2,descrizione_aggregazione_2,stato_osservazione,files,n_record_aggregati
08,Emilia-Romagna,Bologna,Bologna,Consiglieri di Fiducia del Comune di Bologna,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
09,Toscana,,,Consiglio d'Europa,Altro,9,altro,da_escludere,09_APUANE_2015 Protocollo Prefettura.txt,1
08,Emilia-Romagna,,,Consiglio della Giunta Provinciale,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
08,Emilia-Romagna,,,Consiglio metropolitano,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
07,Liguria,,,Consolati,Altro,9,altro,valido_localizzato,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
08,Emilia-Romagna,,,DIRe Donne in Rete contro la violenza,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
09,Toscana,,,Direzione Diritti di cittadinanza e coesione sociale,Altro,9,altro,valido_localizzato,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,1
08,Emilia-Romagna,Rimini,Rimini,Direzione della Casa Circondariale di Rimini,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,2
07,Liguria,,,Equipe Integrata Sovradistrettuale Maltrattamento e Abuso,Altro,9,altro,valido_localizzato,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,1
07,Liguria,,,Equipe Multiprofessionale Sovradistrettuale Maltrattamento e Abuso,Altro,9,altro,valido_localizzato,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,1
09,Toscana,,,European Society Stress Traumatic Studies,Altro,9,altro,valido_localizzato,09_FIRENZE Linee-di-indirizzo2024.txt,1
08,Emilia-Romagna,,,FEDER.CASA,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
09,Toscana,Livorno,,Filiale di Livorno della Banca d'Italia,Altro,9,altro,valido_localizzato,09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt,1
09,Toscana,,,Fiorentina Nord Ovest: Codice Rosa,Altro,9,altro,valido_localizzato,09_FIRENZE Linee-di-indirizzo2024.txt,1
09,Toscana,,,Fiorentina Sud Est: Codice Rosa,Altro,9,altro,valido_localizzato,09_FIRENZE Linee-di-indirizzo2024.txt,1
08,Emilia-Romagna,,,Fondazione Forense di Forli-Cesena,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
08,Emilia-Romagna,,,Fondazione San Petronio Onlus,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
09,Toscana,,,Giudice tutelare,Altro,9,altro,valido_localizzato,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,1
09,Toscana,,,Gruppo di lavoro Tavolo Privacy di Regione Toscana,Altro,9,altro,valido_localizzato,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,1
08,Emilia-Romagna,,,INPS,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
08,Emilia-Romagna,,,Insieme per il lavoro,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
08,Emilia-Romagna,Piacenza,Piacenza,Ispettorato territoriale del lavoro di Piacenza,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015092005_4166---DG216-2024.txt,1
09,Toscana,,,Istat,Altro,9,altro,da_escludere,09_APUANE_2015 Protocollo Prefettura.txt,1
09,Toscana,,,Istituto di assistenza pubblico privato,Altro,9,altro,valido_localizzato,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,1
07,Liguria,,,Istituzioni,Altro,9,altro,valido_localizzato,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
08,Emilia-Romagna,Modena,Modena,MEDIBASE Area Nord - Cooperativa dei Medici di Famiglia dell‘Area Nord della Provincia di Modena,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
08,Emilia-Romagna,,,MMG,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
09,Toscana,,,Magistratura di Sorveglianza,Altro,9,altro,valido_localizzato,09_PISA PREF E PROV.txt,1
08,Emilia-Romagna,,,Medici di Medicina Generale,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
07,Liguria,,,Medici di Medicina generale,Altro,9,altro,valido_localizzato,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,1
08,Emilia-Romagna,,,Ministero dell'Interno,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
08,Emilia-Romagna,,,Modena Group Stalking,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
09,Toscana,,,Mugello: Codice Rosa,Altro,9,altro,valido_localizzato,09_FIRENZE Linee-di-indirizzo2024.txt,1
09,Toscana,,,OMS,Altro,9,altro,da_escludere,09_FIRENZE Linee-di-indirizzo2024.txt,1
09,Toscana,,,Organizzazione Mondiale della Sanita,Altro,9,altro,da_escludere,09_APUANE_2015 Protocollo Prefettura.txt,1
09,Toscana,,,Organizzazione delle Nazioni Unite,Altro,9,altro,da_escludere,09_APUANE_2015 Protocollo Prefettura.txt,1
08,Emilia-Romagna,,,Osservatorio Regionale R.E.R,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,1
09,Toscana,,,Osservatorio Sociale Regionale,Altro,9,altro,valido_localizzato,09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt,1
08,Emilia-Romagna,,,Ostetricia e Ginecologia,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,1
08,Emilia-Romagna,,,PLS,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
08,Emilia-Romagna,,,Pediatri di Libera Scelta,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
07,Liguria,,,Pediatri di Libera Scelta,Altro,9,altro,valido_localizzato,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,1
09,Toscana,,,Presidenza del Consiglio dei Ministri,Altro,9,altro,da_escludere,09_APUANE_2015 Protocollo Prefettura.txt,1
08,Emilia-Romagna,Modena,Modena,Pronto Intervento Emergenza Minori Provincia di Modena,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
08,Emilia-Romagna,,,Psicologia Clinica,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
08,Emilia-Romagna,,,Psicologia di Base,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,1
09,Toscana,,,Referenti Aziendali,Altro,9,altro,generico,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,1
08,Emilia-Romagna,,,Rete DO.MINO,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
08,Emilia-Romagna,,,Rete IRENE,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
09,Toscana,,,Rete Regionale Codice Rosa,Altro,9,altro,valido_localizzato,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,1
08,Emilia-Romagna,,,Rete nazionale D.i.R.e,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,1
08,Emilia-Romagna,Ferrara,Ferrara,Rotary Club Ferrara,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
09,Toscana,,,SERD,Altro,9,altro,valido_localizzato,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,1
09,Toscana,,,SMA,Altro,9,altro,valido_localizzato,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,1
08,Emilia-Romagna,,,SOLARIS s.r.l,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
09,Toscana,,,SSR,Altro,9,altro,valido_localizzato,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,1
07,Liguria,Genova,Chiavari,Segreteria Tecnica del DSS 15 (Comune di Chiavari,Altro,9,altro,valido_localizzato,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,1
08,Emilia-Romagna,,,Servizi del Comune di Residenza,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,1
08,Emilia-Romagna,,,"Servizio Sociale Minori, Famiglie, Giovani - Unione Comuni Area Nord",Altro,9,altro,valido_localizzato,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
08,Emilia-Romagna,,,Servizio Tutela Minori dell'Unione,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
08,Emilia-Romagna,Modena,Modena,Servizio di Pronto Intervento Emergenza Minori della Provincia di Modena,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
08,Emilia-Romagna,,,Sportelli PUA Unione Terre e Fiumi,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
08,Emilia-Romagna,,,Sportello presso sede Ordine degli Avvocati,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
08,Emilia-Romagna,,,Tavolo Interistituzionale di contrasto alla violenza alle donne,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
07,Liguria,,,"Tavolo di Coordinamento del sistema degli interventi per il contrasto, il trattamento della violenza maschile contro le donne e il loro reinserimento socio-lavorativo",Altro,9,altro,valido_localizzato,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,1
08,Emilia-Romagna,,,Tavolo tecnico,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
09,Toscana,,,Terzo Settore,Altro,9,altro,generico,09_APUANE_2015 Protocollo Prefettura.txt,1
08,Emilia-Romagna,,,UDI - Unione Donne Italiane,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
07,Liguria,,,UNHCR,Altro,9,altro,valido_localizzato,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
08,Emilia-Romagna,,,UNIONCASA,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
08,Emilia-Romagna,,,UPPI,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
07,Liguria,,,Ufficio Asilo Politico,Altro,9,altro,valido_localizzato,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
08,Emilia-Romagna,,,Ufficio Esecuzione Penale Esterna,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
08,Emilia-Romagna,Rimini,Rimini,Ufficio Esecuzione Penale Esterna di Rimini,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
08,Emilia-Romagna,Piacenza,Piacenza,Ufficio di Presidenza della Conferenza Territoriale Sociale e Sanitaria (CTSS) della Provincia di Piacenza,Altro,9,altro,valido_localizzato,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,1
07,Liguria,,,centri di accoglienza straordinaria predisposto dalle Prefetture,Altro,9,altro,valido_localizzato,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
07,Liguria,,,la rete D.iRe,Altro,9,altro,valido_localizzato,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
08,Emilia-Romagna,Bologna,Bologna,Conferenza Territoriale Sociale e Sanitaria Metropolitana di Bologna (CTSSM,"Ambiti della programmazione sociale e socio-sanitari (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",9,altro,valido_localizzato,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,1
07,Liguria,,,ATS di riferimento per residenza,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,1
08,Emilia-Romagna,,,Ambito Territoriale di Rete (ATR,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
08,Emilia-Romagna,,,Conferenza Territoriale Sociale e Sanitaria,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
08,Emilia-Romagna,,,Conferenza Territoriale Sociale e Sanitaria Metropolitana di Bologna (CTSSM,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
09,Toscana,,,Conferenza Zonale dei Sindaci del Valdarno,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,09_AREZZO Prot_2024-2026.txt,1
09,Toscana,,,Conferenza Zonale dei Sindaci della Valdichiana Aretina,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,09_AREZZO Prot_2024-2026.txt,1
09,Toscana,Lucca,Lucca,Conferenza dei Sindaci ASL 2 zona Piana di Lucca,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,09_LUCCA PROV.txt,1
09,Toscana,,,Conferenza dei Sindaci ASL 2 zona Valle del Serchio,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,09_LUCCA PROV.txt,1
09,Toscana,,,Conferenza dei Sindaci della Zona Aretina,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,09_AREZZO Prot_2024-2026.txt,1
09,Toscana,,,Conferenza del Sindaci ASL 12 zona Versilia,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,09_LUCCA PROV.txt,1
07,Liguria,,,Distretti Sociosanitari n. 14,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,1
07,Liguria,,,Distretti Sociosanitari n. 15,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,1
07,Liguria,,,Distretti Sociosanitari n. 16,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,1
09,Toscana,,,Fondazione Territori Sociali Altavaldelsa,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,1
07,Liguria,,,Rete dei servizi SAI,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
09,Toscana,,,Servizi Sociali e Sanitari della Società della Salute,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,09_APUANE_2015 Protocollo Prefettura.txt,1
09,Toscana,,,Società della Salute,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,generico,09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt,1
09,Toscana,,,Società della Salute Alta Val d'Elsa,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,1
09,Toscana,,,Società della Salute Area Pratese,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,09_PRATO PREF.txt,1
09,Toscana,,,Società della Salute Fiorentina Nord Ovest,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,09_FIRENZE Linee-di-indirizzo2024.txt,1
09,Toscana,,,Società della Salute Fiorentina Sud Est,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,09_FIRENZE Linee-di-indirizzo2024.txt,1
09,Toscana,Firenze,,Società della Salute Firenze,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,09_FIRENZE Linee-di-indirizzo2024.txt,1
09,Toscana,,,Società della Salute Mugello,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,09_FIRENZE Linee-di-indirizzo2024.txt,1
09,Toscana,,,Società della Salute Valdinievole,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",6,Territorio,valido_localizzato,09_PISTOIA PROV .txt,1
