regione,provincia,comune,nome_canonico,tipo_30,tipo_10,files,n_record_aggregati
Emilia-Romagna,,,Conferenza Provinciale Permanente,Altro,altro,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Emilia-Romagna,,,Conferenza delle Elette,Altro,altro,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,,,Consigliera di Fiducia della Città metropolitana,Altro,altro,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,Bologna,Bologna,Consiglieri di Fiducia del Comune di Bologna,Altro,altro,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,,,Consiglio della Giunta Provinciale,Altro,altro,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
Emilia-Romagna,,,Consiglio metropolitano,Altro,altro,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Liguria,,,Consolati,Altro,altro,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
Emilia-Romagna,,,DIRe Donne in Rete contro la violenza,Altro,altro,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Toscana,,,Direzione Diritti di cittadinanza e coesione sociale,Altro,altro,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,1
Emilia-Romagna,Rimini,Rimini,Direzione della Casa Circondariale di Rimini,Altro,altro,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,2
Liguria,,,Equipe Integrata Sovradistrettuale Maltrattamento e Abuso,Altro,altro,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,1
Liguria,,,Equipe Multiprofessionale Sovradistrettuale Maltrattamento e Abuso,Altro,altro,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,1
Toscana,,,European Society Stress Traumatic Studies,Altro,altro,09_FIRENZE Linee-di-indirizzo2024.txt,1
Emilia-Romagna,,,FEDER.CASA,Altro,altro,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Toscana,Livorno,,Filiale di Livorno della Banca d'Italia,Altro,altro,09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt,1
Toscana,,,Fiorentina Nord Ovest: Codice Rosa,Altro,altro,09_FIRENZE Linee-di-indirizzo2024.txt,1
Toscana,,,Fiorentina Sud Est: Codice Rosa,Altro,altro,09_FIRENZE Linee-di-indirizzo2024.txt,1
Emilia-Romagna,,,Fondazione Forense di Forli-Cesena,Altro,altro,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,,,Fondazione San Petronio Onlus,Altro,altro,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Toscana,,,Giudice tutelare,Altro,altro,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,1
Toscana,,,Gruppo di lavoro Tavolo Privacy di Regione Toscana,Altro,altro,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,1
Emilia-Romagna,,,INPS,Altro,altro,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,,,Insieme per il lavoro,Altro,altro,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,Piacenza,Piacenza,Ispettorato territoriale del lavoro di Piacenza,Altro,altro,08_2406_rta_08_241015092005_4166---DG216-2024.txt,1
Toscana,,,Istituto di assistenza pubblico privato,Altro,altro,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,1
Liguria,,,Istituzioni,Altro,altro,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
Emilia-Romagna,Modena,Modena,MEDIBASE Area Nord - Cooperativa dei Medici di Famiglia dell‘Area Nord della Provincia di Modena,Altro,altro,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
Emilia-Romagna,,,MMG,Altro,altro,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Toscana,,,Magistratura di Sorveglianza,Altro,altro,09_PISA PREF E PROV.txt,1
Emilia-Romagna,,,Medici di Medicina Generale,Altro,altro,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Liguria,,,Medici di Medicina generale,Altro,altro,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,1
Emilia-Romagna,,,Ministero dell'Interno,Altro,altro,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Emilia-Romagna,,,Modena Group Stalking,Altro,altro,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Toscana,,,Mugello: Codice Rosa,Altro,altro,09_FIRENZE Linee-di-indirizzo2024.txt,1
Emilia-Romagna,,,Osservatorio Regionale R.E.R,Altro,altro,08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,1
Toscana,,,Osservatorio Sociale Regionale,Altro,altro,09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt,1
Emilia-Romagna,,,Ostetricia e Ginecologia,Altro,altro,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,1
Emilia-Romagna,,,PLS,Altro,altro,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,,,Pediatri di Libera Scelta,Altro,altro,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Liguria,,,Pediatri di Libera Scelta,Altro,altro,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,1
Emilia-Romagna,Modena,Modena,Pronto Intervento Emergenza Minori Provincia di Modena,Altro,altro,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
Emilia-Romagna,,,Psicologia Clinica,Altro,altro,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,,,Psicologia di Base,Altro,altro,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,1
Emilia-Romagna,,,Rete DO.MINO,Altro,altro,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,,,Rete IRENE,Altro,altro,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Toscana,,,Rete Regionale Codice Rosa,Altro,altro,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,1
Emilia-Romagna,,,Rete nazionale D.i.R.e,Altro,altro,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,1
Emilia-Romagna,Ferrara,Ferrara,Rotary Club Ferrara,Altro,altro,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Toscana,,,SERD,Altro,altro,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,1
Toscana,,,SMA,Altro,altro,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,1
Emilia-Romagna,,,SOLARIS s.r.l,Altro,altro,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Toscana,,,SSR,Altro,altro,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,1
Liguria,Genova,Chiavari,Segreteria Tecnica del DSS 15 (Comune di Chiavari,Altro,altro,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,1
Emilia-Romagna,,,Servizi del Comune di Residenza,Altro,altro,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,1
Emilia-Romagna,,,"Servizio Sociale Minori, Famiglie, Giovani - Unione Comuni Area Nord",Altro,altro,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
Emilia-Romagna,,,Servizio Tutela Minori dell'Unione,Altro,altro,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
Emilia-Romagna,Modena,Modena,Servizio di Pronto Intervento Emergenza Minori della Provincia di Modena,Altro,altro,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
Emilia-Romagna,,,Sportelli PUA Unione Terre e Fiumi,Altro,altro,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,,,Sportello presso sede Ordine degli Avvocati,Altro,altro,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Emilia-Romagna,,,Tavolo Interistituzionale di contrasto alla violenza alle donne,Altro,altro,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Liguria,,,"Tavolo di Coordinamento del sistema degli interventi per il contrasto, il trattamento della violenza maschile contro le donne e il loro reinserimento socio-lavorativo",Altro,altro,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,1
Emilia-Romagna,,,Tavolo tecnico,Altro,altro,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Emilia-Romagna,,,UDI - Unione Donne Italiane,Altro,altro,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Liguria,,,UNHCR,Altro,altro,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
Emilia-Romagna,,,UNIONCASA,Altro,altro,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,,UPPI,Altro,altro,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Liguria,,,Ufficio Asilo Politico,Altro,altro,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
Emilia-Romagna,,,Ufficio Esecuzione Penale Esterna,Altro,altro,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,Rimini,Rimini,Ufficio Esecuzione Penale Esterna di Rimini,Altro,altro,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
Emilia-Romagna,Piacenza,Piacenza,Ufficio di Presidenza della Conferenza Territoriale Sociale e Sanitaria (CTSS) della Provincia di Piacenza,Altro,altro,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,1
Liguria,,,centri di accoglienza straordinaria predisposto dalle Prefetture,Altro,altro,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
Liguria,,,la rete D.iRe,Altro,altro,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
Emilia-Romagna,Bologna,Bologna,Conferenza Territoriale Sociale e Sanitaria Metropolitana di Bologna (CTSSM,Altro,altro,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,1
Liguria,,,ATS di riferimento per residenza,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,1
Emilia-Romagna,,,Ambito Territoriale di Rete (ATR,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Emilia-Romagna,,,Conferenza Territoriale Sociale e Sanitaria,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
Emilia-Romagna,,,Conferenza Territoriale Sociale e Sanitaria Metropolitana di Bologna (CTSSM,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Toscana,,,Conferenza Zonale dei Sindaci del Valdarno,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,09_AREZZO Prot_2024-2026.txt,1
Toscana,,,Conferenza Zonale dei Sindaci della Valdichiana Aretina,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,09_AREZZO Prot_2024-2026.txt,1
Toscana,Lucca,Lucca,Conferenza dei Sindaci ASL 2 zona Piana di Lucca,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,09_LUCCA PROV.txt,1
Toscana,,,Conferenza dei Sindaci ASL 2 zona Valle del Serchio,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,09_LUCCA PROV.txt,1
Toscana,,,Conferenza dei Sindaci della Zona Aretina,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,09_AREZZO Prot_2024-2026.txt,1
Toscana,,,Conferenza del Sindaci ASL 12 zona Versilia,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,09_LUCCA PROV.txt,1
Liguria,,,Distretti Sociosanitari n. 14,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,1
Liguria,,,Distretti Sociosanitari n. 15,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,1
Liguria,,,Distretti Sociosanitari n. 16,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,1
Toscana,,,Fondazione Territori Sociali Altavaldelsa,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,1
Liguria,,,Rete dei servizi SAI,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
Toscana,,,Servizi Sociali e Sanitari della Società della Salute,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,09_APUANE_2015 Protocollo Prefettura.txt,1
Toscana,,,Società della Salute Alta Val d'Elsa,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,1
Toscana,,,Società della Salute Area Pratese,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,09_PRATO PREF.txt,1
Toscana,,,Società della Salute Fiorentina Nord Ovest,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,09_FIRENZE Linee-di-indirizzo2024.txt,1
Toscana,,,Società della Salute Fiorentina Sud Est,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,09_FIRENZE Linee-di-indirizzo2024.txt,1
Toscana,Firenze,,Società della Salute Firenze,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,09_FIRENZE Linee-di-indirizzo2024.txt,1
Toscana,,,Società della Salute Mugello,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,09_FIRENZE Linee-di-indirizzo2024.txt,1
Toscana,,,Società della Salute Valdinievole,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,09_PISTOIA PROV .txt,1
Toscana,,,Società della Salute Zona Alta Valdicecina-Valdera,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,09_PISA PREF E PROV.txt,1
Toscana,,,Società della Salute Zona Empolese Valdarno Valdelsa,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,09_PISA PREF E PROV.txt,1
Toscana,,,Società della Salute Zona Pisana,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,09_PISA PREF E PROV.txt,1
Toscana,,,Società della Salute della Lunigiana,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,09_APUANE_2015 Protocollo Prefettura.txt,1
Emilia-Romagna,,,Unione Comuni modenesi dell'Area Nord,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Liguria,Genova,Genova,centri di accoglienza del sistema SAI del Comune di Genova,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Territorio,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
Toscana,Massa-Carrara,Carrara,Centro di Ascolto CIF di Carrara,Altro,altro,09_APUANE_2015 Protocollo Prefettura.txt,2
Toscana,Grosseto,Arcidosso,Punto di Ascolto territoriale di Arcidosso,Altro,altro,09_GROSSETO 2022 fpdf.txt,1
Toscana,Grosseto,Capalbio,Punto di Ascolto territoriale di Capalbio,Altro,altro,09_GROSSETO 2022 fpdf.txt,1
Toscana,Grosseto,Follonica,Punto di Ascolto territoriale di Follonica,Altro,altro,09_GROSSETO 2022 fpdf.txt,1
Toscana,Grosseto,Manciano,Punto di Ascolto territoriale di Manciano,Altro,altro,09_GROSSETO 2022 fpdf.txt,1
Toscana,Grosseto,Grosseto,Punto di ascolto territoriale di Grosseto,Altro,altro,09_GROSSETO 2022 fpdf.txt,1
Toscana,,,Comunità Montana del Cetona,Province/Città metropolitane,Province/Città metropolitane,09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt,1
Toscana,,,Conferenza Zonale dei Sindaci del Casentino/Unione dei Comuni Montani del Casentino,Province/Città metropolitane,Province/Città metropolitane,09_AREZZO Prot_2024-2026.txt,1
Toscana,,,Conferenza Zonale dei Sindaci della Valtiberina Toscana/Unione Montana dei Comuni della Valtiberina Toscana,Province/Città metropolitane,Province/Città metropolitane,09_AREZZO Prot_2024-2026.txt,1
Emilia-Romagna,Bologna,,Nuovo Circondario Imolese,Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,1
Emilia-Romagna,Modena,,Unione Comuni del Sorbara,Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,Bologna,,Unione Reno Galliera,Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,2
Emilia-Romagna,Forli-Cesena,,Unione Rubicone e Mare,Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,Bologna,,Unione Terre d'Acqua,Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,1
Emilia-Romagna,Modena,,Unione Terre di Castelli,Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,Ferrara,,Unione Terre e Fiumi,Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,Modena,,Unione dei Comuni Modenesi Area Nord,Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
Emilia-Romagna,Bologna,,"Unione dei Comuni Valli del Reno, Lavino e Samoggia",Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,1
Emilia-Romagna,Modena,,Unione dei Comuni del Distretto Ceramico,Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,Modena,,Unione dei Comuni del Frignano,Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,Bologna,,Unione dei Comuni dell'Appennino bolognese,Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,1
