record_id,file,nome_originale,nome_canonico,nome_norm_stat,tipo_originale,tipo_standard,macro_categoria,comune_finale,provincia_finale,regione_finale,fonte_territorializzazione,stato_osservazione,ruoli_documentali,ruolo_attore,ruolo_firmatario,ruolo_proponente,ente_capofila,note,cf
001_0011,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Servizio di Salute Mentale Azienda USL Toscana Sud Est Zona Alta Valdelsa,Servizio di Salute Mentale Azienda USL Toscana Sud Est Zona Alta Valdelsa,SERVIZIO DI SALUTE MENTALE AZIENDA USL TOSCANA SUD EST ZONA ALTA VALDELSA,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Sanità e servizi territoriali,,,Toscana,nome,valido_localizzato,attore,1,0,0,,,
001_0012,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,U.O.C. di Psicologia Azienda USL Toscana Sud Est,U.O.C. di Psicologia Azienda USL Toscana Sud Est,U.O.C. DI PSICOLOGIA AZIENDA USL TOSCANA SUD EST,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Sanità e servizi territoriali,,,Toscana,nome,valido_localizzato,attore,1,0,0,,Supporto psicologico e presa in carico maltrattanti,
001_0013,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,U.O Pronto Soccorso Azienda USL 7 – Monoblocco Alta Val d’Elsa,U.O Pronto Soccorso Azienda USL 7 - Monoblocco Alta Val d'Elsa,U.O PRONTO SOCCORSO AZIENDA USL 7 - MONOBLOCCO ALTA VAL D'ELSA,"Ospedale (Pronto soccorso, ecc.)",ASL (consultori familiari e altri servizi territoriali),Sanità e servizi territoriali,,,Toscana,nome,valido_localizzato,attore,1,0,0,,,
001_0014,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Pronto Soccorso di Campostaggia Azienda USL Toscana Sud Est,Pronto Soccorso di Campostaggia Azienda USL Toscana Sud Est,PRONTO SOCCORSO DI CAMPOSTAGGIA AZIENDA USL TOSCANA SUD EST,"Ospedale (Pronto soccorso, ecc.)",ASL (consultori familiari e altri servizi territoriali),Sanità e servizi territoriali,,,Toscana,nome,valido_localizzato,attore,1,0,0,,Referente Codice Rosa,
001_0015,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,SEUS - Servizio Emergenza Urgenza Sociale,SEUS - Servizio Emergenza Urgenza Sociale,SEUS - SERVIZIO EMERGENZA URGENZA SOCIALE,Altro,Servizi sociali comunali,Enti territoriali / servizi comunali,,,Toscana,nome,valido_localizzato,attore,1,0,0,,Centrale operativa emergenza e unità territoriali,
001_0016,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,UTES - Unità Territoriali Emergenza Sociale,UTES - Unità Territoriali Emergenza Sociale,UTES - UNITA TERRITORIALI EMERGENZA SOCIALE,Altro,Servizi sociali comunali,Enti territoriali / servizi comunali,,,Toscana,nome,valido_localizzato,attore,1,0,0,,Braccio operativo del SEUS,
001_0017,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,118,118,118,"Ospedale (Pronto soccorso, ecc.)","Ospedale (Pronto soccorso, ecc.)",Sanità e servizi territoriali,,,Toscana,nome,valido_localizzato,attore,1,0,0,,Intervento emergenza urgenza,
001_0018,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Fondazione Territori Sociali Altavaldelsa,Fondazione Territori Sociali Altavaldelsa,FONDAZIONE TERRITORI SOCIALI ALTAVALDELSA,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)","Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Ambiti socio-sanitari,,,Toscana,nome,valido_localizzato,attore,1,0,0,,Gestione servizi sociali area,
001_0019,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Società della Salute Alta Val d'Elsa,Società della Salute Alta Val d'Elsa,SOCIETA DELLA SALUTE ALTA VAL D'ELSA,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)","Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Ambiti socio-sanitari,,,Toscana,nome,valido_localizzato,attore,1,0,0,,,
001_0020,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Servizi sociali comunali,Servizi sociali,SERVIZI SOCIALI,Servizi sociali comunali,Servizi sociali comunali,Enti territoriali / servizi comunali,,,Toscana,nome,generico,attore,1,0,0,,Presa in carico integrata,
001_0021,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Polizie Municipali dei Comuni della Valdelsa,Polizie Municipali dei Comuni della Valdelsa,POLIZIE MUNICIPALI DEI COMUNI DELLA VALDELSA,Polizia Municipale,Polizia Municipale,Enti territoriali / servizi comunali,,,Toscana,nome,valido_localizzato,attore,1,0,0,,Inclusi in firma singolarmente dai Comuni,
001_0022,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Polizia Municipale di Poggibonsi,Polizia Municipale di Poggibonsi,POLIZIA MUNICIPALE DI POGGIBONSI,Polizia Municipale,Polizia Municipale,Enti territoriali / servizi comunali,Poggibonsi,Siena,Toscana,json,valido_localizzato,soggetto_proponente|attore,1,0,1,,Firmatario/aderente,
001_0023,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Polizia Municipale di Colle Val d’Elsa,Polizia Municipale di Colle Val d'Elsa,POLIZIA MUNICIPALE DI COLLE VAL D'ELSA,Polizia Municipale,Polizia Municipale,Enti territoriali / servizi comunali,Colle di Val d'Elsa,Siena,Toscana,json,valido_localizzato,attore,1,0,0,,Firmatario/aderente,
001_0024,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Polizia Municipale di San Gimignano,Polizia Municipale di San Gimignano,POLIZIA MUNICIPALE DI SAN GIMIGNANO,Polizia Municipale,Polizia Municipale,Enti territoriali / servizi comunali,San Gimignano,Siena,Toscana,json,valido_localizzato,soggetto_proponente|attore,1,0,1,,Firmatario/aderente,
001_0025,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Polizia Municipale di Casole d’Elsa,Polizia Municipale di Casole d'Elsa,POLIZIA MUNICIPALE DI CASOLE D'ELSA,Polizia Municipale,Polizia Municipale,Enti territoriali / servizi comunali,Casole d'Elsa,Siena,Toscana,json,valido_localizzato,soggetto_proponente|attore,1,0,1,,Firmatario/aderente,
001_0026,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Polizia Municipale di Radicondoli,Polizia Municipale di Radicondoli,POLIZIA MUNICIPALE DI RADICONDOLI,Polizia Municipale,Polizia Municipale,Enti territoriali / servizi comunali,Radicondoli,Siena,Toscana,json,valido_localizzato,soggetto_proponente|attore,1,0,1,,Firmatario/aderente,
001_0027,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Prefettura di Siena,Prefettura di Siena,PREFETTURA DI SIENA,Prefettura,Prefettura,Giustizia e forze dell'ordine,Siena,Siena,Toscana,json,valido_localizzato,attore,1,0,0,,Firmatario del protocollo 2019 e aderente,
001_0028,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Procura della Repubblica di Siena,Procura della Repubblica di Siena,PROCURA DELLA REPUBBLICA DI SIENA,Procura Ordinaria/Tribunale/Corte d'appello,Procura Ordinaria/Tribunale/Corte d'appello,Giustizia e forze dell'ordine,Siena,Siena,Toscana,json,valido_localizzato,attore,1,0,0,,Firmatario,
001_0029,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Forze di Polizia Giudiziaria,Forze di Polizia Giudiziaria,FORZE DI POLIZIA GIUDIZIARIA,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Giustizia e forze dell'ordine,,,Toscana,nome,generico,attore,1,0,0,,,
001_0030,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Comando Provinciale dei Carabinieri,Comando Provinciale dei Carabinieri,COMANDO PROVINCIALE DEI CARABINIERI,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Giustizia e forze dell'ordine,,,Toscana,nome,valido_localizzato,attore,1,0,0,,,
001_0031,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Guardia di Finanza,Guardia di Finanza,GUARDIA DI FINANZA,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Giustizia e forze dell'ordine,,,Toscana,nome,generico,attore,1,0,0,,,
001_0032,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Questura di Siena,Questura di Siena,QUESTURA DI SIENA,Questura,Questura,Giustizia e forze dell'ordine,Siena,Siena,Toscana,json,valido_localizzato,attore,1,0,0,,,
001_0033,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Associazione Atelier Vantaggio Donna,Associazione Atelier Vantaggio Donna,ASSOCIAZIONE ATELIER VANTAGGIO DONNA,ASSOCIAZIONI DI PROMOZIONE SOCIALE,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo,Castelfiorentino,Firenze,Toscana,json,valido_localizzato,attore,1,0,0,,Supporto tecnico-progettuale e formazione,91011120523
001_0034,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,CAM Firenze,CAM Firenze,CAM FIRENZE,"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti","Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",Associazionismo,,,Toscana,nome,valido_localizzato,attore,1,0,0,,Destinato a uomini autori di violenza,
001_0035,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,SMA,SMA,SMA,Altro,Altro,Altro,,,Toscana,nome,valido_localizzato,attore,1,0,0,,Servizio specialistico,
001_0036,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,SERD,SERD,SERD,Altro,Altro,Altro,,,Toscana,nome,valido_localizzato,attore,1,0,0,,Servizio per le dipendenze,
001_0037,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Ordine degli Avvocati di Siena,Ordine degli Avvocati di Siena,ORDINE DEGLI AVVOCATI DI SIENA,Ordine avvocati,Ordine avvocati,Giustizia e forze dell'ordine,Siena,Siena,Toscana,json,valido_localizzato,attore,1,0,0,,Firmatario,
001_0038,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,CPO dell’Ordine degli Avvocati di Siena,CPO dell'Ordine degli Avvocati di Siena,CPO DELL'ORDINE DEGLI AVVOCATI DI SIENA,Organismi di parità,Ordine avvocati,Giustizia e forze dell'ordine,Siena,Siena,Toscana,json,valido_localizzato,attore,1,0,0,,,
001_0039,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Ordine dei Dottori Commercialisti e degli Esperti Contabili di Siena,Ordine dei Dottori Commercialisti e degli Esperti Contabili di Siena,ORDINE DEI DOTTORI COMMERCIALISTI E DEGLI ESPERTI CONTABILI DI SIENA,Altri ordini professionali,Altri ordini professionali,Altri attori istituzionali / professionali,Siena,Siena,Toscana,json,valido_localizzato,attore,1,0,0,,Firmatario,
001_0040,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Comitato Pari Opportunità dell’Ordine dei Dottori Commercialisti e degli Esperti Contabili di Siena,Comitato Pari Opportunita dell'Ordine dei Dottori Commercialisti e degli Esperti Contabili di Siena,COMITATO PARI OPPORTUNITA DELL'ORDINE DEI DOTTORI COMMERCIALISTI E DEGLI ESPERTI CONTABILI DI SIENA,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,Siena,Siena,Toscana,json,valido_localizzato,attore,1,0,0,,Firmatario,
002_0001,09_APUANE_2015 Protocollo Prefettura.txt,Prefettura di Massa-Carrara,Prefettura di Massa-Carrara,PREFETTURA DI MASSA-CARRARA,Prefettura,Prefettura,Giustizia e forze dell'ordine,Massa Carrara,Massa-Carrara,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,"Firmatario del protocollo, ruolo di raccordo della rete",
002_0002,09_APUANE_2015 Protocollo Prefettura.txt,Provincia di Massa Carrara,Provincia di Massa Carrara,PROVINCIA DI MASSA CARRARA,Province/Città metropolitane,Province/Città metropolitane,Province/Città metropolitane,Massa Carrara,Massa-Carrara,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
002_0003,09_APUANE_2015 Protocollo Prefettura.txt,Comune di Massa,Comune di Massa,COMUNE DI MASSA,Comuni,Comuni,Enti territoriali / servizi comunali,Massa,Massa-Carrara,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
002_0004,09_APUANE_2015 Protocollo Prefettura.txt,Comune di Carrara,Comune di Carrara,COMUNE DI CARRARA,Comuni,Comuni,Enti territoriali / servizi comunali,Carrara,Massa-Carrara,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
002_0005,09_APUANE_2015 Protocollo Prefettura.txt,Comune di Montignoso,Comune di Montignoso,COMUNE DI MONTIGNOSO,Comuni,Comuni,Enti territoriali / servizi comunali,Montignoso,Massa-Carrara,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
002_0006,09_APUANE_2015 Protocollo Prefettura.txt,Tribunale di Massa,Tribunale di Massa,TRIBUNALE DI MASSA,Procura Ordinaria/Tribunale/Corte d'appello,Procura Ordinaria/Tribunale/Corte d'appello,Giustizia e forze dell'ordine,Massa,Massa-Carrara,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
002_0007,09_APUANE_2015 Protocollo Prefettura.txt,Procura della Repubblica di Massa,Procura della Repubblica di Massa,PROCURA DELLA REPUBBLICA DI MASSA,Procura Ordinaria/Tribunale/Corte d'appello,Procura Ordinaria/Tribunale/Corte d'appello,Giustizia e forze dell'ordine,Massa,Massa-Carrara,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
002_0008,09_APUANE_2015 Protocollo Prefettura.txt,Ufficio Scolastico Provinciale,Ufficio Scolastico Provinciale,UFFICIO SCOLASTICO PROVINCIALE,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Altri attori istituzionali / professionali,,,Toscana,nome,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
002_0009,09_APUANE_2015 Protocollo Prefettura.txt,Azienda Sanitaria Locale n. 1 di Massa Carrara,Azienda Sanitaria Locale n. 1 di Massa Carrara,AZIENDA SANITARIA LOCALE N. 1 DI MASSA CARRARA,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Sanità e servizi territoriali,Massa Carrara,Massa-Carrara,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
002_0010,09_APUANE_2015 Protocollo Prefettura.txt,Societa della Salute della Lunigiana,Società della Salute della Lunigiana,SOCIETA DELLA SALUTE DELLA LUNIGIANA,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)","Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Ambiti socio-sanitari,,,Toscana,nome,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
002_0011,09_APUANE_2015 Protocollo Prefettura.txt,Questura di Massa Carrara,Questura di Massa Carrara,QUESTURA DI MASSA CARRARA,Questura,Questura,Giustizia e forze dell'ordine,Massa Carrara,Massa-Carrara,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
002_0012,09_APUANE_2015 Protocollo Prefettura.txt,Comando Provinciale dei Carabinieri di Massa Carrara,Comando Provinciale dei Carabinieri di Massa Carrara,COMANDO PROVINCIALE DEI CARABINIERI DI MASSA CARRARA,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Giustizia e forze dell'ordine,Massa Carrara,Massa-Carrara,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
002_0013,09_APUANE_2015 Protocollo Prefettura.txt,Comando Provinciale della Guardia di Finanza di Massa Carrara,Comando Provinciale della Guardia di Finanza di Massa Carrara,COMANDO PROVINCIALE DELLA GUARDIA DI FINANZA DI MASSA CARRARA,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Giustizia e forze dell'ordine,Massa Carrara,Massa-Carrara,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
002_0014,09_APUANE_2015 Protocollo Prefettura.txt,Centro Antiviolenza Duna di Massa,Centro Antiviolenza Duna di Massa,CENTRO ANTIVIOLENZA DUNA DI MASSA,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e Case Rifugio,Massa,Massa-Carrara,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
002_0015,09_APUANE_2015 Protocollo Prefettura.txt,Centro Antiviolenza Centro Donna di Massa,Centro Antiviolenza Centro Donna di Massa,CENTRO ANTIVIOLENZA CENTRO DONNA DI MASSA,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e Case Rifugio,Massa,Massa-Carrara,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
002_0016,09_APUANE_2015 Protocollo Prefettura.txt,Centro Antiviolenza Donna chiama Donna di Carrara,Centro Antiviolenza Donna chiama Donna di Carrara,CENTRO ANTIVIOLENZA DONNA CHIAMA DONNA DI CARRARA,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e Case Rifugio,Carrara,Massa-Carrara,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
002_0017,09_APUANE_2015 Protocollo Prefettura.txt,Centro Antiviolenza Centro Donna della Lunigiana,Centro Antiviolenza Centro Donna della Lunigiana,CENTRO ANTIVIOLENZA CENTRO DONNA DELLA LUNIGIANA,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e Case Rifugio,,,Toscana,nome,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
002_0018,09_APUANE_2015 Protocollo Prefettura.txt,Centro di Ascolto Sabine di Montignoso,Centro di Ascolto Sabine di Montignoso,CENTRO DI ASCOLTO SABINE DI MONTIGNOSO,CAV/Centri Antiviolenza,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo,Montignoso,Massa-Carrara,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
002_0019,09_APUANE_2015 Protocollo Prefettura.txt,Centro di Ascolto Centro Italiano Femminile di Carrara,Centro di Ascolto CIF di Carrara,CENTRO DI ASCOLTO CIF DI CARRARA,Centri/Sportelli di ascolto,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo,Carrara,Massa-Carrara,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
002_0020,09_APUANE_2015 Protocollo Prefettura.txt,Associazione A.R.P.A.,Associazione A.R.P.A,ASSOCIAZIONE A.R.P.A,Ente terzo settore - ETS (iscritto al RUNTS),Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo,Massa,Massa-Carrara,Toscana,json,valido_localizzato,,0,0,0,,,
002_0021,09_APUANE_2015 Protocollo Prefettura.txt,Associazione C.LF.,Associazione C.LF,ASSOCIAZIONE C.LF,Ente terzo settore - ETS (iscritto al RUNTS),Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo,Carrara,Massa-Carrara,Toscana,json,valido_localizzato,,0,0,0,,,
002_0022,09_APUANE_2015 Protocollo Prefettura.txt,Centro Donna Provinciale,Centro Donna Provinciale,CENTRO DONNA PROVINCIALE,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e Case Rifugio,Massa,Massa-Carrara,Toscana,json,valido_localizzato,,0,0,0,,,
002_0023,09_APUANE_2015 Protocollo Prefettura.txt,Centro Donna Chiama Donna,Centro Donna Chiama Donna,CENTRO DONNA CHIAMA DONNA,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e Case Rifugio,Massa,Massa-Carrara,Toscana,json,valido_localizzato,,0,0,0,,,
002_0024,09_APUANE_2015 Protocollo Prefettura.txt,Centro Donna Lunigiana,Centro Donna Lunigiana,CENTRO DONNA LUNIGIANA,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e Case Rifugio,,,Toscana,nome,valido_localizzato,,0,0,0,,,
002_0025,09_APUANE_2015 Protocollo Prefettura.txt,Centro Sabine,Centro di Ascolto Sabine di Montignoso,CENTRO DI ASCOLTO SABINE DI MONTIGNOSO,CAV/Centri Antiviolenza,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo,Montignoso,Massa-Carrara,Toscana,json,valido_localizzato,,0,0,0,,,
002_0026,09_APUANE_2015 Protocollo Prefettura.txt,Servizi Sociali dei Comuni di Costa,Servizi Sociali dei Comuni di Costa,SERVIZI SOCIALI DEI COMUNI DI COSTA,Servizi sociali comunali,Servizi sociali comunali,Enti territoriali / servizi comunali,,,Toscana,nome,valido_localizzato,attore,1,0,0,,,
002_0027,09_APUANE_2015 Protocollo Prefettura.txt,Servizi Sociali e Sanitari della Societa della Salute,Servizi Sociali e Sanitari della Società della Salute,SERVIZI SOCIALI E SANITARI DELLA SOCIETA DELLA SALUTE,Servizi sociali comunali,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Ambiti socio-sanitari,,,Toscana,nome,valido_localizzato,attore,1,0,0,,,
002_0028,09_APUANE_2015 Protocollo Prefettura.txt,Ospedale (Pronto Soccorso),Ospedale (Pronto Soccorso,OSPEDALE (PRONTO SOCCORSO,"Ospedale (Pronto soccorso, ecc.)","Ospedale (Pronto soccorso, ecc.)",Sanità e servizi territoriali,,,Toscana,nome,valido_localizzato,attore,1,0,0,,Citato in linee guida operative,
002_0029,09_APUANE_2015 Protocollo Prefettura.txt,Consultorio principale,Consultorio principale,CONSULTORIO PRINCIPALE,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Sanità e servizi territoriali,,,Toscana,nome,generico,attore,1,0,0,,,
002_0030,09_APUANE_2015 Protocollo Prefettura.txt,Direttore Sanitario,Direttore Sanitario,DIRETTORE SANITARIO,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Sanità e servizi territoriali,,,Toscana,nome,generico,,0,0,0,,,
002_0031,09_APUANE_2015 Protocollo Prefettura.txt,Organizzazione delle Nazioni Unite,Organizzazione delle Nazioni Unite,ORGANIZZAZIONE DELLE NAZIONI UNITE,Altro,Altro,Altro,,,Toscana,nome,da_escludere,,0,0,0,,,
