chiave,record_id,file,nome_originale,nome_canonico,nome_norm_stat,tipo_originale,tipo_standard,macro_categoria,comune_finale,provincia_finale,regione_finale,fonte_territorializzazione,stato_osservazione,ruoli_documentali,ruolo_attore,ruolo_firmatario,ruolo_proponente,ente_capofila,note,cf
CENTRO DI ASCOLTO CIF DI CARRARA||Ente terzo settore - ETS (iscritto al RUNTS)||Massa-Carrara||Toscana,002_0019,09_APUANE_2015 Protocollo Prefettura.txt,Centro di Ascolto Centro Italiano Femminile di Carrara,Centro di Ascolto CIF di Carrara,CENTRO DI ASCOLTO CIF DI CARRARA,Centri/Sportelli di ascolto,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo,Carrara,Massa-Carrara,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
CENTRO DI ASCOLTO CIF DI CARRARA||Ente terzo settore - ETS (iscritto al RUNTS)||Massa-Carrara||Toscana,002_0048,09_APUANE_2015 Protocollo Prefettura.txt,Centro di Ascolto C.I.F. di Carrara,Centro di Ascolto CIF di Carrara,CENTRO DI ASCOLTO CIF DI CARRARA,Centri/Sportelli di ascolto,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo,Carrara,Massa-Carrara,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,CIF = Centro Italiano Femminile,
CISMAI - COORDINAMENTO ITALIANO DEI SERVIZI CONTRO IL MALTRATTAMENTO E L'ABUSO ALL'INFANZIA||Ente terzo settore - ETS (iscritto al RUNTS)||||Toscana,002_0036,09_APUANE_2015 Protocollo Prefettura.txt,C.I.S.M.A.I.,CISMAI – Coordinamento Italiano dei Servizi contro il Maltrattamento e l'Abuso all'Infanzia,CISMAI - COORDINAMENTO ITALIANO DEI SERVIZI CONTRO IL MALTRATTAMENTO E L'ABUSO ALL'INFANZIA,Altro,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo,,,Toscana,nome,valido_localizzato,,0,0,0,,Coordinamento italiano dei servizi contro il maltrattamento e l'abuso all'infanzia,
CISMAI - COORDINAMENTO ITALIANO DEI SERVIZI CONTRO IL MALTRATTAMENTO E L'ABUSO ALL'INFANZIA||Ente terzo settore - ETS (iscritto al RUNTS)||||Toscana,004_0040,09_FIRENZE Linee-di-indirizzo2024.txt,CISMAI,CISMAI – Coordinamento Italiano dei Servizi contro il Maltrattamento e l'Abuso all'Infanzia,CISMAI - COORDINAMENTO ITALIANO DEI SERVIZI CONTRO IL MALTRATTAMENTO E L'ABUSO ALL'INFANZIA,Altro,Ente terzo settore - ETS (iscritto al RUNTS),Associazionismo,,,Toscana,nome,valido_localizzato,,0,0,0,,"Associazione per la tutela minori, linee guida sugli incontri protetti",
REGIONE TOSCANA||Regioni/Province Autonome||||Toscana,002_0037,09_APUANE_2015 Protocollo Prefettura.txt,Regione Toscana,Regione Toscana,REGIONE TOSCANA,Regioni/Province Autonome,Regioni/Province Autonome,Regioni/Province Autonome,Toscana,,Toscana,json,valido_localizzato,,0,0,0,,,
REGIONE TOSCANA||Regioni/Province Autonome||||Toscana,004_0037,09_FIRENZE Linee-di-indirizzo2024.txt,Regione Toscana,Regione Toscana,REGIONE TOSCANA,Regioni/Province Autonome,Regioni/Province Autonome,Regioni/Province Autonome,,,Toscana,nome,valido_localizzato,,0,0,0,,"Fondi per il programma, revisione del documento",
REGIONE TOSCANA||Regioni/Province Autonome||||Toscana,005_0035,09_GROSSETO 2022 fpdf.txt,Regione Toscana,Regione Toscana,REGIONE TOSCANA,Regioni/Province Autonome,Regioni/Province Autonome,Regioni/Province Autonome,,,Toscana,nome,valido_localizzato,,0,0,0,,,
REGIONE TOSCANA||Regioni/Province Autonome||||Toscana,006_0019,09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt,Regione Toscana,Regione Toscana,REGIONE TOSCANA,Regioni/Province Autonome,Regioni/Province Autonome,Regioni/Province Autonome,,,Toscana,nome,valido_localizzato,,0,0,0,,,
REGIONE TOSCANA||Regioni/Province Autonome||||Toscana,008_0061,09_PISA PREF E PROV.txt,Regione Toscana,Regione Toscana,REGIONE TOSCANA,Regioni/Province Autonome,Regioni/Province Autonome,Regioni/Province Autonome,,,Toscana,nome,valido_localizzato,firmatario|attore,1,1,0,,riconosce Centri Antiviolenza e funzioni di coordinamento della Rete Antiviolenza,
REGIONE TOSCANA||Regioni/Province Autonome||||Toscana,010_0021,09_PRATO PREF.txt,Regione Toscana,Regione Toscana,REGIONE TOSCANA,Regioni/Province Autonome,Regioni/Province Autonome,Regioni/Province Autonome,,,Toscana,nome,valido_localizzato,,0,0,0,,,
TRIBUNALE PER I MINORENNI||Procura Minorile/Tribunale minorile||||Toscana,002_0044,09_APUANE_2015 Protocollo Prefettura.txt,Tribunale per i Minorenni,Tribunale per i Minorenni,TRIBUNALE PER I MINORENNI,Procura Minorile/Tribunale minorile,Procura Minorile/Tribunale minorile,Giustizia e forze dell'ordine,,,Toscana,nome,valido_localizzato,,0,0,0,,,
TRIBUNALE PER I MINORENNI||Procura Minorile/Tribunale minorile||||Toscana,010_0020,09_PRATO PREF.txt,Tribunale per i Minorenni,Tribunale per i Minorenni,TRIBUNALE PER I MINORENNI,Procura Minorile/Tribunale minorile,Procura Minorile/Tribunale minorile,Giustizia e forze dell'ordine,,,Toscana,nome,valido_localizzato,,0,0,0,,,
TRIBUNALE PER I MINORENNI||Procura Minorile/Tribunale minorile||||Toscana,011_0023,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,Tribunale per i Minorenni,Tribunale per i Minorenni,TRIBUNALE PER I MINORENNI,Procura Minorile/Tribunale minorile,Procura Minorile/Tribunale minorile,Giustizia e forze dell'ordine,,,Toscana,nome,valido_localizzato,,0,0,0,,Coinvolto per provvedimenti su minori,
CONSIGLIERA PROVINCIALE DI PARITA||Organismi di parità||||Toscana,003_0012,09_AREZZO Prot_2024-2026.txt,Consigliera Provinciale di Parità,Consigliera Provinciale di Parità,CONSIGLIERA PROVINCIALE DI PARITA,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,,,Toscana,nome,valido_localizzato,firmatario|attore,1,1,0,,Firmatario protocollo,
CONSIGLIERA PROVINCIALE DI PARITA||Organismi di parità||||Toscana,009_0032,09_PISTOIA PROV .txt,Consigliera Provinciale di Parita,Consigliera Provinciale di Parità,CONSIGLIERA PROVINCIALE DI PARITA,Organismi di parità,Organismi di parità,Altri attori istituzionali / professionali,,,Toscana,nome,valido_localizzato,firmatario|attore,1,1,0,,firmatario,
FORZE DELL'ORDINE||Carabinieri/Polizia/altre forze dell'ordine||||Toscana,003_0020,09_AREZZO Prot_2024-2026.txt,FF.OO.,Forze dell'ordine,FORZE DELL'ORDINE,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Giustizia e forze dell'ordine,,,Toscana,nome,generico,,0,0,0,,Forze dell’ordine indicate tra i soggetti rappresentati dalla Prefettura,
FORZE DELL'ORDINE||Carabinieri/Polizia/altre forze dell'ordine||||Toscana,008_0042,09_PISA PREF E PROV.txt,Forze dell'Ordine,Forze dell'ordine,FORZE DELL'ORDINE,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Giustizia e forze dell'ordine,,,Toscana,nome,generico,firmatario|attore,1,1,0,,,
FORZE DELL'ORDINE||Carabinieri/Polizia/altre forze dell'ordine||||Toscana,011_0020,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,Forze dell’Ordine,Forze dell'ordine,FORZE DELL'ORDINE,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Giustizia e forze dell'ordine,,,Toscana,nome,generico,attore,1,0,0,,Interventi su richiesta della vittima o del personale sanitario,
PROCURA GENERALE DELLA REPUBBLICA PRESSO LA CORTE D'APPELLO DI FIRENZE||Procura Ordinaria/Tribunale/Corte d'appello||Firenze||Toscana,005_0046,09_GROSSETO 2022 fpdf.txt,Procura Generale della Repubblica presso la Corte d'Appello di Firenze,Procura Generale della Repubblica presso la Corte d'Appello di Firenze,PROCURA GENERALE DELLA REPUBBLICA PRESSO LA CORTE D'APPELLO DI FIRENZE,Procura Ordinaria/Tribunale/Corte d'appello,Procura Ordinaria/Tribunale/Corte d'appello,Giustizia e forze dell'ordine,Firenze,Firenze,Toscana,json,valido_localizzato,,0,0,0,,,
PROCURA GENERALE DELLA REPUBBLICA PRESSO LA CORTE D'APPELLO DI FIRENZE||Procura Ordinaria/Tribunale/Corte d'appello||Firenze||Toscana,011_0002,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,Procura Generale della Repubblica presso la Corte d’Appello di Firenze,Procura Generale della Repubblica presso la Corte d'Appello di Firenze,PROCURA GENERALE DELLA REPUBBLICA PRESSO LA CORTE D'APPELLO DI FIRENZE,Procura Ordinaria/Tribunale/Corte d'appello,Procura Ordinaria/Tribunale/Corte d'appello,Giustizia e forze dell'ordine,Firenze,Firenze,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
PROCURE DELLA REPUBBLICA PRESSO IL TRIBUNALE DEL DISTRETTO||Procura Ordinaria/Tribunale/Corte d'appello||||Toscana,005_0047,09_GROSSETO 2022 fpdf.txt,Procure della Repubblica presso il Tribunale del Distretto,Procure della Repubblica presso il Tribunale del Distretto,PROCURE DELLA REPUBBLICA PRESSO IL TRIBUNALE DEL DISTRETTO,Procura Ordinaria/Tribunale/Corte d'appello,Procura Ordinaria/Tribunale/Corte d'appello,Giustizia e forze dell'ordine,,,Toscana,nome,valido_localizzato,,0,0,0,,,
PROCURE DELLA REPUBBLICA PRESSO IL TRIBUNALE DEL DISTRETTO||Procura Ordinaria/Tribunale/Corte d'appello||||Toscana,011_0003,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,Procure della Repubblica presso il Tribunale del Distretto,Procure della Repubblica presso il Tribunale del Distretto,PROCURE DELLA REPUBBLICA PRESSO IL TRIBUNALE DEL DISTRETTO,Procura Ordinaria/Tribunale/Corte d'appello,Procura Ordinaria/Tribunale/Corte d'appello,Giustizia e forze dell'ordine,,,Toscana,nome,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
PROCURA DELLA REPUBBLICA PER I MINORENNI DI FIRENZE||Procura Minorile/Tribunale minorile||Firenze||Toscana,005_0048,09_GROSSETO 2022 fpdf.txt,Procura della Repubblica per i Minorenni di Firenze,Procura della Repubblica per i Minorenni di Firenze,PROCURA DELLA REPUBBLICA PER I MINORENNI DI FIRENZE,Procura Minorile/Tribunale minorile,Procura Minorile/Tribunale minorile,Giustizia e forze dell'ordine,Firenze,Firenze,Toscana,json,valido_localizzato,,0,0,0,,,
PROCURA DELLA REPUBBLICA PER I MINORENNI DI FIRENZE||Procura Minorile/Tribunale minorile||Firenze||Toscana,011_0004,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,Procura della Repubblica per i Minorenni di Firenze,Procura della Repubblica per i Minorenni di Firenze,PROCURA DELLA REPUBBLICA PER I MINORENNI DI FIRENZE,Procura Minorile/Tribunale minorile,Procura Minorile/Tribunale minorile,Giustizia e forze dell'ordine,Firenze,Firenze,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
PROCURA GENERALE PRESSO LA CORTE D'APPELLO DI GENOVA||Procura Ordinaria/Tribunale/Corte d'appello||Genova||Liguria,005_0049,09_GROSSETO 2022 fpdf.txt,Procura Generale presso la Corte d'Appello di Genova,Procura Generale presso la Corte d'Appello di Genova,PROCURA GENERALE PRESSO LA CORTE D'APPELLO DI GENOVA,Procura Ordinaria/Tribunale/Corte d'appello,Procura Ordinaria/Tribunale/Corte d'appello,Giustizia e forze dell'ordine,Genova,Genova,Liguria,json,valido_localizzato,,0,0,0,,,
PROCURA GENERALE PRESSO LA CORTE D'APPELLO DI GENOVA||Procura Ordinaria/Tribunale/Corte d'appello||Genova||Liguria,011_0005,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,Procura Generale presso la Corte d’Appello di Genova,Procura Generale presso la Corte d'Appello di Genova,PROCURA GENERALE PRESSO LA CORTE D'APPELLO DI GENOVA,Procura Ordinaria/Tribunale/Corte d'appello,Procura Ordinaria/Tribunale/Corte d'appello,Giustizia e forze dell'ordine,Genova,Genova,Liguria,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
PROCURA DELLA REPUBBLICA PRESSO IL TRIBUNALE DI MASSA||Procura Ordinaria/Tribunale/Corte d'appello||Massa-Carrara||Toscana,005_0050,09_GROSSETO 2022 fpdf.txt,Procura della Repubblica presso il Tribunale di Massa,Procura della Repubblica presso il Tribunale di Massa,PROCURA DELLA REPUBBLICA PRESSO IL TRIBUNALE DI MASSA,Procura Ordinaria/Tribunale/Corte d'appello,Procura Ordinaria/Tribunale/Corte d'appello,Giustizia e forze dell'ordine,Massa,Massa-Carrara,Toscana,json,valido_localizzato,,0,0,0,,,
PROCURA DELLA REPUBBLICA PRESSO IL TRIBUNALE DI MASSA||Procura Ordinaria/Tribunale/Corte d'appello||Massa-Carrara||Toscana,011_0006,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,Procura della Repubblica presso il Tribunale di Massa,Procura della Repubblica presso il Tribunale di Massa,PROCURA DELLA REPUBBLICA PRESSO IL TRIBUNALE DI MASSA,Procura Ordinaria/Tribunale/Corte d'appello,Procura Ordinaria/Tribunale/Corte d'appello,Giustizia e forze dell'ordine,Massa,Massa-Carrara,Toscana,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
PROCURA DELLA REPUBBLICA||Procura Ordinaria/Tribunale/Corte d'appello||||Toscana,007_0003,09_LUCCA PROV.txt,Procura della Repubblica,Procura della Repubblica,PROCURA DELLA REPUBBLICA,Procura Ordinaria/Tribunale/Corte d'appello,Procura Ordinaria/Tribunale/Corte d'appello,Giustizia e forze dell'ordine,,,Toscana,nome,generico,firmatario|attore,1,1,0,,,
PROCURA DELLA REPUBBLICA||Procura Ordinaria/Tribunale/Corte d'appello||||Toscana,008_0041,09_PISA PREF E PROV.txt,Procura della Repubblica,Procura della Repubblica,PROCURA DELLA REPUBBLICA,Procura Ordinaria/Tribunale/Corte d'appello,Procura Ordinaria/Tribunale/Corte d'appello,Giustizia e forze dell'ordine,,,Toscana,nome,generico,firmatario|attore,1,1,0,,,
CENTRI ANTIVIOLENZA||CAV/Centri Antiviolenza||||Toscana,007_0014,09_LUCCA PROV.txt,Centri Antiviolenza,Centri Antiviolenza,CENTRI ANTIVIOLENZA,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e Case Rifugio,,,Toscana,nome,generico,firmatario|attore,1,1,0,,,
CENTRI ANTIVIOLENZA||CAV/Centri Antiviolenza||||Toscana,008_0052,09_PISA PREF E PROV.txt,Centri Antiviolenza riconosciuti dalla Regione Toscana,Centri Antiviolenza,CENTRI ANTIVIOLENZA,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e Case Rifugio,,,Toscana,nome,generico,firmatario|attore,1,1,0,,"operano nel territorio provinciale per la prevenzione e il contrasto della violenza maschile contro le donne, della violenza intrafamiliare e della violenza assistita",
CENTRI ANTIVIOLENZA||CAV/Centri Antiviolenza||||Toscana,009_0039,09_PISTOIA PROV .txt,Centro Antiviolenza,Centri Antiviolenza,CENTRI ANTIVIOLENZA,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e Case Rifugio,,,Toscana,nome,generico,attore,1,0,0,,citato come soggetto operativo nei ruoli e nelle azioni,
CENTRI ANTIVIOLENZA||CAV/Centri Antiviolenza||||Toscana,011_0011,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,Centri Antiviolenza,Centri Antiviolenza,CENTRI ANTIVIOLENZA,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e Case Rifugio,,,Toscana,nome,generico,attore,1,0,0,,Coinvolti nel percorso donna,
AZIENDA SANITARIA USL TOSCANA CENTRO||ASL (consultori familiari e altri servizi territoriali)||||Toscana,008_0047,09_PISA PREF E PROV.txt,Azienda Sanitaria USL Toscana Centro,Azienda Sanitaria USL Toscana Centro,AZIENDA SANITARIA USL TOSCANA CENTRO,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Sanità e servizi territoriali,,,Toscana,nome,valido_localizzato,firmatario|attore,1,1,0,,,
AZIENDA SANITARIA USL TOSCANA CENTRO||ASL (consultori familiari e altri servizi territoriali)||||Toscana,010_0015,09_PRATO PREF.txt,Azienda Sanitaria USL Toscana Centro,Azienda Sanitaria USL Toscana Centro,AZIENDA SANITARIA USL TOSCANA CENTRO,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Sanità e servizi territoriali,,,Toscana,nome,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,
"PRONTO SOCCORSO||Ospedale (Pronto soccorso, ecc.)||||Toscana",011_0018,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,Pronto Soccorso,Pronto Soccorso,PRONTO SOCCORSO,"Ospedale (Pronto soccorso, ecc.)","Ospedale (Pronto soccorso, ecc.)",Sanità e servizi territoriali,,,Toscana,nome,generico,attore,1,0,0,,Ambito di accesso e di intervento,
"PRONTO SOCCORSO||Ospedale (Pronto soccorso, ecc.)||||Toscana",011_0027,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,Pronto Soccorso,Pronto Soccorso,PRONTO SOCCORSO,"Ospedale (Pronto soccorso, ecc.)","Ospedale (Pronto soccorso, ecc.)",Sanità e servizi territoriali,,,Toscana,nome,generico,attore,1,0,0,,Ambito sanitario per gestione accessi vittime,
"PRONTO SOCCORSO||Ospedale (Pronto soccorso, ecc.)||||Toscana",012_0014,09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt,Pronto soccorso,Pronto soccorso,PRONTO SOCCORSO,"Ospedale (Pronto soccorso, ecc.)","Ospedale (Pronto soccorso, ecc.)",Sanità e servizi territoriali,,,Toscana,nome,generico,attore,1,0,0,,,
CONSULTORIO||ASL (consultori familiari e altri servizi territoriali)||||Toscana,011_0030,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,Consultorio,Consultorio,CONSULTORIO,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Sanità e servizi territoriali,,,Toscana,nome,generico,,0,0,0,,Intervento su minori e salute donne,
CONSULTORIO||ASL (consultori familiari e altri servizi territoriali)||||Toscana,012_0015,09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt,Consultorio,Consultorio,CONSULTORIO,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Sanità e servizi territoriali,,,Toscana,nome,generico,attore,1,0,0,,,
