regione,provincia,macro_categoria,tipo_standard,nome_canonico,file,n_record_aggregati
Emilia-Romagna,Ferrara,Altri attori istituzionali / professionali,Scuole/Ufficio scolastico provinciale e regionale,Istituzioni scolastiche autonome della provincia di Ferrara,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Emilia-Romagna,Modena,Altri attori istituzionali / professionali,Scuole/Ufficio scolastico provinciale e regionale,MIUR - Ufficio Scolastico Regionale per l'Emilia Romagna - Ufficio VIII Ambito Territoriale per la provincia di Modena,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,,Altri attori istituzionali / professionali,Scuole/Ufficio scolastico provinciale e regionale,Ufficio Scolastico Provinciale di Reggio Emilia,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Emilia-Romagna,Ferrara,Altri attori istituzionali / professionali,Scuole/Ufficio scolastico provinciale e regionale,Ufficio Scolastico Regionale VI Ambito Territoriale di Ferrara,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Emilia-Romagna,,Altri attori istituzionali / professionali,Scuole/Ufficio scolastico provinciale e regionale,Ufficio Scolastico Regionale per l'Emilia Romagna - Ufficio VII - Ambito territoriale di Forli-Cesena e Rimini,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
Emilia-Romagna,Ferrara,Altri attori istituzionali / professionali,Scuole/Ufficio scolastico provinciale e regionale,"Ufficio Scolastico Regionale per l'Emilia Romagna Ufficio VI, Ambito Territoriale di Ferrara Provinciale",08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,,Altri attori istituzionali / professionali,Scuole/Ufficio scolastico provinciale e regionale,Ufficio Scolastico Territoriale,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
Emilia-Romagna,,Altri attori istituzionali / professionali,Scuole/Ufficio scolastico provinciale e regionale,Ufficio Scolastico regionale per l'Emilia-Romagna,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt | 08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,2
Emilia-Romagna,Modena,Altri attori istituzionali / professionali,Scuole/Ufficio scolastico provinciale e regionale,Ufficio scolastico provinciale di Modena,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,Rimini,Altri attori istituzionali / professionali,Università,Campus di Rimini,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
Emilia-Romagna,,Altri attori istituzionali / professionali,Università,Università degli Studi di Bologna — Dipartimento di Psicologia,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,Ferrara,Altri attori istituzionali / professionali,Università,Università degli Studi di Ferrara,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,2
Emilia-Romagna,,Altri attori istituzionali / professionali,Università,Università degli Studi di Modena e Reggio Emilia,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,Modena,Altri attori istituzionali / professionali,Università,Università di Modena,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Emilia-Romagna,Bologna,Altro,ALTRI ENTI DEL TERZO SETTORE,Coordinamento dei Centri Antiviolenza dell'Emilia Romagna,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt | 08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,2
Emilia-Romagna,,Altro,Altro,ACER Bologna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,2
Emilia-Romagna,Ferrara,Altro,Altro,AFM - Farmacie Comunali Ferrara,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Emilia-Romagna,,Altro,Altro,AIDA,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,Altro,Altro,APE,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,Altro,Altro,ASP Cesena Valle del Savio,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,,Altro,Altro,ASP del Rubicone,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,,Altro,Altro,ASSOCASA,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,Altro,Altro,ASSPI,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,Piacenza,Altro,Altro,Agenzia per il lavoro di Piacenza,08_2406_rta_08_241015092005_4166---DG216-2024.txt,1
Emilia-Romagna,,Altro,Altro,Agenzia regionale per il lavoro,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,Bologna,Altro,Altro,Alleanza delle Cooperative Italiane — Bologna,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,,Altro,Altro,Ambito territoriale per la provincia di Forli-Cesena,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,Bologna,Altro,Altro,Arcidiocesi di Bologna,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,,Altro,Altro,Assistenza Servizi alla Persona (ASSP) Unione Terre e Fiumi,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,,Altro,Altro,Associazione Consultorio per la Famiglia Don Giorgini,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,,Altro,Altro,Associazione Nazionale dei Comuni Italia - A.N.C.I,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
Emilia-Romagna,,Altro,Altro,Aziende Casa del territorio metropolitano comunque denominate,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,Piacenza,Altro,Altro,Banca d'Italia Filiale di Piacenza,08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,1
Emilia-Romagna,,Altro,Altro,CONFABITARE,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,Altro,Altro,CTSSM,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,,Altro,Altro,Carcere,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,,Altro,Altro,Caritas Diocesana,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,Rimini,Altro,Altro,Casa Circondariale di Rimini,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
Emilia-Romagna,,Altro,Altro,Comuni dell'Area Nord,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
Emilia-Romagna,,Altro,Altro,Conferenza Provinciale Permanente,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Emilia-Romagna,,Altro,Altro,Conferenza delle Elette,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,,Altro,Altro,Consigliera di Fiducia della Città metropolitana,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,Bologna,Altro,Altro,Consiglieri di Fiducia del Comune di Bologna,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,,Altro,Altro,Consiglio della Giunta Provinciale,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
Emilia-Romagna,,Altro,Altro,Consiglio metropolitano,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,Altro,Altro,DIRe Donne in Rete contro la violenza,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,Rimini,Altro,Altro,Direzione della Casa Circondariale di Rimini,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,2
Emilia-Romagna,,Altro,Altro,FEDER.CASA,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,Altro,Altro,Fondazione Forense di Forli-Cesena,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,,Altro,Altro,INPS,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,,Altro,Altro,Insieme per il lavoro,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,Piacenza,Altro,Altro,Ispettorato territoriale del lavoro di Piacenza,08_2406_rta_08_241015092005_4166---DG216-2024.txt,1
Emilia-Romagna,Modena,Altro,Altro,MEDIBASE Area Nord - Cooperativa dei Medici di Famiglia dell‘Area Nord della Provincia di Modena,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
Emilia-Romagna,,Altro,Altro,MMG,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,,Altro,Altro,Medici di Medicina Generale,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,,Altro,Altro,Ministero dell'Interno,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Emilia-Romagna,,Altro,Altro,Modena Group Stalking,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Emilia-Romagna,,Altro,Altro,Osservatorio Regionale R.E.R,08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,1
Emilia-Romagna,,Altro,Altro,Ostetricia e Ginecologia,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,1
Emilia-Romagna,,Altro,Altro,PLS,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,,Altro,Altro,Pediatri di Libera Scelta,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,Modena,Altro,Altro,Pronto Intervento Emergenza Minori Provincia di Modena,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
Emilia-Romagna,,Altro,Altro,Psicologia Clinica,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,,Altro,Altro,Psicologia di Base,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,1
Emilia-Romagna,,Altro,Altro,Rete DO.MINO,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,,Altro,Altro,Rete IRENE,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,,Altro,Altro,Rete Nazionale Antiviolenza,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Emilia-Romagna,,Altro,Altro,Rete nazionale D.i.R.e,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,1
Emilia-Romagna,Ferrara,Altro,Altro,Rotary Club Ferrara,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Emilia-Romagna,,Altro,Altro,SOLARIS s.r.l,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,Altro,Altro,Servizi del Comune di Residenza,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,1
Emilia-Romagna,,Altro,Altro,"Servizio Sociale Minori, Famiglie, Giovani - Unione Comuni Area Nord",08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
Emilia-Romagna,,Altro,Altro,Servizio Tutela Minori dell'Unione,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
Emilia-Romagna,Modena,Altro,Altro,Servizio di Pronto Intervento Emergenza Minori della Provincia di Modena,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
Emilia-Romagna,,Altro,Altro,Sportelli PUA Unione Terre e Fiumi,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,,Altro,Altro,Sportello presso sede Ordine degli Avvocati,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Emilia-Romagna,,Altro,Altro,Tavolo Interistituzionale di contrasto alla violenza alle donne,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Emilia-Romagna,,Altro,Altro,Tavolo tecnico,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Emilia-Romagna,,Altro,Altro,UDI — Unione Donne Italiane,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,,Altro,Altro,UNIONCASA,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,Altro,Altro,UPPI,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,Altro,Altro,Ufficio Esecuzione Penale Esterna,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,Rimini,Altro,Altro,Ufficio Esecuzione Penale Esterna di Rimini,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
Emilia-Romagna,Piacenza,Altro,Altro,Ufficio di Presidenza della Conferenza Territoriale Sociale e Sanitaria (CTSS) della Provincia di Piacenza,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,1
Emilia-Romagna,Bologna,Altro,"Ambiti della programmazione sociale e socio-sanitari (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Conferenza Territoriale Sociale e Sanitaria Metropolitana di Bologna (CTSSM,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,1
Emilia-Romagna,,Altro,Settore educativo comunale,Istituzione nidi e scuole materne,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Emilia-Romagna,,Altro,Settore educativo comunale,Officina educativa,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Emilia-Romagna,,Ambiti socio-sanitari,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Ambito Territoriale di Rete (ATR,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Emilia-Romagna,,Ambiti socio-sanitari,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Conferenza Territoriale Sociale e Sanitaria,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
Emilia-Romagna,,Ambiti socio-sanitari,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Conferenza Territoriale Sociale e Sanitaria Metropolitana di Bologna (CTSSM,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,Ambiti socio-sanitari,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Unione Comuni modenesi dell'Area Nord,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,Ferrara,Associazionismo,"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",CAM Centro di Ascolto per Uomini Maltrattanti APS di Ferrara,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,,Associazionismo,"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti","Centri LDV ""liberiamoci dalla Violenza",08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
Emilia-Romagna,,Associazionismo,"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",Centro LDV (Liberiamoci dalla violenza - Centro di accompagnamento al cambiamento per uomini dell'Azienda Unità Sanitaria Locale di Modena - Servizio sanitario regionale Emilia Romagna,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,,Associazionismo,"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",Centro Pubblico LIBERIAMOCI DALLA VIOLENZA (LDV,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,Ferrara,Associazionismo,"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",Centro di Ascolto per Uomini Maltrattanti di Ferrara,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Emilia-Romagna,,Associazionismo,"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",LDV Liberiamoci dalla Violenza,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
Emilia-Romagna,Bologna,Associazionismo,Ente terzo settore - ETS (iscritto al RUNTS),AIPI,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,Forli-Cesena,Associazionismo,Ente terzo settore - ETS (iscritto al RUNTS),Associazione Centro di Aiuto alla Vita di Cesena,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,Forli-Cesena,Associazionismo,Ente terzo settore - ETS (iscritto al RUNTS),Associazione Grazia e Pace,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,Modena,Associazionismo,Ente terzo settore - ETS (iscritto al RUNTS),Associazione Gruppo Donne e Giustizia,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,Forli-Cesena,Associazionismo,Ente terzo settore - ETS (iscritto al RUNTS),Associazione Mater Caritatis,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,Bologna,Associazionismo,Ente terzo settore - ETS (iscritto al RUNTS),Associazione MondoDonna Onlus,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,,Associazionismo,Ente terzo settore - ETS (iscritto al RUNTS),Associazione Per le Donne,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,Ravenna,Associazionismo,Ente terzo settore - ETS (iscritto al RUNTS),Associazione SOS Donna,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,,Associazionismo,Ente terzo settore - ETS (iscritto al RUNTS),Coop.va Sociale Librazione,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,,Associazionismo,Ente terzo settore - ETS (iscritto al RUNTS),Cooperativa Girogirotondo,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,,Associazionismo,Ente terzo settore - ETS (iscritto al RUNTS),Forum Donne Giuriste di Reggio Emilia,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Emilia-Romagna,Ferrara,Associazionismo,Ente terzo settore - ETS (iscritto al RUNTS),UDI Unione Donne in Italia - Sede di Ferrara,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,Ferrara,Associazionismo,Ente terzo settore - ETS (iscritto al RUNTS),Unione Donne in Italia — APS Ferrara,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Emilia-Romagna,,Associazionismo,Ente terzo settore - ETS (iscritto al RUNTS) costituito da donne per le donne,Di.Re - Donne in Rete contro la violenza,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
Emilia-Romagna,,Associazionismo,Sindacati/Associazioni di categoria,APPC,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,Ferrara,Associazionismo,Sindacati/Associazioni di categoria,Ascom Confcommercio Ferrara,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Emilia-Romagna,,Associazionismo,Sindacati/Associazioni di categoria,Associazione Piccoli Proprietari Case,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,Associazionismo,Sindacati/Associazioni di categoria,CGIL,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,Bologna,Associazionismo,Sindacati/Associazioni di categoria,CGIL — Bologna,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,,Associazionismo,Sindacati/Associazioni di categoria,CISL,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,Associazionismo,Sindacati/Associazioni di categoria,CISL Area metropolitana Bolognese,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,Bologna,Associazionismo,Sindacati/Associazioni di categoria,CNA Bologna,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,,Associazionismo,Sindacati/Associazioni di categoria,CNA Piacenza,08_2406_rta_08_241015092005_4166---DG216-2024.txt,1
